,County,Total Children Served in Fiscal Year 2005,Subsequently Confirmed Victims in Fiscal Years 2005 - 2010
144,LEE,21,5
145,LEON,21,9
146,LIBERTY,158,32
147,LIMESTONE,40,15
148,LIPSCOMB,2,0
149,LIVE OAK,81,24
150,LLANO,66,9
151,LOVING,0,0
152,LUBBOCK,394,96
153,LYNN,3,3
154,MADISON,28,13
155,MARION,14,1
156,MARTIN,6,0
157,MASON,0,0
158,MATAGORDA,42,6
159,MAVERICK,21,2
160,MCCULLOCH,23,1
161,MCLENNAN,461,75
162,MCMULLEN,0,0
163,MEDINA,48,12
164,MENARD,0,0
165,MIDLAND,102,31
166,MILAM,44,12
167,MILLS,4,1
168,MITCHELL,18,6
169,MONTAGUE,42,15
170,MONTGOMERY,446,70
171,MOORE,26,5
172,MORRIS,5,0
173,MOTLEY,0,0
174,NACOGDOCHES,86,16
175,NAVARRO,74,20
176,NEWTON,16,2
177,NOLAN,40,16
178,NUECES,1882,419
179,OCHILTREE,8,2
180,OLDHAM,5,0
181,ORANGE,103,27
182,PALO PINTO,92,28
183,PANOLA,16,9
184,PARKER,112,24
185,PARMER,6,3
186,PECOS,30,8
187,POLK,94,18
188,POTTER,306,83
189,PRESIDIO,2,0
190,RAINS,20,0
191,RANDALL,188,34
192,REAGAN,0,0
193,REAL,0,0
194,RED RIVER,13,2
195,REEVES,11,3
196,REFUGIO,47,10
197,ROBERTS,0,0
198,ROBERTSON,37,3
199,ROCKWALL,19,4
200,RUNNELS,20,9
201,RUSK,61,5
202,SABINE,11,2
203,SAN AUGUSTINE,6,0
204,SAN JACINTO,63,14
205,SAN PATRICIO,322,78
206,SAN SABA,19,1
207,SCHLEICHER,1,0
208,SCURRY,37,4
209,SHACKELFORD,6,6
210,SHELBY,39,8
211,SHERMAN,1,0
212,SMITH,185,33
213,SOMERVELL,14,6
214,STARR,140,27
215,STEPHENS,29,7
216,STERLING,0,0
217,STONEWALL,6,1
218,SUTTON,5,3
219,SWISHER,13,3
220,TARRANT,2105,491
221,TAYLOR,233,60
222,TERRELL,0,0
223,TERRY,18,5
224,THROCKMORTON,4,0
225,TITUS,56,5
226,TOM GREEN,127,25
227,TRAVIS,672,117
228,TRINITY,35,4
229,TYLER,2,0
230,UPSHUR,45,7
231,UPTON,0,0
232,UVALDE,42,6
233,VAL VERDE,42,3
234,VAN ZANDT,88,19
235,VICTORIA,127,17
236,WALKER,81,17
237,WALLER,18,1
238,WARD,2,0
239,WASHINGTON,32,4
240,WEBB,970,143
241,WHARTON,24,7
242,WHEELER,4,0
243,WICHITA,255,67
244,WILBARGER,35,5
245,WILLACY,108,47
246,WILLIAMSON,262,22
247,WILSON,89,7
248,WINKLER,13,6
249,WISE,92,18
250,WOOD,62,12
251,YOAKUM,20,8
252,YOUNG,30,7
253,ZAPATA,71,13
254,ZAVALA,16,0
255,UNKNOWN,7,0
256,STATE TOTAL,37995,7185
