,County,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/ Neglect per 1000 Children,Total CPS Completed Investi-gations,Confirmed CPS Investi-gations,Percent Investigations Confirmed
111,HOOD,10428,290,27.8,453,165,36.4%
112,HOPKINS,8766,110,12.5,277,63,22.7%
113,HOUSTON,4912,75,15.3,187,40,21.4%
114,HOWARD,7696,208,27.0,366,120,32.8%
115,HUDSPETH,919,4,4.4,20,2,10.0%
116,HUNT,21036,235,11.2,696,141,20.3%
117,HUTCHINSON,6113,79,12.9,250,46,18.4%
118,IRION,289,3,10.4,13,2,15.4%
119,JACK,1952,40,20.5,69,21,30.4%
120,JACKSON,3937,41,10.4,104,25,24.0%
121,JASPER,8690,121,13.9,363,69,19.0%
122,JEFF DAVIS,431,3,7.0,14,3,21.4%
123,JEFFERSON,60601,578,9.5,1920,380,19.8%
124,JIM HOGG,1464,76,51.9,75,33,44.0%
125,JIM WELLS,12004,234,19.5,406,105,25.9%
126,JOHNSON,43767,662,15.1,1219,385,31.6%
127,JONES,4198,69,16.4,138,42,30.4%
128,KARNES,3366,15,4.5,106,10,9.4%
129,KAUFMAN,26223,169,6.4,655,121,18.5%
130,KENDALL,7107,41,5.8,106,26,24.5%
131,KENEDY,117,0,0.0,0,0,0.0%
132,KENT,118,0,0.0,1,0,0.0%
133,KERR,8896,185,20.8,437,113,25.9%
134,KIMBLE,1047,19,18.1,35,10,28.6%
135,KING,66,0,0.0,0,0,0.0%
136,KINNEY,798,4,5.0,17,2,11.8%
137,KLEBERG,8203,167,20.4,262,83,31.7%
138,KNOX,998,7,7.0,25,4,16.0%
139,LAMAR,12501,160,12.8,480,106,22.1%
140,LAMB,4375,38,8.7,143,22,15.4%
141,LAMPASAS,5104,45,8.8,181,26,14.4%
142,LASALLE,1553,39,25.1,61,17,27.9%
143,LAVACA,4347,23,5.3,95,16,16.8%
144,LEE,4305,57,13.2,107,33,30.8%
145,LEON,3509,57,16.2,127,34,26.8%
146,LIBERTY,20295,187,9.2,609,122,20.0%
147,LIMESTONE,5589,44,7.9,180,32,17.8%
148,LIPSCOMB,724,7,9.7,19,3,15.8%
149,LIVE OAK,2410,33,13.7,86,18,20.9%
150,LLANO,2997,78,26.0,150,46,30.7%
151,LOVING,3,,0.0,0,0,0.0%
152,LUBBOCK,67043,1523,22.7,2605,786,30.2%
153,LYNN,1446,10,6.9,47,8,17.0%
154,MADISON,2999,31,10.3,85,18,21.2%
155,MARION,2229,24,10.8,108,16,14.8%
156,MARTIN,1579,17,10.8,25,8,32.0%
157,MASON,705,24,34.0,44,12,27.3%
158,MATAGORDA,10454,54,5.2,219,43,19.6%
159,MAVERICK,18708,68,3.6,194,33,17.0%
160,MCCULLOCH,2069,45,21.7,81,26,32.1%
161,MCLENNAN,59339,638,10.8,2323,408,17.6%
162,MCMULLEN,122,2,16.4,6,1,16.7%
163,MEDINA,11498,177,15.4,355,99,27.9%
164,MENARD,475,4,8.4,18,4,22.2%
165,MIDLAND,35516,331,9.3,915,216,23.6%
166,MILAM,6870,124,18.0,211,61,28.9%
167,MILLS,1168,10,8.6,34,5,14.7%
168,MITCHELL,1761,37,21.0,81,18,22.2%
169,MONTAGUE,4552,112,24.6,185,64,34.6%
170,MONTGOMERY,115177,985,8.6,2275,604,26.5%
171,MOORE,5994,73,12.2,179,50,27.9%
172,MORRIS,3069,71,23.1,117,39,33.3%
173,MOTLEY,260,0,0.0,6,0,0.0%
174,NACOGDOCHES,14914,278,18.6,473,165,34.9%
175,NAVARRO,13232,92,7.0,317,53,16.7%
176,NEWTON,3266,34,10.4,109,18,16.5%
177,NOLAN,3608,107,29.7,194,57,29.4%
178,NUECES,87455,1307,14.9,3501,758,21.7%
179,OCHILTREE,2892,19,6.6,70,9,12.9%
180,OLDHAM,480,2,4.2,11,1,9.1%
181,ORANGE,20774,312,15.0,982,195,19.9%
182,PALO PINTO,7172,160,22.3,298,90,30.2%
183,PANOLA,5522,78,14.1,199,59,29.6%
184,PARKER,27112,205,7.6,900,132,14.7%
185,PARMER,2836,6,2.1,55,4,7.3%
186,PECOS,4477,59,13.2,99,33,33.3%
187,POLK,9397,162,17.2,409,98,24.0%
188,POTTER,35980,884,24.6,1708,499,29.2%
189,PRESIDIO,2710,15,5.5,33,9,27.3%
190,RAINS,2057,34,16.5,63,21,33.3%
191,RANDALL,25723,412,16.0,876,240,27.4%
192,REAGAN,777,14,18.0,34,7,20.6%
193,REAL,611,17,27.8,36,10,27.8%
194,RED RIVER,3169,54,17.0,128,35,27.3%
195,REEVES,2845,44,15.5,69,25,36.2%
196,REFUGIO,1721,21,12.2,35,13,37.1%
197,ROBERTS,175,2,11.4,2,2,100.0%
198,ROBERTSON,4462,36,8.1,136,21,15.4%
199,ROCKWALL,19750,61,3.1,282,45,16.0%
200,RUNNELS,2921,80,27.4,92,36,39.1%
201,RUSK,11281,162,14.4,403,102,25.3%
202,SABINE,2045,40,19.6,95,19,20.0%
203,SAN AUGUSTINE,2157,17,7.9,52,12,23.1%
204,SAN JACINTO,6005,103,17.2,304,60,19.7%
205,SAN PATRICIO,21302,286,13.4,619,147,23.7%
206,SAN SABA,1362,19,14.0,45,12,26.7%
207,SCHLEICHER,756,0,0.0,17,0,0.0%
208,SCURRY,4105,68,16.6,130,33,25.4%
209,SHACKELFORD,816,2,2.5,16,1,6.3%
210,SHELBY,6825,63,9.2,216,41,19.0%
211,SHERMAN,796,8,10.1,11,2,18.2%
212,SMITH,52391,363,6.9,1063,230,21.6%
213,SOMERVELL,2014,34,16.9,62,22,35.5%
214,STARR,23913,255,10.7,366,132,36.1%
215,STEPHENS,2398,35,14.6,115,23,20.0%
216,STERLING,290,2,6.9,9,2,22.2%
217,STONEWALL,338,2,5.9,6,1,16.7%
218,SUTTON,1161,4,3.4,24,3,12.5%
219,SWISHER,2128,45,21.1,66,20,30.3%
220,TARRANT,482819,6222,12.9,13046,3608,27.7%
221,TAYLOR,34377,630,18.3,1237,357,28.9%
222,TERRELL,169,6,35.5,4,3,75.0%
223,TERRY,2995,124,41.4,143,60,42.0%
224,THROCKMORTON,387,7,18.1,7,4,57.1%
225,TITUS,9127,163,17.9,295,93,31.5%
226,TOM GREEN,26325,527,20.0,1119,308,27.5%
227,TRAVIS,232199,1735,7.5,5529,1070,19.4%
228,TRINITY,3139,30,9.6,132,22,16.7%
229,TYLER,4648,41,8.8,185,31,16.8%
230,UPSHUR,8953,130,14.5,352,73,20.7%
231,UPTON,741,16,21.6,26,9,34.6%
232,UVALDE,8579,73,8.5,240,46,19.2%
233,VAL VERDE,14821,84,5.7,224,45,20.1%
234,VAN ZANDT,12316,258,20.9,417,138,33.1%
235,VICTORIA,24295,230,9.5,752,147,19.5%
236,WALKER,11243,92,8.2,246,59,24.0%
237,WALLER,10201,74,7.3,215,47,21.9%
238,WARD,2476,67,27.1,100,41,41.0%
239,WASHINGTON,7351,68,9.3,185,48,25.9%
240,WEBB,89516,744,8.3,1907,370,19.4%
241,WHARTON,11413,69,6.0,207,39,18.8%
242,WHEELER,1108,13,11.7,35,8,22.9%
243,WICHITA,31797,629,19.8,1340,373,27.8%
244,WILBARGER,3752,66,17.6,146,33,22.6%
245,WILLACY,6681,155,23.2,262,72,27.5%
246,WILLIAMSON,106272,688,6.5,1830,443,24.2%
247,WILSON,10941,67,6.1,205,42,20.5%
248,WINKLER,1643,27,16.4,55,18,32.7%
249,WISE,14258,134,9.4,477,87,18.2%
250,WOOD,8073,150,18.6,326,91,27.9%
251,YOAKUM,2440,13,5.3,35,8,22.9%
252,YOUNG,4367,74,16.9,195,49,25.1%
253,ZAPATA,4635,90,19.4,163,46,28.2%
254,ZAVALA,3979,38,9.6,122,23,18.9%
255,UNKNOWN,0,0,0.0,0,0,0.0%
256,OUT OF STATE,0,8,0.0,24,5,20.8%
257,STATE TOTAL,6584709,66897,10.2,169583,39337,23.2%
