,County,CBCAP,FSP,TFTS,TOTAL
112,HOPKINS,0,0,0,0
113,HOUSTON,0,0,0,0
114,HOWARD,0,0,0,0
115,HUDSPETH,0,0,0,0
116,HUNT,0,2,0,2
117,HUTCHINSON,0,0,0,0
118,IRION,0,0,0,0
119,JACK,0,0,0,0
120,JACKSON,0,0,0,0
121,JASPER,0,0,0,0
122,JEFF DAVIS,0,0,0,0
123,JEFFERSON,0,0,0,0
124,JIM HOGG,0,0,0,0
125,JIM WELLS,0,0,0,0
126,JOHNSON,0,28,0,28
127,JONES,0,0,0,0
128,KARNES,34,0,0,34
129,KAUFMAN,0,0,0,0
130,KENDALL,0,0,0,0
131,KENEDY,0,0,0,0
132,KENT,0,0,0,0
133,KERR,0,0,0,0
134,KIMBLE,0,0,0,0
135,KING,0,0,0,0
136,KINNEY,0,0,0,0
137,KLEBERG,0,0,0,0
138,KNOX,0,0,0,0
139,LAMAR,0,0,0,0
140,LAMB,0,0,0,0
141,LAMPASAS,0,0,0,0
142,LASALLE,0,0,0,0
143,LAVACA,0,0,0,0
144,LEE,0,0,0,0
145,LEON,0,0,12,12
146,LIBERTY,0,0,0,0
147,LIMESTONE,0,0,0,0
148,LIPSCOMB,0,0,0,0
149,LIVE OAK,0,0,0,0
150,LLANO,0,0,0,0
151,LOVING,0,0,0,0
152,LUBBOCK,0,0,242,242
153,LYNN,0,0,2,2
154,MADISON,0,1,50,51
155,MARION,0,3,0,3
156,MARTIN,0,0,0,0
157,MASON,0,0,2,2
158,MATAGORDA,0,0,0,0
159,MAVERICK,28,0,0,28
160,MCCULLOCH,0,0,18,18
161,MCLENNAN,0,0,0,0
162,MCMULLEN,0,0,0,0
163,MEDINA,0,0,0,0
164,MENARD,0,0,0,0
165,MIDLAND,1,0,0,1
166,MILAM,0,0,0,0
167,MILLS,0,0,24,24
168,MITCHELL,0,0,0,0
169,MONTAGUE,0,0,0,0
170,MONTGOMERY,0,0,0,0
171,MOORE,0,0,0,0
172,MORRIS,0,0,0,0
173,MOTLEY,0,0,0,0
174,NACOGDOCHES,0,9,0,9
175,NAVARRO,0,0,2,2
176,NEWTON,0,0,0,0
177,NOLAN,0,0,0,0
178,NUECES,0,0,0,0
179,OCHILTREE,0,0,0,0
180,OLDHAM,0,0,0,0
181,ORANGE,0,0,0,0
182,PALO PINTO,0,8,0,8
183,PANOLA,0,2,0,2
184,PARKER,0,0,0,0
185,PARMER,0,0,0,0
186,PECOS,0,0,0,0
187,POLK,0,25,9,34
188,POTTER,0,0,0,0
189,PRESIDIO,0,0,0,0
190,RAINS,0,0,0,0
191,RANDALL,0,0,0,0
192,REAGAN,0,0,0,0
193,REAL,6,0,0,6
194,RED RIVER,0,0,0,0
195,REEVES,0,0,0,0
196,REFUGIO,0,0,0,0
197,ROBERTS,0,0,0,0
198,ROBERTSON,0,1,43,44
199,ROCKWALL,0,0,0,0
200,RUNNELS,0,0,1,1
201,RUSK,0,15,0,15
202,SABINE,0,0,0,0
203,SAN AUGUSTINE,0,0,0,0
204,SAN JACINTO,0,0,11,11
205,SAN PATRICIO,0,0,0,0
206,SAN SABA,0,0,20,20
207,SCHLEICHER,0,0,0,0
208,SCURRY,0,0,0,0
209,SHACKELFORD,0,0,0,0
210,SHELBY,0,0,0,0
211,SHERMAN,0,0,0,0
212,SMITH,0,1,0,1
213,SOMERVELL,0,2,0,2
214,STARR,0,0,0,0
215,STEPHENS,0,0,0,0
216,STERLING,0,0,0,0
217,STONEWALL,0,0,0,0
218,SUTTON,0,0,0,0
219,SWISHER,0,0,0,0
220,TARRANT,0,80,243,323
221,TAYLOR,0,135,1,136
222,TERRELL,0,0,0,0
223,TERRY,0,0,0,0
224,THROCKMORTON,0,0,0,0
225,TITUS,0,0,0,0
226,TOM GREEN,102,0,257,359
227,TRAVIS,72,0,1,73
228,TRINITY,0,3,4,7
229,TYLER,0,0,21,21
230,UPSHUR,0,26,0,26
231,UPTON,0,0,0,0
232,UVALDE,17,0,3,20
233,VAL VERDE,0,0,0,0
234,VAN ZANDT,0,0,0,0
235,VICTORIA,0,0,0,0
236,WALKER,0,0,0,0
237,WALLER,0,0,0,0
238,WARD,0,0,0,0
239,WASHINGTON,0,0,20,20
240,WEBB,0,0,0,0
241,WHARTON,0,0,0,0
242,WHEELER,0,0,0,0
243,WICHITA,0,0,0,0
244,WILBARGER,0,0,0,0
245,WILLACY,0,0,0,0
246,WILLIAMSON,1,0,0,1
247,WILSON,0,0,0,0
248,WINKLER,0,0,0,0
249,WISE,0,0,0,0
250,WOOD,0,0,0,0
251,YOAKUM,0,0,0,0
252,YOUNG,0,0,0,0
253,ZAPATA,0,0,0,0
254,ZAVALA,36,0,3,39
255,UNKNOWN,0,0,0,0
256,OUT OF STATE,0,0,0,0
257,STATE TOTAL,372,1616,3410,5398
