,County,Children Receiving Sub-Care Purchased Services,Expenditures For Sub-Care Purchased Services,Children in Substitute Care,Children Receiving In-home Purchased Services,Expenditures For InHome Purchased Services,Children Receiving In-home Services
74,FANNIN,28,"$23,786.88",51,5,"$1,032.81",78
75,FAYETTE,5,"$5,829.50",54,1,$575.00,107
76,FISHER,0,$0.00,4,1,$36.48,21
77,FLOYD,0,$0.00,22,0,$0.00,25
78,FOARD,0,$0.00,0,0,$0.00,11
79,FORT BEND,256,"$149,864.65",324,202,"$94,490.50",1366
80,FRANKLIN,15,"$9,494.42",19,2,$190.00,26
81,FREESTONE,2,$850.00,30,1,$575.00,34
82,FRIO,4,"$1,110.00",57,7,$462.18,100
83,GAINES,9,"$13,997.18",30,3,$948.84,35
84,GALVESTON,121,"$80,084.31",382,67,"$9,676.44",1148
85,GARZA,1,$162.00,9,0,$0.00,47
86,GILLESPIE,3,"$1,055.00",48,2,$40.00,50
87,GLASSCOCK,0,$0.00,0,0,$0.00,0
88,GOLIAD,0,$0.00,5,0,$0.00,19
89,GONZALES,6,"$6,130.00",22,4,$346.79,63
90,GRAY,15,"$19,824.05",106,12,"$1,278.37",164
91,GRAYSON,107,"$79,043.59",176,16,"$4,373.49",233
92,GREGG,178,"$170,381.37",269,37,"$9,282.34",380
93,GRIMES,4,$840.35,43,2,$40.00,73
94,GUADALUPE,14,"$17,013.77",123,58,"$16,595.82",544
95,HALE,24,"$37,789.60",133,23,"$1,551.87",250
96,HALL,1,"$5,000.00",11,1,$35.00,14
97,HAMILTON,2,$764.30,20,0,$0.00,29
98,HANSFORD,0,$0.00,4,0,$0.00,6
99,HARDEMAN,0,$0.00,9,0,$0.00,16
100,HARDIN,27,"$21,355.56",68,14,"$2,870.79",108
101,HARRIS,3253,"$3,162,375.19",7485,807,"$280,785.00",13114
102,HARRISON,70,"$54,480.08",130,32,"$4,631.52",212
103,HARTLEY,0,$0.00,4,0,$0.00,3
104,HASKELL,2,"$7,000.00",2,1,$36.48,6
105,HAYS,15,"$16,639.59",138,22,"$5,736.04",254
106,HEMPHILL,4,"$1,205.00",2,0,$0.00,6
107,HENDERSON,139,"$141,478.37",255,71,"$13,162.36",399
108,HIDALGO,305,"$270,890.83",587,276,"$50,036.16",4404
109,HILL,13,"$8,318.42",65,7,"$1,963.32",111
110,HOCKLEY,10,"$17,868.24",93,0,$0.00,147
111,HOOD,33,"$16,595.11",70,2,"$1,220.20",278
112,HOPKINS,52,"$33,950.46",98,22,"$3,600.12",113
113,HOUSTON,24,"$13,251.84",44,17,"$3,721.75",55
114,HOWARD,60,"$38,330.14",127,29,"$7,580.87",327
115,HUDSPETH,0,$0.00,3,0,$0.00,0
116,HUNT,146,"$57,724.52",244,17,"$4,643.30",234
117,HUTCHINSON,4,"$5,214.00",41,23,"$4,184.46",156
118,IRION,1,$765.00,3,0,$0.00,7
119,JACK,0,$0.00,10,0,$0.00,48
120,JACKSON,2,$270.00,18,1,$20.00,31
121,JASPER,21,"$9,866.08",53,14,"$1,883.38",125
122,JEFF DAVIS,0,$0.00,0,0,$0.00,17
123,JEFFERSON,272,"$300,996.78",262,67,"$23,984.94",502
124,JIM HOGG,1,$389.64,13,1,$27.00,112
125,JIM WELLS,36,"$19,961.48",106,24,"$3,464.75",408
126,JOHNSON,157,"$120,522.75",355,20,"$5,704.55",798
127,JONES,5,"$11,675.39",19,0,$0.00,120
128,KARNES,3,"$6,055.00",22,1,$20.00,21
129,KAUFMAN,70,"$49,843.44",106,26,"$8,005.40",234
130,KENDALL,2,$40.00,22,3,$573.49,42
131,KENEDY,0,$0.00,0,0,$0.00,0
132,KENT,0,$0.00,0,0,$0.00,0
133,KERR,26,"$23,822.85",218,29,"$2,944.95",269
134,KIMBLE,1,$810.90,22,0,$0.00,21
135,KING,0,$0.00,0,0,$0.00,0
136,KINNEY,0,$0.00,1,2,$40.00,0
137,KLEBERG,36,"$39,513.47",119,27,"$5,536.08",259
138,KNOX,0,$0.00,13,0,$0.00,9
139,LAMAR,50,"$59,458.10",93,15,"$2,562.24",147
140,LAMB,6,"$7,681.98",44,2,$100.00,115
141,LAMPASAS,11,"$3,399.42",43,0,$0.00,58
142,LASALLE,1,"$4,500.00",25,2,$178.14,45
143,LAVACA,11,"$2,050.00",8,0,$0.00,33
144,LEE,0,$0.00,46,2,$45.50,64
145,LEON,3,"$5,594.65",26,0,$0.00,87
146,LIBERTY,126,"$50,460.22",194,4,"$1,964.00",214
147,LIMESTONE,9,"$1,983.17",45,2,$40.00,57
148,LIPSCOMB,1,$65.00,4,0,$0.00,0
149,LIVE OAK,0,$0.00,18,3,$297.73,76
150,LLANO,7,"$5,421.63",52,2,"$1,027.91",60
151,LOVING,0,$0.00,0,0,$0.00,0
152,LUBBOCK,333,"$352,789.42",857,134,"$17,991.57",1841
153,LYNN,0,$0.00,4,0,$0.00,23
154,MADISON,4,$922.25,43,0,$0.00,37
155,MARION,8,"$3,268.88",26,15,"$1,444.00",49
156,MARTIN,0,$0.00,2,1,$474.42,15
157,MASON,0,$0.00,6,0,$0.00,29
158,MATAGORDA,21,"$12,216.89",36,56,"$49,907.73",234
159,MAVERICK,2,"$1,000.00",45,5,$451.88,76
160,MCCULLOCH,9,"$9,775.89",25,1,$79.07,42
161,MCLENNAN,109,"$118,632.37",385,16,"$4,698.55",716
162,MCMULLEN,2,$414.47,0,0,$0.00,6
163,MEDINA,44,"$21,712.49",190,17,"$2,399.66",278
164,MENARD,1,$186.27,5,0,$0.00,16
165,MIDLAND,126,"$124,927.83",212,35,"$5,274.06",355
166,MILAM,6,"$6,341.75",106,5,"$3,814.13",156
167,MILLS,3,$906.55,7,0,$0.00,5
168,MITCHELL,2,$502.18,11,1,$36.48,40
169,MONTAGUE,1,"$5,000.00",74,8,"$1,202.76",123
170,MONTGOMERY,281,"$225,223.21",873,88,"$19,475.17",1711
171,MOORE,1,"$1,562.50",18,0,$0.00,120
172,MORRIS,17,"$10,619.68",41,1,$113.10,71
173,MOTLEY,0,$0.00,2,0,$0.00,0
174,NACOGDOCHES,33,"$27,896.37",176,31,"$9,345.41",225
175,NAVARRO,109,"$95,816.17",117,8,"$4,481.34",142
176,NEWTON,2,$360.00,17,3,$160.00,42
177,NOLAN,0,$0.00,26,4,$136.44,105
178,NUECES,318,"$330,467.87",789,236,"$51,045.85",2534
179,OCHILTREE,1,$200.00,11,0,$0.00,18
180,OLDHAM,1,"$4,000.00",2,0,$0.00,0
181,ORANGE,37,"$28,207.75",125,8,"$1,389.73",263
182,PALO PINTO,40,"$28,829.85",69,4,$491.14,236
183,PANOLA,14,"$10,806.91",27,4,$912.70,39
184,PARKER,41,"$53,258.50",74,11,"$6,312.67",316
185,PARMER,3,"$5,132.00",14,0,$0.00,21
186,PECOS,13,"$11,855.73",46,7,"$1,245.94",62
187,POLK,40,"$33,373.70",125,24,"$5,011.00",138
188,POTTER,297,"$244,635.59",286,240,"$35,657.66",1188
189,PRESIDIO,0,$0.00,7,0,$0.00,13
190,RAINS,13,"$5,738.62",18,4,$380.00,34
191,RANDALL,112,"$67,331.43",368,31,"$5,463.94",511
192,REAGAN,0,$0.00,5,0,$0.00,15
193,REAL,3,"$5,500.00",10,3,$482.40,23
194,RED RIVER,7,"$5,199.15",34,10,"$1,006.41",60
195,REEVES,15,"$17,041.29",25,3,"$1,324.58",45
196,REFUGIO,1,$210.00,2,4,"$1,818.61",35
197,ROBERTS,0,$0.00,0,0,$0.00,2
198,ROBERTSON,6,"$5,503.00",24,0,$0.00,30
199,ROCKWALL,33,"$26,219.15",33,1,$494.50,98
200,RUNNELS,2,$146.52,38,1,$279.64,82
201,RUSK,36,"$35,738.54",83,24,"$4,932.51",148
202,SABINE,1,$765.00,17,2,$122.00,19
203,SAN AUGUSTINE,4,"$1,257.75",6,0,$0.00,16
204,SAN JACINTO,21,"$17,909.92",56,14,"$1,691.86",99
205,SAN PATRICIO,35,"$19,033.23",93,66,"$19,321.73",626
206,SAN SABA,4,"$1,086.95",16,2,$226.20,43
207,SCHLEICHER,2,"$1,112.06",1,0,$0.00,7
208,SCURRY,6,"$1,174.70",27,2,$273.69,81
209,SHACKELFORD,0,$0.00,1,0,$0.00,11
210,SHELBY,37,"$85,992.94",68,7,"$1,421.19",53
211,SHERMAN,0,$0.00,6,0,$0.00,9
212,SMITH,308,"$262,415.80",363,22,"$5,893.32",566
213,SOMERVELL,3,"$5,065.00",11,0,$0.00,28
214,STARR,23,"$7,594.81",112,13,"$2,269.59",474
215,STEPHENS,4,"$5,433.18",19,4,$416.44,87
216,STERLING,0,$0.00,0,0,$0.00,0
217,STONEWALL,2,$524.00,0,0,$0.00,0
218,SUTTON,3,"$1,690.65",2,1,$158.14,10
219,SWISHER,0,$0.00,27,0,$0.00,34
220,TARRANT,567,"$716,196.83",2066,250,"$86,588.54",7629
221,TAYLOR,205,"$271,714.54",272,34,"$3,035.07",779
222,TERRELL,2,"$1,575.90",4,0,$0.00,3
223,TERRY,4,"$9,888.74",42,1,$35.00,132
224,THROCKMORTON,0,$0.00,2,0,$0.00,3
225,TITUS,61,"$38,242.92",124,113,"$17,891.79",213
226,TOM GREEN,214,"$260,570.17",452,58,"$7,411.93",810
227,TRAVIS,756,"$1,208,601.19",1191,213,"$93,192.45",2254
228,TRINITY,14,"$12,253.60",39,2,$133.00,28
229,TYLER,8,"$5,147.46",19,0,$0.00,26
230,UPSHUR,44,"$26,156.53",117,28,"$4,515.41",138
231,UPTON,1,$765.00,9,0,$0.00,28
232,UVALDE,11,"$6,330.00",81,10,$989.13,80
233,VAL VERDE,1,$500.00,48,3,$60.00,93
234,VAN ZANDT,102,"$83,447.69",180,69,"$8,893.61",261
235,VICTORIA,43,"$23,083.91",162,59,"$13,679.55",349
236,WALKER,10,"$3,114.64",89,3,"$1,380.67",151
237,WALLER,40,"$14,629.68",62,22,"$9,263.12",139
238,WARD,9,"$5,709.78",25,20,"$6,255.32",107
239,WASHINGTON,10,"$11,312.00",38,0,$0.00,43
240,WEBB,191,"$173,759.67",523,92,"$16,604.92",1916
241,WHARTON,44,"$20,926.07",82,31,"$19,519.72",208
242,WHEELER,4,$997.50,13,1,$35.00,19
243,WICHITA,79,"$75,425.67",264,40,"$3,877.66",710
244,WILBARGER,10,"$14,696.02",19,4,$190.03,100
245,WILLACY,8,"$12,096.07",87,2,$54.00,253
246,WILLIAMSON,103,"$137,280.06",547,83,"$29,437.33",871
247,WILSON,3,$972.00,29,11,"$2,135.82",75
248,WINKLER,8,"$5,157.49",14,3,$952.71,48
249,WISE,33,"$2,904.20",79,2,"$1,677.65",246
250,WOOD,79,"$62,197.00",126,28,"$3,935.31",138
251,YOAKUM,0,$0.00,17,0,$0.00,32
252,YOUNG,1,$79.07,28,12,"$2,962.26",107
253,ZAPATA,11,"$5,638.28",66,3,$527.00,173
254,ZAVALA,3,"$1,085.00",46,5,$597.23,38
255,UNKNOWN,0,$0.00,0,0,$0.00,10
256,STATE TOTAL,17371,"$16,390,718.43",41902,6785,"$1,792,029.12",98675
