,County,Child Population Ages 0 - 13,Licensed Child Care Centers,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes
89,GONZALES,4295,10,546,1,12,7,1
90,GRAY,3959,11,739,0,0,5,0
91,GRAYSON,22165,36,2871,6,72,34,21
92,GREGG,24850,53,5722,4,48,54,22
93,GRIMES,4894,7,300,9,107,9,4
94,GUADALUPE,22442,34,2680,3,36,35,36
95,HALE,8802,7,738,5,60,15,7
96,HALL,781,1,37,0,0,3,0
97,HAMILTON,1469,3,131,3,36,7,7
98,HANSFORD,1144,2,91,0,0,5,1
99,HARDEMAN,797,2,95,5,60,5,1
100,HARDIN,9284,13,1537,0,0,3,4
101,HARRIS,886065,1528,168732,154,1782,1010,1759
102,HARRISON,11945,21,1996,5,60,41,6
103,HARTLEY,1048,1,150,0,0,0,1
104,HASKELL,1019,2,105,1,12,3,1
105,HAYS,25920,81,5689,11,132,61,29
106,HEMPHILL,667,1,68,0,0,2,0
107,HENDERSON,14022,15,1614,4,48,22,2
108,HIDALGO,203765,386,28164,114,1365,174,151
109,HILL,7268,10,551,3,36,10,5
110,HOCKLEY,5334,11,551,6,72,14,0
111,HOOD,7798,17,1326,5,60,8,11
112,HOPKINS,6848,14,1259,4,48,17,2
113,HOUSTON,3786,4,232,3,36,5,7
114,HOWARD,6084,13,1166,0,0,7,1
115,HUDSPETH,662,2,51,0,0,0,0
116,HUNT,16223,23,2549,4,48,32,11
117,HUTCHINSON,4828,7,351,4,48,10,2
118,IRION,210,1,20,0,0,0,1
119,JACK,1540,1,25,2,24,5,3
120,JACKSON,3170,5,298,6,72,10,3
121,JASPER,6803,6,808,3,36,10,8
122,JEFF DAVIS,321,0,0,0,0,3,1
123,JEFFERSON,47331,83,8513,8,84,16,25
124,JIM HOGG,1136,3,164,0,0,4,2
125,JIM WELLS,9478,23,989,1,12,6,2
126,JOHNSON,32601,37,4575,5,60,25,14
127,JONES,3024,5,175,1,12,13,2
128,KARNES,2650,5,152,1,12,4,2
129,KAUFMAN,19480,34,4071,5,60,33,21
130,KENDALL,5021,15,1226,3,36,4,8
131,KENEDY,95,0,0,0,0,0,0
132,KENT,86,0,0,0,0,0,0
133,KERR,6855,16,1227,3,36,15,8
134,KIMBLE,835,2,100,1,12,1,0
135,KING,39,0,0,0,0,0,0
136,KINNEY,605,2,35,0,0,1,0
137,KLEBERG,6771,13,699,1,12,9,6
138,KNOX,779,3,94,0,0,1,0
139,LAMAR,9822,17,1499,6,70,14,7
140,LAMB,3487,3,127,1,12,3,0
141,LAMPASAS,3942,5,357,4,48,4,10
142,LASALLE,1304,2,99,0,0,11,0
143,LAVACA,3421,12,575,12,142,13,5
144,LEE,3317,8,537,6,72,4,0
145,LEON,2747,4,152,3,36,6,1
146,LIBERTY,15531,19,1413,1,12,14,6
147,LIMESTONE,4352,10,742,4,48,3,6
148,LIPSCOMB,534,0,0,0,0,0,0
149,LIVE OAK,1860,3,102,1,12,3,2
150,LLANO,2314,7,368,0,0,5,0
151,LOVING,2,0,0,0,0,0,0
152,LUBBOCK,54187,119,11253,38,456,91,42
153,LYNN,1132,1,25,1,12,4,2
154,MADISON,2388,5,183,2,24,5,2
155,MARION,1732,2,131,2,24,3,1
156,MARTIN,1240,2,86,0,0,1,0
157,MASON,553,4,105,0,0,0,0
158,MATAGORDA,8152,12,1011,0,0,29,6
159,MAVERICK,14640,19,1835,0,0,21,4
160,MCCULLOCH,1650,4,179,3,36,5,0
161,MCLENNAN,47564,97,9213,26,312,59,30
162,MCMULLEN,92,0,0,0,0,0,0
163,MEDINA,8634,11,805,2,24,11,10
164,MENARD,374,1,20,0,0,0,0
165,MIDLAND,28178,59,6187,12,141,47,5
166,MILAM,5404,9,547,7,84,11,0
167,MILLS,916,0,0,2,24,2,2
168,MITCHELL,1343,1,93,0,0,1,1
169,MONTAGUE,3616,7,238,3,36,1,5
170,MONTGOMERY,83080,149,17452,20,237,64,44
171,MOORE,4594,5,303,0,0,7,1
172,MORRIS,2396,4,160,3,36,9,2
173,MOTLEY,189,0,0,0,0,0,0
174,NACOGDOCHES,11476,16,2020,2,24,9,5
175,NAVARRO,10179,16,1366,3,36,17,13
176,NEWTON,2464,5,167,0,0,1,0
177,NOLAN,2860,10,620,1,12,6,1
178,NUECES,70698,150,13291,39,467,93,56
179,OCHILTREE,2310,5,335,0,0,2,0
180,OLDHAM,378,2,95,0,0,0,0
181,ORANGE,15552,26,2308,7,84,8,9
182,PALO PINTO,5625,4,395,1,12,17,9
183,PANOLA,4312,7,524,3,36,9,1
184,PARKER,19313,40,3852,0,0,14,12
185,PARMER,2206,1,38,0,0,4,0
186,PECOS,3520,4,319,2,24,5,1
187,POLK,7273,8,814,2,24,6,3
188,POTTER,29147,46,4221,0,0,69,37
189,PRESIDIO,2205,1,17,0,0,5,1
190,RAINS,1538,2,68,0,0,1,1
191,RANDALL,19174,47,4720,1,12,66,50
192,REAGAN,623,1,60,0,0,1,0
193,REAL,445,4,155,0,0,2,0
194,RED RIVER,2445,2,142,4,48,12,1
195,REEVES,2265,3,179,3,36,2,0
196,REFUGIO,1388,2,79,0,0,6,1
197,ROBERTS,144,0,0,0,0,1,0
198,ROBERTSON,3480,4,336,3,36,4,1
199,ROCKWALL,14446,19,2780,6,72,15,5
200,RUNNELS,2327,7,232,3,36,5,1
201,RUSK,8812,11,831,6,72,11,3
202,SABINE,1595,2,180,0,0,1,0
203,SAN AUGUSTINE,1723,5,259,0,0,1,0
204,SAN JACINTO,4443,2,137,0,0,5,1
205,SAN PATRICIO,16659,30,2073,3,36,21,1
206,SAN SABA,1078,1,31,1,12,1,3
207,SCHLEICHER,601,1,20,1,12,0,0
208,SCURRY,3270,4,353,1,12,3,2
209,SHACKELFORD,634,1,51,0,0,2,1
210,SHELBY,5373,4,272,0,0,2,2
211,SHERMAN,584,1,51,0,0,0,1
212,SMITH,40456,93,8609,7,84,51,14
213,SOMERVELL,1508,3,162,1,12,2,2
214,STARR,19280,31,1656,4,48,9,8
215,STEPHENS,1934,2,204,1,12,7,1
216,STERLING,226,0,0,1,12,1,0
217,STONEWALL,263,1,36,1,12,0,0
218,SUTTON,911,2,63,1,12,3,1
219,SWISHER,1708,2,200,0,0,5,2
220,TARRANT,379261,664,72214,94,1088,558,807
221,TAYLOR,27914,56,5456,2,24,65,53
222,TERRELL,109,0,0,0,0,0,0
223,TERRY,2428,3,189,2,24,6,1
224,THROCKMORTON,304,0,0,0,0,1,1
225,TITUS,7045,9,1159,0,0,10,2
226,TOM GREEN,21122,49,4739,5,60,53,26
227,TRAVIS,189553,462,43511,42,504,240,184
228,TRINITY,2479,5,339,0,0,1,0
229,TYLER,3586,6,316,3,36,2,0
230,UPSHUR,6903,7,487,3,36,15,0
231,UPTON,597,1,20,0,0,2,0
232,UVALDE,6958,17,1225,1,12,8,1
233,VAL VERDE,11873,16,1253,3,36,23,4
234,VAN ZANDT,9393,12,1286,6,72,16,1
235,VICTORIA,19448,45,3461,24,286,28,12
236,WALKER,8694,24,2074,0,0,25,2
237,WALLER,7745,19,1058,1,12,10,7
238,WARD,1990,3,208,0,0,7,0
239,WASHINGTON,5762,11,1076,3,36,8,8
240,WEBB,74561,94,6509,34,407,344,35
241,WHARTON,8922,18,1867,2,24,38,4
242,WHEELER,854,1,80,0,0,1,0
243,WICHITA,24864,54,3914,26,312,26,54
244,WILBARGER,2928,8,495,2,24,8,8
245,WILLACY,5358,8,544,4,45,6,7
246,WILLIAMSON,75972,215,27093,51,610,195,127
247,WILSON,7933,16,1215,1,12,12,5
248,WINKLER,1304,1,65,1,12,2,2
249,WISE,10514,25,1522,0,0,17,8
250,WOOD,6277,11,548,2,24,16,2
251,YOAKUM,1979,2,68,2,24,3,0
252,YOUNG,3407,10,528,1,12,3,7
253,ZAPATA,3662,5,300,0,0,10,0
254,ZAVALA,3102,10,591,0,0,7,0
255,UNKNOWN,0,0,0,0,0,0,1
256,STATE TOTAL,5181296,9436,942839,1684,19954,7589,6537
