,County,Total,African American,Anglo,Hispanic,Native American,Other
187,POLK,15,0,11,4,0,0
188,POTTER,37,18,6,12,1,0
189,PRESIDIO,0,0,0,0,0,0
190,RAINS,3,0,3,0,0,0
191,RANDALL,40,4,28,8,0,0
192,REAGAN,1,0,0,1,0,0
193,REAL,0,0,0,0,0,0
194,RED RIVER,1,0,1,0,0,0
195,REEVES,1,0,0,1,0,0
196,REFUGIO,0,0,0,0,0,0
197,ROBERTS,0,0,0,0,0,0
198,ROBERTSON,3,1,1,1,0,0
199,ROCKWALL,4,0,4,0,0,0
200,RUNNELS,4,0,1,3,0,0
201,RUSK,3,3,0,0,0,0
202,SABINE,0,0,0,0,0,0
203,SAN AUGUSTINE,0,0,0,0,0,0
204,SAN JACINTO,9,2,7,0,0,0
205,SAN PATRICIO,12,2,0,10,0,0
206,SAN SABA,1,0,1,0,0,0
207,SCHLEICHER,0,0,0,0,0,0
208,SCURRY,3,1,0,2,0,0
209,SHACKELFORD,0,0,0,0,0,0
210,SHELBY,5,5,0,0,0,0
211,SHERMAN,0,0,0,0,0,0
212,SMITH,17,6,11,0,0,0
213,SOMERVELL,0,0,0,0,0,0
214,STARR,0,0,0,0,0,0
215,STEPHENS,2,0,2,0,0,0
216,STERLING,0,0,0,0,0,0
217,STONEWALL,0,0,0,0,0,0
218,SUTTON,0,0,0,0,0,0
219,SWISHER,3,0,0,3,0,0
220,TARRANT,267,113,67,70,1,16
221,TAYLOR,31,13,9,9,0,0
222,TERRELL,0,0,0,0,0,0
223,TERRY,2,0,0,2,0,0
224,THROCKMORTON,0,0,0,0,0,0
225,TITUS,17,8,5,4,0,0
226,TOM GREEN,77,7,31,39,0,0
227,TRAVIS,162,70,20,71,0,1
228,TRINITY,6,0,6,0,0,0
229,TYLER,2,0,2,0,0,0
230,UPSHUR,12,4,8,0,0,0
231,UPTON,0,0,0,0,0,0
232,UVALDE,19,0,4,15,0,0
233,VAL VERDE,13,0,0,13,0,0
234,VAN ZANDT,23,2,18,2,0,1
235,VICTORIA,43,6,9,28,0,0
236,WALKER,12,2,9,1,0,0
237,WALLER,8,7,0,1,0,0
238,WARD,1,0,1,0,0,0
239,WASHINGTON,4,2,0,2,0,0
240,WEBB,84,3,0,81,0,0
241,WHARTON,5,4,0,0,0,1
242,WHEELER,5,0,1,4,0,0
243,WICHITA,28,12,11,5,0,0
244,WILBARGER,1,0,1,0,0,0
245,WILLACY,3,0,0,3,0,0
246,WILLIAMSON,61,17,25,19,0,0
247,WILSON,1,0,0,1,0,0
248,WINKLER,0,0,0,0,0,0
249,WISE,5,0,5,0,0,0
250,WOOD,13,2,11,0,0,0
251,YOAKUM,5,2,1,2,0,0
252,YOUNG,2,0,0,2,0,0
253,ZAPATA,5,0,0,5,0,0
254,ZAVALA,8,0,0,8,0,0
255,OUT OF STATE,0,0,0,0,0,0
256,STATE TOTAL,6026,2127,1518,2265,11,105
