,County,STAR,CYD,SYSN,YRP,TOTAL
163,MEDINA,110,0,1,0,111
164,MENARD,29,0,0,0,29
165,MIDLAND,119,0,0,0,119
166,MILAM,50,0,0,0,50
167,MILLS,17,0,0,0,17
168,MITCHELL,14,0,0,0,14
169,MONTAGUE,15,0,0,0,15
170,MONTGOMERY,787,0,10,0,797
171,MOORE,11,0,0,0,11
172,MORRIS,13,0,0,0,13
173,MOTLEY,3,0,0,0,3
174,NACOGDOCHES,119,0,31,0,150
175,NAVARRO,49,0,40,0,89
176,NEWTON,16,0,0,0,16
177,NOLAN,54,0,0,0,54
178,NUECES,961,2158,131,72,3322
179,OCHILTREE,11,0,13,0,24
180,OLDHAM,2,0,0,0,2
181,ORANGE,75,0,0,0,75
182,PALO PINTO,24,0,0,0,24
183,PANOLA,91,0,0,0,91
184,PARKER,30,0,0,1,31
185,PARMER,18,0,0,0,18
186,PECOS,28,0,0,0,28
187,POLK,57,0,9,0,66
188,POTTER,220,935,14,0,1169
189,PRESIDIO,34,0,0,0,34
190,RAINS,27,0,0,0,27
191,RANDALL,78,0,11,0,89
192,REAGAN,0,0,0,0,0
193,REAL,1,0,0,0,1
194,RED RIVER,14,0,0,0,14
195,REEVES,16,0,0,0,16
196,REFUGIO,36,0,0,0,36
197,ROBERTS,0,0,0,0,0
198,ROBERTSON,89,0,0,0,89
199,ROCKWALL,8,0,29,2,39
200,RUNNELS,31,0,0,0,31
201,RUSK,82,0,58,0,140
202,SABINE,10,0,0,0,10
203,SAN AUGUSTINE,54,0,14,0,68
204,SAN JACINTO,26,0,0,0,26
205,SAN PATRICIO,374,0,30,1,405
206,SAN SABA,7,0,0,0,7
207,SCHLEICHER,0,0,0,0,0
208,SCURRY,86,0,0,0,86
209,SHACKELFORD,3,0,0,0,3
210,SHELBY,78,0,1,0,79
211,SHERMAN,12,0,2,0,14
212,SMITH,327,0,130,0,457
213,SOMERVELL,80,0,0,0,80
214,STARR,96,0,0,0,96
215,STEPHENS,7,0,0,0,7
216,STERLING,4,0,0,0,4
217,STONEWALL,3,0,0,0,3
218,SUTTON,10,0,0,6,16
219,SWISHER,4,0,0,0,4
220,TARRANT,1425,856,288,317,2886
221,TAYLOR,374,0,184,0,558
222,TERRELL,1,0,0,0,1
223,TERRY,41,0,0,0,41
224,THROCKMORTON,4,0,1,0,5
225,TITUS,17,0,0,0,17
226,TOM GREEN,342,0,84,0,426
227,TRAVIS,857,1546,302,0,2705
228,TRINITY,10,0,8,0,18
229,TYLER,33,0,2,0,35
230,UPSHUR,93,0,0,0,93
231,UPTON,0,0,0,0,0
232,UVALDE,89,0,0,0,89
233,VAL VERDE,540,0,2,123,665
234,VAN ZANDT,87,0,0,0,87
235,VICTORIA,580,0,11,0,591
236,WALKER,16,0,36,0,52
237,WALLER,11,0,1,0,12
238,WARD,2,0,0,0,2
239,WASHINGTON,173,0,18,0,191
240,WEBB,391,0,161,52,604
241,WHARTON,216,0,48,0,264
242,WHEELER,17,0,0,0,17
243,WICHITA,571,0,124,0,695
244,WILBARGER,59,0,36,0,95
245,WILLACY,124,0,0,0,124
246,WILLIAMSON,580,0,35,0,615
247,WILSON,118,0,9,1,128
248,WINKLER,2,0,0,0,2
249,WISE,57,0,1,1,59
250,WOOD,25,0,0,0,25
251,YOAKUM,3,0,0,0,3
252,YOUNG,28,0,0,0,28
253,ZAPATA,103,0,0,0,103
254,ZAVALA,70,0,0,0,70
255,UNKNOWN,0,0,0,0,0
256,OUT OF STATE,8,0,0,0,8
257,STATE TOTAL,30042,17799,5513,1445,54799
