,County,Intakes,Completed Investigation,Confirmed Investigations
171,MOORE,0,0,0
172,MORRIS,0,0,0
173,MOTLEY,0,0,0
174,NACOGDOCHES,2,2,0
175,NAVARRO,23,17,6
176,NEWTON,1,1,1
177,NOLAN,7,5,1
178,NUECES,803,760,49
179,OCHILTREE,0,0,0
180,OLDHAM,0,0,0
181,ORANGE,4,3,0
182,PALO PINTO,0,0,0
183,PANOLA,0,0,0
184,PARKER,5,4,1
185,PARMER,0,0,0
186,PECOS,0,0,0
187,POLK,0,0,0
188,POTTER,29,24,7
189,PRESIDIO,0,0,0
190,RAINS,0,0,0
191,RANDALL,62,50,12
192,REAGAN,0,0,0
193,REAL,0,0,0
194,RED RIVER,2,1,0
195,REEVES,1,1,0
196,REFUGIO,0,0,0
197,ROBERTS,0,0,0
198,ROBERTSON,1,1,0
199,ROCKWALL,0,0,0
200,RUNNELS,1,0,0
201,RUSK,0,0,0
202,SABINE,2,2,1
203,SAN AUGUSTINE,2,1,0
204,SAN JACINTO,0,0,0
205,SAN PATRICIO,6,5,1
206,SAN SABA,0,0,0
207,SCHLEICHER,0,0,0
208,SCURRY,0,0,0
209,SHACKELFORD,0,0,0
210,SHELBY,0,0,0
211,SHERMAN,0,0,0
212,SMITH,33,33,6
213,SOMERVELL,0,0,0
214,STARR,0,0,0
215,STEPHENS,0,0,0
216,STERLING,0,0,0
217,STONEWALL,0,0,0
218,SUTTON,0,0,0
219,SWISHER,0,0,0
220,TARRANT,237,221,32
221,TAYLOR,531,453,108
222,TERRELL,0,0,0
223,TERRY,0,0,0
224,THROCKMORTON,0,0,0
225,TITUS,1,1,0
226,TOM GREEN,901,849,58
227,TRAVIS,905,1026,99
228,TRINITY,0,0,0
229,TYLER,0,0,0
230,UPSHUR,1,1,0
231,UPTON,0,0,0
232,UVALDE,4,2,0
233,VAL VERDE,11,5,0
234,VAN ZANDT,0,0,0
235,VICTORIA,7,5,0
236,WALKER,1,1,0
237,WALLER,0,0,0
238,WARD,0,0,0
239,WASHINGTON,254,248,29
240,WEBB,30,27,4
241,WHARTON,8,7,0
242,WHEELER,0,0,0
243,WICHITA,353,356,34
244,WILBARGER,483,440,25
245,WILLACY,1,1,0
246,WILLIAMSON,23,25,7
247,WILSON,4,1,0
248,WINKLER,0,0,0
249,WISE,0,0,0
250,WOOD,0,0,0
251,YOAKUM,0,0,0
252,YOUNG,0,1,0
253,ZAPATA,0,0,0
254,ZAVALA,0,0,0
255,UNKNOWN,0,20,7
256,OUT OF STATE,1,0,0
257,STATE TOTAL,10368,9730,1049
