,County,Children Receiving Sub-Care Purchased Services,Expenditures For Sub-Care Purchased Services,Children in Substitute Care,Children Receiving In-home Purchased Services,Expenditures For InHome Purchased Services,Children Receiving In-home Services
167,MILLS,1,$56.55,4,1,$339.30,6
168,MITCHELL,1,$377.15,3,1,$36.48,40
169,MONTAGUE,7,"$27,385.66",41,3,$109.44,106
170,MONTGOMERY,184,"$173,814.86",822,75,"$16,030.88",1660
171,MOORE,0,$0.00,10,3,$526.36,109
172,MORRIS,16,"$10,920.69",34,7,"$1,195.91",74
173,MOTLEY,0,$0.00,3,0,$0.00,3
174,NACOGDOCHES,40,"$16,616.50",141,22,"$5,627.24",173
175,NAVARRO,148,"$54,182.24",158,20,"$10,059.17",136
176,NEWTON,1,$565.00,17,1,$27.00,16
177,NOLAN,5,"$5,255.63",29,8,"$1,781.88",149
178,NUECES,315,"$326,754.08",721,214,"$26,338.08",3328
179,OCHILTREE,1,"$4,000.00",11,3,$632.63,11
180,OLDHAM,0,$0.00,4,0,$0.00,0
181,ORANGE,34,"$17,853.45",115,9,"$3,526.47",236
182,PALO PINTO,58,"$27,670.14",61,7,$701.76,233
183,PANOLA,9,"$5,958.53",23,7,"$2,057.75",70
184,PARKER,49,"$63,265.74",87,9,$865.58,372
185,PARMER,2,"$4,300.00",34,0,$0.00,22
186,PECOS,11,"$8,046.48",45,2,$920.21,80
187,POLK,33,"$20,674.89",111,16,"$4,682.80",137
188,POTTER,312,"$284,919.04",294,233,"$52,662.10",1240
189,PRESIDIO,1,$300.00,5,0,$0.00,14
190,RAINS,9,"$6,581.15",20,5,$919.86,51
191,RANDALL,78,"$44,161.64",386,33,"$5,217.66",457
192,REAGAN,2,"$8,000.00",9,0,$0.00,32
193,REAL,0,$0.00,6,0,$0.00,13
194,RED RIVER,13,"$4,315.17",31,21,"$3,315.13",69
195,REEVES,10,"$6,473.14",19,3,$546.96,84
196,REFUGIO,0,$0.00,2,4,"$2,688.38",60
197,ROBERTS,0,$0.00,0,0,$0.00,2
198,ROBERTSON,12,"$15,200.00",28,1,$22.75,45
199,ROCKWALL,21,"$15,964.17",39,1,$113.10,100
200,RUNNELS,3,"$1,272.96",38,6,$665.49,70
201,RUSK,39,"$25,943.89",69,13,"$5,916.70",155
202,SABINE,3,"$1,360.00",3,0,$0.00,11
203,SAN AUGUSTINE,4,$999.65,4,0,$0.00,14
204,SAN JACINTO,15,"$11,759.80",63,10,$856.03,73
205,SAN PATRICIO,27,"$38,261.92",71,91,"$21,015.29",786
206,SAN SABA,8,"$9,232.40",18,0,$0.00,36
207,SCHLEICHER,2,"$5,000.00",5,0,$0.00,420
208,SCURRY,8,"$7,629.00",20,5,$669.36,125
209,SHACKELFORD,1,"$5,000.00",2,0,$0.00,19
210,SHELBY,33,"$57,319.32",51,7,$609.28,39
211,SHERMAN,0,$0.00,5,0,$0.00,2
212,SMITH,219,"$158,247.61",333,18,"$6,402.11",497
213,SOMERVELL,8,"$16,786.00",4,2,$130.00,24
214,STARR,19,"$13,755.21",94,24,$905.59,443
215,STEPHENS,0,$0.00,23,2,$72.96,48
216,STERLING,0,$0.00,0,0,$0.00,2
217,STONEWALL,1,$426.32,0,0,$0.00,5
218,SUTTON,0,$0.00,6,0,$0.00,33
219,SWISHER,0,$0.00,21,0,$0.00,30
220,TARRANT,903,"$797,321.00",1892,213,"$62,375.71",7002
221,TAYLOR,222,"$243,734.53",230,49,"$5,147.10",743
222,TERRELL,0,$0.00,3,0,$0.00,0
223,TERRY,3,$65.00,42,1,$35.00,66
224,THROCKMORTON,0,$0.00,2,0,$0.00,5
225,TITUS,39,"$29,681.39",106,128,"$16,125.84",179
226,TOM GREEN,230,"$282,275.60",418,50,"$9,926.51",850
227,TRAVIS,869,"$1,381,571.08",1218,143,"$45,075.09",1958
228,TRINITY,13,"$7,434.33",43,1,$27.00,37
229,TYLER,20,"$10,934.08",15,1,$237.21,32
230,UPSHUR,57,"$36,396.59",96,45,"$4,726.67",190
231,UPTON,1,"$1,140.00",11,4,"$1,897.68",22
232,UVALDE,8,"$11,783.02",87,25,"$3,047.84",84
233,VAL VERDE,7,"$5,212.50",50,4,$90.00,89
234,VAN ZANDT,62,"$77,203.28",137,22,"$5,917.34",225
235,VICTORIA,36,"$31,157.08",190,52,"$10,173.64",390
236,WALKER,10,"$7,017.76",92,2,$72.96,135
237,WALLER,41,"$24,112.90",70,10,"$5,488.20",130
238,WARD,11,"$5,447.33",14,10,"$2,234.61",94
239,WASHINGTON,9,"$5,742.00",30,0,$0.00,92
240,WEBB,203,"$100,138.00",497,172,"$21,300.39",1907
241,WHARTON,22,"$9,451.75",37,12,"$4,275.23",165
242,WHEELER,3,"$1,800.00",13,0,$0.00,18
243,WICHITA,85,"$89,560.92",262,26,"$1,385.26",817
244,WILBARGER,6,"$5,002.40",29,6,$297.47,99
245,WILLACY,8,"$6,710.30",83,10,$797.98,225
246,WILLIAMSON,109,"$130,179.49",522,74,"$23,839.11",766
247,WILSON,0,$0.00,13,1,$22.50,75
248,WINKLER,4,"$3,080.00",12,0,$0.00,38
249,WISE,50,"$17,441.61",53,3,$632.56,278
250,WOOD,49,"$35,588.69",119,18,"$2,705.20",141
251,YOAKUM,0,$0.00,26,0,$0.00,28
252,YOUNG,11,"$3,933.75",29,5,$395.19,114
253,ZAPATA,24,"$3,196.03",56,9,"$1,118.33",228
254,ZAVALA,5,"$1,814.00",43,2,$45.00,46
255,UNKNOWN,0,$0.00,0,0,$0.00,0
256,STATE TOTAL,17476,"$15,897,234.35",39733,6224,"$1,357,805.67",95683
