,County,Region,Intakes,Completed Investigations,Confirmed Investigations
215,STEPHENS,002,2,3,1
216,STERLING,009,0,0,0
217,STONEWALL,002,0,0,0
218,SUTTON,009,0,0,0
219,SWISHER,001,0,0,0
220,TARRANT,003,656,557,39
221,TAYLOR,002,343,324,43
222,TERRELL,009,0,0,0
223,TERRY,001,0,0,0
224,THROCKMORTON,002,0,0,0
225,TITUS,004,4,3,0
226,TOM GREEN,009,1117,1065,73
227,TRAVIS,007,977,899,133
228,TRINITY,005,0,0,0
229,TYLER,005,0,0,0
230,UPSHUR,004,1,1,0
231,UPTON,009,0,0,0
232,UVALDE,008,1,0,0
233,VAL VERDE,008,4,4,1
234,VAN ZANDT,004,1,2,0
235,VICTORIA,008,8,10,0
236,WALKER,006,3,3,1
237,WALLER,006,3,5,1
238,WARD,009,0,0,0
239,WASHINGTON,007,220,202,26
240,WEBB,011,50,50,4
241,WHARTON,006,15,18,0
242,WHEELER,001,0,0,0
243,WICHITA,002,409,390,27
244,WILBARGER,002,363,347,17
245,WILLACY,011,0,0,0
246,WILLIAMSON,007,210,184,25
247,WILSON,008,1,1,0
248,WINKLER,009,0,0,0
249,WISE,003,2,2,0
250,WOOD,004,0,0,0
251,YOAKUM,001,0,0,0
252,YOUNG,002,5,3,1
253,ZAPATA,011,0,0,0
254,ZAVALA,008,0,0,0
255,UNKNOWN,,1,3,0
256,STATEWIDE,,12952,11935,1192
