,County,Region,Families,Children,Children* Removed From Home,Percent of Children Removed
159,MAVERICK,008,18,60,2,3.3%
160,MCCULLOCH,009,16,36,0,0.0%
161,MCLENNAN,007,378,1023,91,8.9%
162,MCMULLEN,011,2,5,0,0.0%
163,MEDINA,008,70,209,10,4.8%
164,MENARD,009,1,1,0,0.0%
165,MIDLAND,009,103,282,14,5.0%
166,MILAM,007,28,92,1,1.1%
167,MILLS,007,3,11,4,36.4%
168,MITCHELL,002,19,64,7,10.9%
169,MONTAGUE,002,50,122,2,1.6%
170,MONTGOMERY,006,370,990,38,3.8%
171,MOORE,001,23,60,8,13.3%
172,MORRIS,004,14,38,9,23.7%
173,MOTLEY,001,2,3,0,0.0%
174,NACOGDOCHES,005,33,90,8,8.9%
175,NAVARRO,003,45,135,5,3.7%
176,NEWTON,005,8,17,0,0.0%
177,NOLAN,002,63,157,6,3.8%
178,NUECES,011,925,2534,141,5.6%
179,OCHILTREE,001,11,26,0,0.0%
180,OLDHAM,001,1,2,0,0.0%
181,ORANGE,005,66,173,13,7.5%
182,PALO PINTO,003,118,288,17,5.9%
183,PANOLA,004,36,97,3,3.1%
184,PARKER,003,189,499,36,7.2%
185,PARMER,001,7,18,0,0.0%
186,PECOS,009,7,20,0,0.0%
187,POLK,005,23,54,6,11.1%
188,POTTER,001,287,716,20,2.8%
189,PRESIDIO,010,6,14,2,14.3%
190,RAINS,004,3,7,0,0.0%
191,RANDALL,001,109,256,2,0.8%
192,REAGAN,009,1,4,0,0.0%
193,REAL,008,3,9,0,0.0%
194,RED RIVER,004,12,35,8,22.9%
195,REEVES,009,9,23,2,8.7%
196,REFUGIO,011,21,64,1,1.6%
197,ROBERTS,001,0,0,0,0.0%
198,ROBERTSON,007,6,17,0,0.0%
199,ROCKWALL,003,58,160,4,2.5%
200,RUNNELS,002,14,39,5,12.8%
201,RUSK,004,36,90,6,6.7%
202,SABINE,005,6,12,0,0.0%
203,SAN AUGUSTINE,005,7,17,2,11.8%
204,SAN JACINTO,005,23,53,7,13.2%
205,SAN PATRICIO,011,228,607,20,3.3%
206,SAN SABA,007,7,16,3,18.8%
207,SCHLEICHER,009,7,19,0,0.0%
208,SCURRY,002,51,119,8,6.7%
209,SHACKELFORD,002,11,27,6,22.2%
210,SHELBY,005,27,78,12,15.4%
211,SHERMAN,001,1,5,0,0.0%
212,SMITH,004,259,684,84,12.3%
213,SOMERVELL,003,6,12,1,8.3%
214,STARR,011,91,264,14,5.3%
215,STEPHENS,002,16,43,0,0.0%
216,STERLING,009,2,9,0,0.0%
217,STONEWALL,002,3,6,0,0.0%
218,SUTTON,009,3,11,4,36.4%
219,SWISHER,001,16,43,0,0.0%
220,TARRANT,003,2118,5914,89,1.5%
221,TAYLOR,002,432,1178,90,7.6%
222,TERRELL,009,2,2,0,0.0%
223,TERRY,001,21,72,1,1.4%
224,THROCKMORTON,002,3,6,0,0.0%
225,TITUS,004,26,66,8,12.1%
226,TOM GREEN,009,266,677,55,8.1%
227,TRAVIS,007,649,1679,138,8.2%
228,TRINITY,005,15,49,0,0.0%
229,TYLER,005,21,58,8,13.8%
230,UPSHUR,004,44,113,18,15.9%
231,UPTON,009,6,14,1,7.1%
232,UVALDE,008,55,146,7,4.8%
233,VAL VERDE,008,15,51,0,0.0%
234,VAN ZANDT,004,40,108,9,8.3%
235,VICTORIA,008,104,286,29,10.1%
236,WALKER,006,61,162,3,1.9%
237,WALLER,006,29,85,3,3.5%
238,WARD,009,13,39,0,0.0%
239,WASHINGTON,007,6,23,1,4.3%
240,WEBB,011,564,1879,43,2.3%
241,WHARTON,006,35,119,0,0.0%
242,WHEELER,001,5,11,0,0.0%
243,WICHITA,002,312,807,37,4.6%
244,WILBARGER,002,17,52,1,1.9%
245,WILLACY,011,70,218,5,2.3%
246,WILLIAMSON,007,335,834,56,6.7%
247,WILSON,008,17,50,16,32.0%
248,WINKLER,009,8,19,4,21.1%
249,WISE,003,64,155,2,1.3%
250,WOOD,004,45,127,7,5.5%
251,YOAKUM,001,6,15,0,0.0%
252,YOUNG,002,31,72,2,2.8%
253,ZAPATA,011,31,104,2,1.9%
254,ZAVALA,008,26,93,5,5.4%
255,OUT OF STATE,,3,5,0,0.0%
256,STATE TOTAL,,30051,85215,4406,5.2%
