,County,Region,Total Completed Investigations,Total Confirmed Investigations,Percent Confirmed Investigations,Unconfirmed Investigations - Ruled Out,Unconfirmed Investigations - Unable To Determine,Unconfirmed Investigations - Unable To Complete,Total Unconfirmed,Percent Unconfirmed
83,GAINES,009,91,15,16.5%,68,7,1,76,83.5%
84,GALVESTON,006,2148,460,21.4%,1426,224,38,1688,78.6%
85,GARZA,001,31,9,29.0%,20,2,0,22,71.0%
86,GILLESPIE,008,125,41,32.8%,74,8,2,84,67.2%
87,GLASSCOCK,009,3,1,33.3%,2,0,0,2,66.7%
88,GOLIAD,008,54,6,11.1%,45,3,0,48,88.9%
89,GONZALES,008,136,31,22.8%,95,8,2,105,77.2%
90,GRAY,001,198,55,27.8%,103,31,9,143,72.2%
91,GRAYSON,003,1217,388,31.9%,671,137,21,829,68.1%
92,GREGG,004,1119,338,30.2%,644,122,15,781,69.8%
93,GRIMES,007,191,44,23.0%,131,15,1,147,77.0%
94,GUADALUPE,008,961,233,24.2%,665,58,5,728,75.8%
95,HALE,001,285,101,35.4%,161,19,4,184,64.6%
96,HALL,001,26,8,30.8%,13,5,0,18,69.2%
97,HAMILTON,007,57,13,22.8%,41,3,0,44,77.2%
98,HANSFORD,001,22,12,54.5%,10,0,0,10,45.5%
99,HARDEMAN,002,37,14,37.8%,18,5,0,23,62.2%
100,HARDIN,005,430,98,22.8%,288,40,4,332,77.2%
101,HARRIS,006,23459,3998,17.0%,16029,2463,969,19461,83.0%
102,HARRISON,004,544,152,27.9%,338,50,4,392,72.1%
103,HARTLEY,001,12,4,33.3%,4,3,1,8,66.7%
104,HASKELL,002,41,9,22.0%,21,8,3,32,78.0%
105,HAYS,007,1024,288,28.1%,628,93,15,736,71.9%
106,HEMPHILL,001,13,4,30.8%,7,2,0,9,69.2%
107,HENDERSON,004,817,228,27.9%,457,114,18,589,72.1%
108,HIDALGO,011,6127,1147,18.7%,4343,584,53,4980,81.3%
109,HILL,007,314,73,23.2%,230,9,2,241,76.8%
110,HOCKLEY,001,194,43,22.2%,133,11,7,151,77.8%
111,HOOD,003,544,165,30.3%,321,53,5,379,69.7%
112,HOPKINS,004,347,77,22.2%,243,24,3,270,77.8%
113,HOUSTON,005,177,68,38.4%,101,8,0,109,61.6%
114,HOWARD,009,297,75,25.3%,194,15,13,222,74.7%
115,HUDSPETH,010,11,2,18.2%,8,1,0,9,81.8%
116,HUNT,003,767,211,27.5%,415,124,17,556,72.5%
117,HUTCHINSON,001,179,62,34.6%,99,17,1,117,65.4%
118,IRION,009,5,0,0.0%,4,1,0,5,100.0%
119,JACK,002,79,32,40.5%,40,7,0,47,59.5%
120,JACKSON,008,79,16,20.3%,60,3,0,63,79.7%
121,JASPER,005,292,78,26.7%,186,27,1,214,73.3%
122,JEFF DAVIS,010,6,1,16.7%,4,1,0,5,83.3%
123,JEFFERSON,005,2062,441,21.4%,1398,183,40,1621,78.6%
124,JIM HOGG,011,54,15,27.8%,34,5,0,39,72.2%
125,JIM WELLS,011,460,104,22.6%,323,22,11,356,77.4%
126,JOHNSON,003,1405,406,28.9%,778,195,26,999,71.1%
127,JONES,002,162,42,25.9%,98,20,2,120,74.1%
128,KARNES,008,112,22,19.6%,80,5,5,90,80.4%
129,KAUFMAN,003,691,179,25.9%,406,90,16,512,74.1%
130,KENDALL,008,164,32,19.5%,124,7,1,132,80.5%
131,KENEDY,011,3,2,66.7%,1,0,0,1,33.3%
132,KENT,002,5,0,0.0%,3,2,0,5,100.0%
133,KERR,008,342,103,30.1%,215,23,1,239,69.9%
134,KIMBLE,009,34,9,26.5%,23,2,0,25,73.5%
135,KING,001,0,0,0.0%,0,0,0,0,0.0%
136,KINNEY,008,15,3,20.0%,11,0,1,12,80.0%
137,KLEBERG,011,269,50,18.6%,204,8,7,219,81.4%
138,KNOX,002,24,5,20.8%,14,4,1,19,79.2%
139,LAMAR,004,521,148,28.4%,306,61,6,373,71.6%
140,LAMB,001,134,29,21.6%,99,4,2,105,78.4%
141,LAMPASAS,007,215,55,25.6%,150,9,1,160,74.4%
142,LA SALLE,008,57,13,22.8%,42,1,1,44,77.2%
143,LAVACA,008,100,18,18.0%,77,5,0,82,82.0%
144,LEE,007,114,17,14.9%,94,3,0,97,85.1%
145,LEON,007,126,15,11.9%,102,9,0,111,88.1%
146,LIBERTY,006,673,184,27.3%,412,63,14,489,72.7%
147,LIMESTONE,007,207,40,19.3%,160,4,3,167,80.7%
148,LIPSCOMB,001,11,1,9.1%,9,0,1,10,90.9%
149,LIVE OAK,011,89,32,36.0%,50,4,3,57,64.0%
150,LLANO,007,172,50,29.1%,118,3,1,122,70.9%
151,LOVING,009,0,0,0.0%,0,0,0,0,0.0%
152,LUBBOCK,001,2438,611,25.1%,1627,155,45,1827,74.9%
153,LYNN,001,41,6,14.6%,31,4,0,35,85.4%
154,MADISON,007,112,21,18.8%,83,6,2,91,81.3%
155,MARION,004,107,28,26.2%,66,10,3,79,73.8%
156,MARTIN,009,27,7,25.9%,17,3,0,20,74.1%
157,MASON,009,25,7,28.0%,16,2,0,18,72.0%
158,MATAGORDA,006,272,43,15.8%,206,22,1,229,84.2%
159,MAVERICK,008,224,20,8.9%,194,7,3,204,91.1%
160,MCCULLOCH,009,101,26,25.7%,69,5,1,75,74.3%
161,MCLENNAN,007,2354,654,27.8%,1585,104,11,1700,72.2%
162,MCMULLEN,011,10,1,10.0%,9,0,0,9,90.0%
163,MEDINA,008,286,54,18.9%,211,21,0,232,81.1%
164,MENARD,009,18,4,22.2%,13,1,0,14,77.8%
165,MIDLAND,009,978,219,22.4%,700,34,25,759,77.6%
166,MILAM,007,202,67,33.2%,115,18,2,135,66.8%
167,MILLS,007,36,8,22.2%,27,1,0,28,77.8%
168,MITCHELL,002,69,15,21.7%,50,3,1,54,78.3%
169,MONTAGUE,002,199,86,43.2%,91,21,1,113,56.8%
170,MONTGOMERY,006,2729,340,12.5%,1997,328,64,2389,87.5%
171,MOORE,001,177,28,15.8%,133,11,5,149,84.2%
172,MORRIS,004,114,19,16.7%,83,6,6,95,83.3%
173,MOTLEY,001,6,1,16.7%,5,0,0,5,83.3%
174,NACOGDOCHES,005,404,104,25.7%,272,27,1,300,74.3%
175,NAVARRO,003,410,63,15.4%,304,40,3,347,84.6%
176,NEWTON,005,78,16,20.5%,51,9,2,62,79.5%
177,NOLAN,002,194,41,21.1%,138,13,2,153,78.9%
178,NUECES,011,3505,828,23.6%,2240,334,103,2677,76.4%
179,OCHILTREE,001,59,19,32.2%,35,4,1,40,67.8%
180,OLDHAM,001,7,1,14.3%,4,1,1,6,85.7%
181,ORANGE,005,875,178,20.3%,616,68,13,697,79.7%
182,PALO PINTO,003,367,141,38.4%,187,33,6,226,61.6%
183,PANOLA,004,176,66,37.5%,84,24,2,110,62.5%
184,PARKER,003,927,268,28.9%,544,106,9,659,71.1%
185,PARMER,001,36,9,25.0%,24,3,0,27,75.0%
186,PECOS,009,75,14,18.7%,56,5,0,61,81.3%
187,POLK,005,437,70,16.0%,330,32,5,367,84.0%
188,POTTER,001,1376,370,26.9%,868,103,35,1006,73.1%
189,PRESIDIO,010,34,12,35.3%,21,1,0,22,64.7%
190,RAINS,004,87,22,25.3%,63,2,0,65,74.7%
191,RANDALL,001,661,176,26.6%,421,53,11,485,73.4%
192,REAGAN,009,21,3,14.3%,17,1,0,18,85.7%
193,REAL,008,30,7,23.3%,23,0,0,23,76.7%
194,RED RIVER,004,88,23,26.1%,54,8,3,65,73.9%
195,REEVES,009,85,18,21.2%,54,13,0,67,78.8%
196,REFUGIO,011,52,18,34.6%,28,6,0,34,65.4%
197,ROBERTS,001,2,1,50.0%,0,0,1,1,50.0%
198,ROBERTSON,007,113,24,21.2%,76,12,1,89,78.8%
199,ROCKWALL,003,348,79,22.7%,232,32,5,269,77.3%
200,RUNNELS,002,82,20,24.4%,56,6,0,62,75.6%
201,RUSK,004,405,127,31.4%,226,46,6,278,68.6%
202,SABINE,005,64,16,25.0%,39,8,1,48,75.0%
203,SAN AUGUSTINE,005,52,15,28.8%,30,7,0,37,71.2%
204,SAN JACINTO,005,257,55,21.4%,188,13,1,202,78.6%
205,SAN PATRICIO,011,700,177,25.3%,458,53,12,523,74.7%
206,SAN SABA,007,57,20,35.1%,35,2,0,37,64.9%
207,SCHLEICHER,009,12,5,41.7%,6,1,0,7,58.3%
208,SCURRY,002,168,41,24.4%,120,6,1,127,75.6%
209,SHACKELFORD,002,24,7,29.2%,14,3,0,17,70.8%
210,SHELBY,005,209,54,25.8%,130,24,1,155,74.2%
211,SHERMAN,001,13,5,38.5%,7,1,0,8,61.5%
212,SMITH,004,1434,330,23.0%,953,127,24,1104,77.0%
213,SOMERVELL,003,62,13,21.0%,41,8,0,49,79.0%
214,STARR,011,402,69,17.2%,293,38,2,333,82.8%
215,STEPHENS,002,85,15,17.6%,63,7,0,70,82.4%
216,STERLING,009,14,5,35.7%,8,1,0,9,64.3%
217,STONEWALL,002,5,1,20.0%,2,2,0,4,80.0%
218,SUTTON,009,15,1,6.7%,13,1,0,14,93.3%
219,SWISHER,001,43,14,32.6%,26,3,0,29,67.4%
220,TARRANT,003,14122,3840,27.2%,7890,2102,290,10282,72.8%
221,TAYLOR,002,1764,550,31.2%,1095,107,12,1214,68.8%
222,TERRELL,009,5,1,20.0%,3,1,0,4,80.0%
223,TERRY,001,107,16,15.0%,88,2,1,91,85.0%
224,THROCKMORTON,002,11,2,18.2%,5,4,0,9,81.8%
225,TITUS,004,192,56,29.2%,118,13,5,136,70.8%
226,TOM GREEN,009,1125,279,24.8%,747,75,24,846,75.2%
227,TRAVIS,007,7701,1618,21.0%,5585,408,90,6083,79.0%
228,TRINITY,005,146,45,30.8%,91,10,0,101,69.2%
229,TYLER,005,190,48,25.3%,108,31,3,142,74.7%
230,UPSHUR,004,350,95,27.1%,232,16,7,255,72.9%
231,UPTON,009,26,8,30.8%,16,2,0,18,69.2%
232,UVALDE,008,247,58,23.5%,183,5,1,189,76.5%
233,VAL VERDE,008,271,37,13.7%,226,8,0,234,86.3%
234,VAN ZANDT,004,413,108,26.2%,258,32,15,305,73.8%
235,VICTORIA,008,737,160,21.7%,531,40,6,577,78.3%
236,WALKER,006,319,62,19.4%,214,34,9,257,80.6%
237,WALLER,006,265,52,19.6%,194,13,6,213,80.4%
238,WARD,009,93,17,18.3%,59,14,3,76,81.7%
239,WASHINGTON,007,144,37,25.7%,94,12,1,107,74.3%
240,WEBB,011,1621,340,21.0%,1171,83,27,1281,79.0%
241,WHARTON,006,242,28,11.6%,184,25,5,214,88.4%
242,WHEELER,001,30,5,16.7%,20,5,0,25,83.3%
243,WICHITA,002,1417,427,30.1%,816,161,13,990,69.9%
244,WILBARGER,002,106,30,28.3%,61,14,1,76,71.7%
245,WILLACY,011,227,65,28.6%,146,15,1,162,71.4%
246,WILLIAMSON,007,2047,453,22.1%,1490,97,7,1594,77.9%
247,WILSON,008,195,48,24.6%,129,9,9,147,75.4%
248,WINKLER,009,62,14,22.6%,43,4,1,48,77.4%
249,WISE,003,472,108,22.9%,316,41,7,364,77.1%
250,WOOD,004,302,79,26.2%,187,28,8,223,73.8%
251,YOAKUM,001,50,9,18.0%,38,3,0,41,82.0%
252,YOUNG,002,198,37,18.7%,140,20,1,161,81.3%
253,ZAPATA,011,125,18,14.4%,87,19,1,107,85.6%
254,ZAVALA,008,122,31,25.4%,89,2,0,91,74.6%
255,OUT OF STATE,,41,9,22.0%,11,8,13,32,78.0%
256,STATE TOTAL,,176868,40506,22.9%,116316,16696,3350,136362,77.1%
