,County,Region,Total,African American,Anglo,Hispanic,Native American,Other**
51,COTTLE,002,6,0,1,5,0,0
52,CRANE,009,5,1,2,2,0,0
53,CROCKETT,009,4,0,1,3,0,0
54,CROSBY,001,37,3,5,29,0,0
55,CULBERSON,010,3,0,0,3,0,0
56,DALLAM,001,29,0,19,10,0,0
57,DALLAS,003,5505,2055,969,2146,2,333
58,DAWSON,009,84,0,14,64,0,6
59,DEAF SMITH,001,77,0,9,66,0,2
60,DELTA,004,16,1,15,0,0,0
61,DENTON,003,898,108,462,236,2,90
62,DE WITT,008,46,5,16,21,0,4
63,DICKENS,001,11,0,6,2,0,3
64,DIMMIT,008,30,0,5,25,0,0
65,DONLEY,001,10,0,5,5,0,0
66,DUVAL,011,56,0,0,56,0,0
67,EASTLAND,002,42,0,34,7,0,1
68,ECTOR,009,662,41,221,368,0,32
69,EDWARDS,008,7,0,1,6,0,0
70,ELLIS,003,257,30,143,73,0,11
71,EL PASO,010,2219,144,275,1689,20,91
72,ERATH,003,141,2,87,46,0,6
73,FALLS,007,26,9,7,8,0,2
74,FANNIN,003,91,2,59,19,1,10
75,FAYETTE,007,41,2,27,8,0,4
76,FISHER,002,10,0,6,4,0,0
77,FLOYD,001,34,0,1,33,0,0
78,FOARD,002,9,3,4,0,0,2
79,FORT BEND,006,558,160,104,249,0,45
80,FRANKLIN,004,29,0,16,11,0,2
81,FREESTONE,007,36,1,30,3,0,2
82,FRIO,008,79,0,3,74,0,2
83,GAINES,009,40,2,8,28,2,0
84,GALVESTON,006,603,139,276,140,1,47
85,GARZA,001,63,1,26,30,3,3
86,GILLESPIE,008,49,0,21,28,0,0
87,GLASSCOCK,009,0,0,0,0,0,0
88,GOLIAD,008,10,0,3,7,0,0
89,GONZALES,008,58,0,20,36,0,2
90,GRAY,001,101,2,63,29,0,7
91,GRAYSON,003,559,37,375,58,2,87
92,GREGG,004,506,127,242,85,0,52
93,GRIMES,007,56,7,31,17,0,1
94,GUADALUPE,008,311,17,131,139,0,24
95,HALE,001,166,2,41,119,0,4
96,HALL,001,10,0,2,7,0,1
97,HAMILTON,007,35,0,27,4,0,4
98,HANSFORD,001,3,0,2,1,0,0
99,HARDEMAN,002,22,2,7,12,0,1
100,HARDIN,005,126,7,101,10,0,8
101,HARRIS,006,5929,2289,1127,2132,6,375
102,HARRISON,004,241,42,146,35,0,18
103,HARTLEY,001,5,0,1,4,0,0
104,HASKELL,002,15,1,10,3,1,0
105,HAYS,007,283,19,90,168,0,6
106,HEMPHILL,001,7,0,4,1,0,2
107,HENDERSON,004,252,13,198,24,0,17
108,HIDALGO,011,3098,12,71,2974,0,41
109,HILL,007,112,9,72,27,0,4
110,HOCKLEY,001,139,3,36,88,0,12
111,HOOD,003,279,4,237,29,0,9
112,HOPKINS,004,68,2,50,7,0,9
113,HOUSTON,005,73,27,27,11,0,8
114,HOWARD,009,184,9,84,84,0,7
115,HUDSPETH,010,4,0,2,2,0,0
116,HUNT,003,322,26,209,64,0,23
117,HUTCHINSON,001,55,0,44,8,0,3
118,IRION,009,1,0,1,0,0,0
119,JACK,002,28,0,21,1,0,6
120,JACKSON,008,30,5,15,9,0,1
121,JASPER,005,93,17,65,1,0,10
122,JEFF DAVIS,010,6,0,6,0,0,0
123,JEFFERSON,005,537,323,136,51,0,27
124,JIM HOGG,011,31,0,2,29,0,0
125,JIM WELLS,011,162,0,10,150,0,2
126,JOHNSON,003,674,24,507,99,2,42
127,JONES,002,77,2,44,29,0,2
128,KARNES,008,46,1,11,34,0,0
129,KAUFMAN,003,223,31,139,32,0,21
130,KENDALL,008,47,0,26,17,0,4
131,KENEDY,011,2,0,0,1,0,1
132,KENT,002,1,0,1,0,0,0
133,KERR,008,150,2,84,57,0,7
134,KIMBLE,009,18,0,8,10,0,0
135,KING,001,0,0,0,0,0,0
136,KINNEY,008,4,0,1,1,0,2
137,KLEBERG,011,102,3,4,91,0,4
138,KNOX,002,9,0,4,4,0,1
139,LAMAR,004,156,24,102,10,2,18
140,LAMB,001,63,2,8,49,0,4
141,LAMPASAS,007,73,1,50,19,0,3
142,LA SALLE,008,32,0,5,27,0,0
143,LAVACA,008,22,5,12,5,0,0
144,LEE,007,57,3,27,20,0,7
145,LEON,007,68,3,47,5,0,13
146,LIBERTY,006,334,28,222,55,1,28
147,LIMESTONE,007,40,4,22,12,0,2
148,LIPSCOMB,001,8,0,7,1,0,0
149,LIVE OAK,011,56,0,17,35,0,4
150,LLANO,007,55,0,49,6,0,0
151,LOVING,009,0,0,0,0,0,0
152,LUBBOCK,001,1354,168,349,765,0,72
153,LYNN,001,29,0,2,24,0,3
154,MADISON,007,44,3,29,6,0,6
155,MARION,004,92,6,77,3,0,6
156,MARTIN,009,6,0,4,2,0,0
157,MASON,009,0,0,0,0,0,0
158,MATAGORDA,006,91,7,32,48,0,4
159,MAVERICK,008,42,0,1,41,0,0
160,MCCULLOCH,009,46,1,18,27,0,0
161,MCLENNAN,007,771,184,292,242,0,53
162,MCMULLEN,011,0,0,0,0,0,0
163,MEDINA,008,142,2,35,100,0,5
164,MENARD,009,6,0,2,4,0,0
165,MIDLAND,009,335,32,132,147,1,23
166,MILAM,007,120,10,56,48,0,6
167,MILLS,007,10,0,9,1,0,0
168,MITCHELL,002,64,5,28,23,0,8
169,MONTAGUE,002,97,0,82,13,0,2
170,MONTGOMERY,006,624,53,422,119,0,30
171,MOORE,001,68,0,21,44,0,3
172,MORRIS,004,48,13,26,4,0,5
173,MOTLEY,001,3,0,0,3,0,0
174,NACOGDOCHES,005,126,39,58,26,0,3
175,NAVARRO,003,125,28,58,34,0,5
176,NEWTON,005,20,4,14,0,0,2
177,NOLAN,002,117,6,32,74,0,5
178,NUECES,011,1004,38,220,696,0,50
179,OCHILTREE,001,41,0,9,29,0,3
180,OLDHAM,001,0,0,0,0,0,0
181,ORANGE,005,340,31,267,11,0,31
182,PALO PINTO,003,198,0,128,58,0,12
183,PANOLA,004,51,7,34,6,0,4
184,PARKER,003,373,8,286,63,0,16
185,PARMER,001,18,0,7,10,0,1
186,PECOS,009,40,2,9,29,0,0
187,POLK,005,139,13,108,13,2,3
188,POTTER,001,674,83,229,308,1,53
189,PRESIDIO,010,6,0,0,6,0,0
190,RAINS,004,20,1,17,2,0,0
191,RANDALL,001,304,6,173,93,0,32
192,REAGAN,009,1,0,0,1,0,0
193,REAL,008,12,0,11,1,0,0
194,RED RIVER,004,45,1,38,2,0,4
195,REEVES,009,31,0,10,21,0,0
196,REFUGIO,011,21,0,11,9,0,1
197,ROBERTS,001,1,0,1,0,0,0
198,ROBERTSON,007,38,8,16,12,0,2
199,ROCKWALL,003,84,7,53,15,0,9
200,RUNNELS,002,48,0,25,23,0,0
201,RUSK,004,178,33,97,27,1,20
202,SABINE,005,13,0,12,0,0,1
203,SAN AUGUSTINE,005,26,4,19,3,0,0
204,SAN JACINTO,005,99,2,76,16,0,5
205,SAN PATRICIO,011,322,6,81,224,0,11
206,SAN SABA,007,14,0,9,4,0,1
207,SCHLEICHER,009,9,0,3,6,0,0
208,SCURRY,002,91,1,38,46,0,6
209,SHACKELFORD,002,0,0,0,0,0,0
210,SHELBY,005,80,20,44,13,0,3
211,SHERMAN,001,2,0,0,2,0,0
212,SMITH,004,506,116,259,90,0,41
213,SOMERVELL,003,40,0,32,8,0,0
214,STARR,011,168,0,2,164,0,2
215,STEPHENS,002,27,0,16,10,0,1
216,STERLING,009,1,0,0,1,0,0
217,STONEWALL,002,6,1,3,2,0,0
218,SUTTON,009,6,0,0,6,0,0
219,SWISHER,001,28,0,12,16,0,0
220,TARRANT,003,5689,1467,1944,1840,2,436
221,TAYLOR,002,852,76,372,347,0,57
222,TERRELL,009,2,0,0,2,0,0
223,TERRY,001,77,4,3,64,0,6
224,THROCKMORTON,002,5,0,5,0,0,0
225,TITUS,004,64,19,20,12,0,13
226,TOM GREEN,009,483,12,180,268,0,23
227,TRAVIS,007,2645,501,505,1500,1,138
228,TRINITY,005,50,3,31,10,0,6
229,TYLER,005,48,0,42,3,0,3
230,UPSHUR,004,122,12,97,7,0,6
231,UPTON,009,17,0,8,7,0,2
232,UVALDE,008,72,0,12,57,0,3
233,VAL VERDE,008,85,0,7,77,0,1
234,VAN ZANDT,004,153,3,128,12,2,8
235,VICTORIA,008,335,22,83,213,0,17
236,WALKER,006,91,30,40,10,0,11
237,WALLER,006,108,28,52,22,0,6
238,WARD,009,38,2,10,25,0,1
239,WASHINGTON,007,69,21,31,4,0,13
240,WEBB,011,996,0,25,958,0,13
241,WHARTON,006,91,24,13,48,0,6
242,WHEELER,001,22,0,19,2,0,1
243,WICHITA,002,651,89,316,195,1,50
244,WILBARGER,002,49,8,27,12,0,2
245,WILLACY,011,138,0,2,135,0,1
246,WILLIAMSON,007,690,55,342,234,2,57
247,WILSON,008,131,3,49,74,0,5
248,WINKLER,009,15,2,10,3,0,0
249,WISE,003,172,2,124,38,0,8
250,WOOD,004,145,7,119,11,0,8
251,YOAKUM,001,27,0,12,13,0,2
252,YOUNG,002,52,1,33,10,0,8
253,ZAPATA,011,64,0,4,60,0,0
254,ZAVALA,008,37,0,1,35,0,1
255,OUT OF STATE,,16,2,9,4,0,1
256,STATE TOTAL,,66398,10676,20949,30752,67,3954
