,County,Region,Total Completed Investigations,Total Confirmed Investigations,Percent Confirmed Investigations,Unconfirmed Investigations - Ruled Out,Unconfirmed Investigations - Unable To Determine,Unconfirmed Investigations - Unable To Complete,Total Unconfirmed,Percent Unconfirmed
119,JACK,002,63,20,31.7%,39,3,1,43,68.3%
120,JACKSON,008,78,20,25.6%,54,3,1,58,74.4%
121,JASPER,005,290,57,19.7%,189,42,2,233,80.3%
122,JEFF DAVIS,010,6,2,33.3%,4,0,0,4,66.7%
123,JEFFERSON,005,1708,355,20.8%,1214,111,28,1353,79.2%
124,JIM HOGG,011,52,18,34.6%,32,2,0,34,65.4%
125,JIM WELLS,011,403,101,25.1%,265,29,8,302,74.9%
126,JOHNSON,003,1281,404,31.5%,697,167,13,877,68.5%
127,JONES,002,144,45,31.3%,73,23,3,99,68.8%
128,KARNES,008,92,25,27.2%,54,12,1,67,72.8%
129,KAUFMAN,003,549,142,25.9%,292,103,12,407,74.1%
130,KENDALL,008,112,35,31.3%,68,7,2,77,68.8%
131,KENEDY,011,4,2,50.0%,2,0,0,2,50.0%
132,KENT,002,3,1,33.3%,2,0,0,2,66.7%
133,KERR,008,332,90,27.1%,226,15,1,242,72.9%
134,KIMBLE,009,38,9,23.7%,27,2,0,29,76.3%
135,KING,001,1,0,0.0%,1,0,0,1,100.0%
136,KINNEY,008,14,2,14.3%,12,0,0,12,85.7%
137,KLEBERG,011,250,55,22.0%,172,9,14,195,78.0%
138,KNOX,002,29,5,17.2%,17,7,0,24,82.8%
139,LAMAR,004,427,98,23.0%,290,34,5,329,77.0%
140,LAMB,001,126,36,28.6%,77,12,1,90,71.4%
141,LAMPASAS,007,184,36,19.6%,142,4,2,148,80.4%
142,LA SALLE,008,45,16,35.6%,27,2,0,29,64.4%
143,LAVACA,008,76,14,18.4%,57,5,0,62,81.6%
144,LEE,007,127,35,27.6%,82,10,0,92,72.4%
145,LEON,007,114,37,32.5%,69,7,1,77,67.5%
146,LIBERTY,006,673,199,29.6%,423,41,10,474,70.4%
147,LIMESTONE,007,165,30,18.2%,126,8,1,135,81.8%
148,LIPSCOMB,001,15,3,20.0%,6,4,2,12,80.0%
149,LIVE OAK,011,95,36,37.9%,45,8,6,59,62.1%
150,LLANO,007,138,36,26.1%,99,3,0,102,73.9%
151,LOVING,009,0,0,0.0%,0,0,0,0,0.0%
152,LUBBOCK,001,2426,754,31.1%,1387,213,72,1672,68.9%
153,LYNN,001,46,14,30.4%,27,3,2,32,69.6%
154,MADISON,007,76,30,39.5%,41,5,0,46,60.5%
155,MARION,004,131,43,32.8%,65,21,2,88,67.2%
156,MARTIN,009,21,5,23.8%,14,0,2,16,76.2%
157,MASON,009,21,0,0.0%,19,2,0,21,100.0%
158,MATAGORDA,006,223,54,24.2%,139,22,8,169,75.8%
159,MAVERICK,008,212,22,10.4%,184,5,1,190,89.6%
160,MCCULLOCH,009,110,28,25.5%,74,8,0,82,74.5%
161,MCLENNAN,007,1996,489,24.5%,1418,75,14,1507,75.5%
162,MCMULLEN,011,2,0,0.0%,2,0,0,2,100.0%
163,MEDINA,008,304,87,28.6%,194,23,0,217,71.4%
164,MENARD,009,17,5,29.4%,11,1,0,12,70.6%
165,MIDLAND,009,865,215,24.9%,558,63,29,650,75.1%
166,MILAM,007,210,74,35.2%,129,6,1,136,64.8%
167,MILLS,007,28,7,25.0%,19,2,0,21,75.0%
168,MITCHELL,002,95,36,37.9%,52,6,1,59,62.1%
169,MONTAGUE,002,188,66,35.1%,115,7,0,122,64.9%
170,MONTGOMERY,006,2304,423,18.4%,1522,267,92,1881,81.6%
171,MOORE,001,166,30,18.1%,128,3,5,136,81.9%
172,MORRIS,004,121,34,28.1%,66,20,1,87,71.9%
173,MOTLEY,001,2,1,50.0%,1,0,0,1,50.0%
174,NACOGDOCHES,005,326,65,19.9%,245,16,0,261,80.1%
175,NAVARRO,003,330,69,20.9%,212,45,4,261,79.1%
176,NEWTON,005,78,17,21.8%,49,11,1,61,78.2%
177,NOLAN,002,220,67,30.5%,140,9,4,153,69.5%
178,NUECES,011,2808,644,22.9%,1804,250,110,2164,77.1%
179,OCHILTREE,001,67,22,32.8%,33,8,4,45,67.2%
180,OLDHAM,001,12,0,0.0%,12,0,0,12,100.0%
181,ORANGE,005,850,219,25.8%,508,96,27,631,74.2%
182,PALO PINTO,003,317,111,35.0%,174,28,4,206,65.0%
183,PANOLA,004,160,34,21.3%,106,17,3,126,78.8%
184,PARKER,003,894,225,25.2%,573,68,28,669,74.8%
185,PARMER,001,41,8,19.5%,31,2,0,33,80.5%
186,PECOS,009,84,25,29.8%,51,5,3,59,70.2%
187,POLK,005,316,78,24.7%,208,26,4,238,75.3%
188,POTTER,001,1448,382,26.4%,831,191,44,1066,73.6%
189,PRESIDIO,010,28,4,14.3%,21,3,0,24,85.7%
190,RAINS,004,74,15,20.3%,54,2,3,59,79.7%
191,RANDALL,001,764,191,25.0%,472,85,16,573,75.0%
192,REAGAN,009,11,1,9.1%,9,1,0,10,90.9%
193,REAL,008,37,8,21.6%,27,2,0,29,78.4%
194,RED RIVER,004,75,29,38.7%,42,4,0,46,61.3%
195,REEVES,009,79,18,22.8%,55,4,2,61,77.2%
196,REFUGIO,011,49,14,28.6%,32,1,2,35,71.4%
197,ROBERTS,001,3,1,33.3%,1,1,0,2,66.7%
198,ROBERTSON,007,100,23,23.0%,61,16,0,77,77.0%
199,ROCKWALL,003,283,56,19.8%,162,58,7,227,80.2%
200,RUNNELS,002,72,25,34.7%,43,4,0,47,65.3%
201,RUSK,004,370,105,28.4%,237,22,6,265,71.6%
202,SABINE,005,52,11,21.2%,34,6,1,41,78.8%
203,SAN AUGUSTINE,005,68,18,26.5%,43,7,0,50,73.5%
204,SAN JACINTO,005,240,55,22.9%,158,24,3,185,77.1%
205,SAN PATRICIO,011,641,187,29.2%,398,48,8,454,70.8%
206,SAN SABA,007,37,10,27.0%,26,1,0,27,73.0%
207,SCHLEICHER,009,19,7,36.8%,11,1,0,12,63.2%
208,SCURRY,002,163,57,35.0%,93,11,2,106,65.0%
209,SHACKELFORD,002,13,0,0.0%,9,4,0,13,100.0%
210,SHELBY,005,193,49,25.4%,127,16,1,144,74.6%
211,SHERMAN,001,8,1,12.5%,7,0,0,7,87.5%
212,SMITH,004,1269,318,25.1%,852,88,11,951,74.9%
213,SOMERVELL,003,59,24,40.7%,26,9,0,35,59.3%
214,STARR,011,307,104,33.9%,179,21,3,203,66.1%
215,STEPHENS,002,61,18,29.5%,35,7,1,43,70.5%
216,STERLING,009,13,1,7.7%,12,0,0,12,92.3%
217,STONEWALL,002,13,3,23.1%,9,1,0,10,76.9%
218,SUTTON,009,26,6,23.1%,19,0,1,20,76.9%
219,SWISHER,001,48,11,22.9%,34,3,0,37,77.1%
220,TARRANT,003,12284,3540,28.8%,6673,1798,273,8744,71.2%
221,TAYLOR,002,1550,494,31.9%,888,150,18,1056,68.1%
222,TERRELL,009,3,1,33.3%,2,0,0,2,66.7%
223,TERRY,001,112,41,36.6%,61,8,2,71,63.4%
224,THROCKMORTON,002,6,2,33.3%,4,0,0,4,66.7%
225,TITUS,004,187,36,19.3%,135,16,0,151,80.7%
226,TOM GREEN,009,1034,283,27.4%,680,56,15,751,72.6%
227,TRAVIS,007,7283,1726,23.7%,4973,453,131,5557,76.3%
228,TRINITY,005,117,30,25.6%,70,17,0,87,74.4%
229,TYLER,005,132,27,20.5%,96,8,1,105,79.5%
230,UPSHUR,004,318,73,23.0%,214,30,1,245,77.0%
231,UPTON,009,21,8,38.1%,9,2,2,13,61.9%
232,UVALDE,008,206,42,20.4%,157,7,0,164,79.6%
233,VAL VERDE,008,241,50,20.7%,178,11,2,191,79.3%
234,VAN ZANDT,004,389,95,24.4%,269,24,1,294,75.6%
235,VICTORIA,008,763,203,26.6%,495,56,9,560,73.4%
236,WALKER,006,254,64,25.2%,161,22,7,190,74.8%
237,WALLER,006,247,75,30.4%,142,25,5,172,69.6%
238,WARD,009,89,24,27.0%,60,5,0,65,73.0%
239,WASHINGTON,007,159,45,28.3%,104,9,1,114,71.7%
240,WEBB,011,1677,516,30.8%,1007,109,45,1161,69.2%
241,WHARTON,006,217,57,26.3%,120,34,6,160,73.7%
242,WHEELER,001,39,16,41.0%,14,7,2,23,59.0%
243,WICHITA,002,1335,394,29.5%,734,197,10,941,70.5%
244,WILBARGER,002,118,32,27.1%,65,20,1,86,72.9%
245,WILLACY,011,215,71,33.0%,127,14,3,144,67.0%
246,WILLIAMSON,007,2030,459,22.6%,1430,127,14,1571,77.4%
247,WILSON,008,234,79,33.8%,131,18,6,155,66.2%
248,WINKLER,009,64,14,21.9%,47,1,2,50,78.1%
249,WISE,003,389,96,24.7%,264,26,3,293,75.3%
250,WOOD,004,297,88,29.6%,188,15,6,209,70.4%
251,YOAKUM,001,48,16,33.3%,32,0,0,32,66.7%
252,YOUNG,002,170,34,20.0%,120,16,0,136,80.0%
253,ZAPATA,011,103,30,29.1%,70,3,0,73,70.9%
254,ZAVALA,008,113,19,16.8%,88,6,0,94,83.2%
255,OUT OF STATE,,38,13,34.2%,10,4,11,25,65.8%
256,STATE TOTAL,,160240,40249,25.1%,100390,16233,3368,119991,74.9%
