,County,Region,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/ Neglect per 1000 Children,Total CPS Completed Investigations,Confirmed CPS Investi-gations,Percent Investigations Confirmed
135,KING,001,60,0,0.0,1,0,0.0%
136,KINNEY,008,690,4,5.8,14,2,14.3%
137,KLEBERG,011,8460,102,12.1,250,55,22.0%
138,KNOX,002,936,9,9.6,29,5,17.2%
139,LAMAR,004,12203,156,12.8,427,98,23.0%
140,LAMB,001,4013,63,15.7,126,36,28.6%
141,LAMPASAS,007,4909,73,14.9,184,36,19.6%
142,LA SALLE,008,1525,32,21.0,45,16,35.6%
143,LAVACA,008,4310,22,5.1,76,14,18.4%
144,LEE,007,4122,57,13.8,127,35,27.6%
145,LEON,007,3803,68,17.9,114,37,32.5%
146,LIBERTY,006,20022,334,16.7,673,199,29.6%
147,LIMESTONE,007,5589,40,7.2,165,30,18.2%
148,LIPSCOMB,001,893,8,9.0,15,3,20.0%
149,LIVE OAK,011,2245,56,24.9,95,36,37.9%
150,LLANO,007,3146,55,17.5,138,36,26.1%
151,LOVING,009,7,0,0.0,0,0,0.0%
152,LUBBOCK,001,71582,1354,18.9,2426,754,31.1%
153,LYNN,001,1592,29,18.2,46,14,30.4%
154,MADISON,007,3042,44,14.5,76,30,39.5%
155,MARION,004,1948,92,47.2,131,43,32.8%
156,MARTIN,009,1441,6,4.2,21,5,23.8%
157,MASON,009,822,0,0.0,21,0,0.0%
158,MATAGORDA,006,9566,91,9.5,223,54,24.2%
159,MAVERICK,008,18555,42,2.3,212,22,10.4%
160,MCCULLOCH,009,1999,46,23.0,110,28,25.5%
161,MCLENNAN,007,60576,771,12.7,1996,489,24.5%
162,MCMULLEN,011,120,0,0.0,2,0,0.0%
163,MEDINA,008,12176,142,11.7,304,87,28.6%
164,MENARD,009,429,6,14.0,17,5,29.4%
165,MIDLAND,009,38852,335,8.6,865,215,24.9%
166,MILAM,007,6392,120,18.8,210,74,35.2%
167,MILLS,007,1160,10,8.6,28,7,25.0%
168,MITCHELL,002,1807,64,35.4,95,36,37.9%
169,MONTAGUE,002,4592,97,21.1,188,66,35.1%
170,MONTGOMERY,006,135765,624,4.6,2304,423,18.4%
171,MOORE,001,7199,68,9.4,166,30,18.1%
172,MORRIS,004,3032,48,15.8,121,34,28.1%
173,MOTLEY,001,248,3,12.1,2,1,50.0%
174,NACOGDOCHES,005,16625,126,7.6,326,65,19.9%
175,NAVARRO,003,13313,125,9.4,330,69,20.9%
176,NEWTON,005,3132,20,6.4,78,17,21.8%
177,NOLAN,002,3993,117,29.3,220,67,30.5%
178,NUECES,011,88215,1004,11.4,2808,644,22.9%
179,OCHILTREE,001,3459,41,11.9,67,22,32.8%
180,OLDHAM,001,587,0,0.0,12,0,0.0%
181,ORANGE,005,20699,340,16.4,850,219,25.8%
182,PALO PINTO,003,7149,198,27.7,317,111,35.0%
183,PANOLA,004,5869,51,8.7,160,34,21.3%
184,PARKER,003,31917,373,11.7,894,225,25.2%
185,PARMER,001,3288,18,5.5,41,8,19.5%
186,PECOS,009,3905,40,10.2,84,25,29.8%
187,POLK,005,9725,139,14.3,316,78,24.7%
188,POTTER,001,34536,674,19.5,1448,382,26.4%
189,PRESIDIO,010,2225,6,2.7,28,4,14.3%
190,RAINS,004,2379,20,8.4,74,15,20.3%
191,RANDALL,001,31669,304,9.6,764,191,25.0%
192,REAGAN,009,1015,1,1.0,11,1,9.1%
193,REAL,008,594,12,20.2,37,8,21.6%
194,RED RIVER,004,2721,45,16.5,75,29,38.7%
195,REEVES,009,3106,31,10.0,79,18,22.8%
196,REFUGIO,011,1719,21,12.2,49,14,28.6%
197,ROBERTS,001,243,1,4.1,3,1,33.3%
198,ROBERTSON,007,4205,38,9.0,100,23,23.0%
199,ROCKWALL,003,25692,84,3.3,283,56,19.8%
200,RUNNELS,002,2594,48,18.5,72,25,34.7%
201,RUSK,004,12787,178,13.9,370,105,28.4%
202,SABINE,005,2033,13,6.4,52,11,21.2%
203,SAN AUGUSTINE,005,1813,26,14.3,68,18,26.5%
204,SAN JACINTO,005,6431,99,15.4,240,55,22.9%
205,SAN PATRICIO,011,17941,322,17.9,641,187,29.2%
206,SAN SABA,007,1230,14,11.4,37,10,27.0%
207,SCHLEICHER,009,1119,9,8.0,19,7,36.8%
208,SCURRY,002,4385,91,20.8,163,57,35.0%
209,SHACKELFORD,002,798,0,0.0,13,0,0.0%
210,SHELBY,005,6786,80,11.8,193,49,25.4%
211,SHERMAN,001,868,2,2.3,8,1,12.5%
212,SMITH,004,55509,506,9.1,1269,318,25.1%
213,SOMERVELL,003,2200,40,18.2,59,24,40.7%
214,STARR,011,20723,168,8.1,307,104,33.9%
215,STEPHENS,002,2261,27,11.9,61,18,29.5%
216,STERLING,009,273,1,3.7,13,1,7.7%
217,STONEWALL,002,320,6,18.8,13,3,23.1%
218,SUTTON,009,1111,6,5.4,26,6,23.1%
219,SWISHER,001,2024,28,13.8,48,11,22.9%
220,TARRANT,003,523735,5689,10.9,12284,3540,28.8%
221,TAYLOR,002,33119,852,25.7,1550,494,31.9%
222,TERRELL,009,208,2,9.6,3,1,33.3%
223,TERRY,001,3355,77,23.0,112,41,36.6%
224,THROCKMORTON,002,333,5,15.0,6,2,33.3%
225,TITUS,004,10059,64,6.4,187,36,19.3%
226,TOM GREEN,009,26945,483,17.9,1034,283,27.4%
227,TRAVIS,007,266648,2645,9.9,7283,1726,23.7%
228,TRINITY,005,3016,50,16.6,117,30,25.6%
229,TYLER,005,4207,48,11.4,132,27,20.5%
230,UPSHUR,004,9872,122,12.4,318,73,23.0%
231,UPTON,009,945,17,18.0,21,8,38.1%
232,UVALDE,008,7708,72,9.3,206,42,20.4%
233,VAL VERDE,008,15012,85,5.7,241,50,20.7%
234,VAN ZANDT,004,12674,153,12.1,389,95,24.4%
235,VICTORIA,008,23254,335,14.4,763,203,26.6%
236,WALKER,006,11540,91,7.9,254,64,25.2%
237,WALLER,006,11599,108,9.3,247,75,30.4%
238,WARD,009,2891,38,13.1,89,24,27.0%
239,WASHINGTON,007,7599,69,9.1,159,45,28.3%
240,WEBB,011,91337,996,10.9,1677,516,30.8%
241,WHARTON,006,11090,91,8.2,217,57,26.3%
242,WHEELER,001,1373,22,16.0,39,16,41.0%
243,WICHITA,002,31023,651,21.0,1335,394,29.5%
244,WILBARGER,002,3432,49,14.3,118,32,27.1%
245,WILLACY,011,6008,138,23.0,215,71,33.0%
246,WILLIAMSON,007,133482,690,5.2,2030,459,22.6%
247,WILSON,008,11739,131,11.2,234,79,33.8%
248,WINKLER,009,2118,15,7.1,64,14,21.9%
249,WISE,003,16072,172,10.7,389,96,24.7%
250,WOOD,004,8752,145,16.6,297,88,29.6%
251,YOAKUM,001,2567,27,10.5,48,16,33.3%
252,YOUNG,002,4523,52,11.5,170,34,20.0%
253,ZAPATA,011,5013,64,12.8,103,30,29.1%
254,ZAVALA,008,3659,37,10.1,113,19,16.8%
255,OUT OF STATE,,0,16,0.0,38,13,34.2%
256,STATE TOTAL,,7159172,66398,9.3,160240,40249,25.1%
