,County,Region,Total,African American,Anglo,Hispanic,Native American,Other**
100,HARDIN,005,17,7,10,0,0,0
101,HARRIS,006,1982,923,320,612,0,127
102,HARRISON,004,60,10,28,10,0,12
103,HARTLEY,001,0,0,0,0,0,0
104,HASKELL,002,5,0,4,1,0,0
105,HAYS,007,69,5,18,41,0,5
106,HEMPHILL,001,6,0,2,2,0,2
107,HENDERSON,004,86,3,64,11,0,8
108,HIDALGO,011,512,0,13,499,0,0
109,HILL,007,22,2,17,2,0,1
110,HOCKLEY,001,43,4,10,25,0,4
111,HOOD,003,53,0,45,8,0,0
112,HOPKINS,004,26,0,21,4,0,1
113,HOUSTON,005,20,4,12,2,0,2
114,HOWARD,009,87,4,37,44,0,2
115,HUDSPETH,010,0,0,0,0,0,0
116,HUNT,003,104,8,70,14,0,12
117,HUTCHINSON,001,11,0,7,3,0,1
118,IRION,009,0,0,0,0,0,0
119,JACK,002,9,0,8,0,0,1
120,JACKSON,008,10,2,7,1,0,0
121,JASPER,005,21,3,14,0,0,4
122,JEFF DAVIS,010,0,0,0,0,0,0
123,JEFFERSON,005,146,78,39,19,0,10
124,JIM HOGG,011,9,0,0,9,0,0
125,JIM WELLS,011,37,0,1,36,0,0
126,JOHNSON,003,124,8,80,29,1,6
127,JONES,002,16,0,9,7,0,0
128,KARNES,008,23,0,2,21,0,0
129,KAUFMAN,003,56,6,35,8,0,7
130,KENDALL,008,9,0,3,6,0,0
131,KENEDY,011,0,0,0,0,0,0
132,KENT,002,0,0,0,0,0,0
133,KERR,008,57,2,34,21,0,0
134,KIMBLE,009,11,0,2,9,0,0
135,KING,001,0,0,0,0,0,0
136,KINNEY,008,0,0,0,0,0,0
137,KLEBERG,011,8,0,1,4,0,3
138,KNOX,002,0,0,0,0,0,0
139,LAMAR,004,56,0,43,5,0,8
140,LAMB,001,13,0,5,8,0,0
141,LAMPASAS,007,27,0,14,12,0,1
142,LA SALLE,008,8,0,0,8,0,0
143,LAVACA,008,20,6,9,5,0,0
144,LEE,007,23,7,8,5,0,3
145,LEON,007,13,1,5,1,0,6
146,LIBERTY,006,124,7,97,15,0,5
147,LIMESTONE,007,8,3,2,3,0,0
148,LIPSCOMB,001,1,0,1,0,0,0
149,LIVE OAK,011,15,0,5,9,0,1
150,LLANO,007,21,0,19,2,0,0
151,LOVING,009,0,0,0,0,0,0
152,LUBBOCK,001,327,67,64,182,0,14
153,LYNN,001,4,0,0,4,0,0
154,MADISON,007,13,2,8,0,0,3
155,MARION,004,16,0,16,0,0,0
156,MARTIN,009,1,0,0,1,0,0
157,MASON,009,0,0,0,0,0,0
158,MATAGORDA,006,18,2,9,7,0,0
159,MAVERICK,008,11,0,0,11,0,0
160,MCCULLOCH,009,11,0,9,2,0,0
161,MCLENNAN,007,217,56,97,43,0,21
162,MCMULLEN,011,0,0,0,0,0,0
163,MEDINA,008,73,2,24,45,0,2
164,MENARD,009,1,0,1,0,0,0
165,MIDLAND,009,63,7,34,17,1,4
166,MILAM,007,48,5,15,25,0,3
167,MILLS,007,10,0,10,0,0,0
168,MITCHELL,002,5,0,0,5,0,0
169,MONTAGUE,002,18,0,15,3,0,0
170,MONTGOMERY,006,282,32,180,55,0,15
171,MOORE,001,4,0,1,0,0,3
172,MORRIS,004,12,2,8,0,0,2
173,MOTLEY,001,0,0,0,0,0,0
174,NACOGDOCHES,005,48,25,17,6,0,0
175,NAVARRO,003,40,11,21,8,0,0
176,NEWTON,005,7,0,5,0,0,2
177,NOLAN,002,15,0,4,11,0,0
178,NUECES,011,174,11,51,104,0,8
179,OCHILTREE,001,3,0,1,1,0,1
180,OLDHAM,001,0,0,0,0,0,0
181,ORANGE,005,70,8,60,0,0,2
182,PALO PINTO,003,65,1,39,19,0,6
183,PANOLA,004,2,0,2,0,0,0
184,PARKER,003,110,6,90,13,0,1
185,PARMER,001,0,0,0,0,0,0
186,PECOS,009,8,0,2,6,0,0
187,POLK,005,44,1,39,3,0,1
188,POTTER,001,100,23,21,49,0,7
189,PRESIDIO,010,3,0,0,3,0,0
190,RAINS,004,1,0,0,1,0,0
191,RANDALL,001,82,6,49,21,0,6
192,REAGAN,009,0,0,0,0,0,0
193,REAL,008,12,0,11,1,0,0
194,RED RIVER,004,8,0,1,2,0,5
195,REEVES,009,8,0,1,7,0,0
196,REFUGIO,011,10,0,4,6,0,0
197,ROBERTS,001,0,0,0,0,0,0
198,ROBERTSON,007,9,3,4,1,0,1
199,ROCKWALL,003,21,2,13,5,0,1
200,RUNNELS,002,15,0,13,2,0,0
201,RUSK,004,64,8,40,11,0,5
202,SABINE,005,2,0,2,0,0,0
203,SAN AUGUSTINE,005,5,1,4,0,0,0
204,SAN JACINTO,005,22,1,19,2,0,0
205,SAN PATRICIO,011,60,5,17,38,0,0
206,SAN SABA,007,1,0,1,0,0,0
207,SCHLEICHER,009,10,0,1,9,0,0
208,SCURRY,002,8,0,2,6,0,0
209,SHACKELFORD,002,0,0,0,0,0,0
210,SHELBY,005,31,7,17,4,0,3
211,SHERMAN,001,0,0,0,0,0,0
212,SMITH,004,198,33,115,34,0,16
213,SOMERVELL,003,13,0,10,3,0,0
214,STARR,011,54,0,0,53,0,1
215,STEPHENS,002,12,0,6,4,0,2
216,STERLING,009,4,0,0,4,0,0
217,STONEWALL,002,2,0,2,0,0,0
218,SUTTON,009,1,0,0,1,0,0
219,SWISHER,001,2,0,0,2,0,0
220,TARRANT,003,836,262,266,249,0,59
221,TAYLOR,002,124,23,59,40,0,2
222,TERRELL,009,0,0,0,0,0,0
223,TERRY,001,25,1,2,19,0,3
224,THROCKMORTON,002,4,0,4,0,0,0
225,TITUS,004,16,3,10,1,0,2
226,TOM GREEN,009,175,2,54,112,0,7
227,TRAVIS,007,639,148,130,321,0,40
228,TRINITY,005,10,2,3,5,0,0
229,TYLER,005,18,1,14,2,0,1
230,UPSHUR,004,57,8,38,6,0,5
231,UPTON,009,4,0,3,1,0,0
232,UVALDE,008,19,0,2,16,0,1
233,VAL VERDE,008,23,0,0,23,0,0
234,VAN ZANDT,004,70,7,49,7,0,7
235,VICTORIA,008,88,9,23,51,0,5
236,WALKER,006,42,18,18,4,0,2
237,WALLER,006,33,5,22,5,0,1
238,WARD,009,3,0,2,1,0,0
239,WASHINGTON,007,26,5,16,1,0,4
240,WEBB,011,289,0,11,270,0,8
241,WHARTON,006,9,3,5,0,0,1
242,WHEELER,001,1,0,1,0,0,0
243,WICHITA,002,114,10,59,40,0,5
244,WILBARGER,002,2,0,2,0,0,0
245,WILLACY,011,36,0,0,35,0,1
246,WILLIAMSON,007,127,6,64,40,0,17
247,WILSON,008,46,0,10,31,0,5
248,WINKLER,009,3,0,3,0,0,0
249,WISE,003,70,0,53,14,0,3
250,WOOD,004,74,8,47,8,0,11
251,YOAKUM,001,10,0,2,8,0,0
252,YOUNG,002,8,0,4,2,0,2
253,ZAPATA,011,7,0,4,3,0,0
254,ZAVALA,008,9,0,0,9,0,0
255,UNKNOWN,,10,4,1,4,0,1
256,OUT OF STATE,,1,0,0,0,0,1
257,STATE TOTAL,,17022,3297,5410,7306,10,999
