,County,Region,Total,African American,Anglo,Hispanic,Native American,Other***
182,PALO PINTO,003,19,0,14,4,0,1
183,PANOLA,004,8,3,5,0,0,0
184,PARKER,003,12,0,9,3,0,0
185,PARMER,001,3,0,2,1,0,0
186,PECOS,009,2,0,2,0,0,0
187,POLK,005,11,0,8,2,0,1
188,POTTER,001,81,28,22,20,0,11
189,PRESIDIO,010,1,0,0,1,0,0
190,RAINS,004,4,0,3,0,0,1
191,RANDALL,001,44,2,26,7,0,9
192,REAGAN,009,0,0,0,0,0,0
193,REAL,008,2,0,1,1,0,0
194,RED RIVER,004,1,0,1,0,0,0
195,REEVES,009,1,0,0,1,0,0
196,REFUGIO,011,0,0,0,0,0,0
197,ROBERTS,001,0,0,0,0,0,0
198,ROBERTSON,007,1,0,0,1,0,0
199,ROCKWALL,003,7,5,2,0,0,0
200,RUNNELS,002,2,0,1,1,0,0
201,RUSK,004,7,0,2,3,0,2
202,SABINE,005,0,0,0,0,0,0
203,SAN AUGUSTINE,005,0,0,0,0,0,0
204,SAN JACINTO,005,8,2,5,0,0,1
205,SAN PATRICIO,011,23,1,2,20,0,0
206,SAN SABA,007,3,0,1,2,0,0
207,SCHLEICHER,009,0,0,0,0,0,0
208,SCURRY,002,6,0,1,4,0,1
209,SHACKELFORD,002,0,0,0,0,0,0
210,SHELBY,005,10,3,0,5,0,2
211,SHERMAN,001,0,0,0,0,0,0
212,SMITH,004,39,10,20,7,0,2
213,SOMERVELL,003,0,0,0,0,0,0
214,STARR,011,4,0,0,3,0,1
215,STEPHENS,002,1,0,1,0,0,0
216,STERLING,009,0,0,0,0,0,0
217,STONEWALL,002,0,0,0,0,0,0
218,SUTTON,009,1,0,0,1,0,0
219,SWISHER,001,2,2,0,0,0,0
220,TARRANT,003,210,64,81,44,0,21
221,TAYLOR,002,13,3,3,5,0,2
222,TERRELL,009,0,0,0,0,0,0
223,TERRY,001,16,0,2,14,0,0
224,THROCKMORTON,002,0,0,0,0,0,0
225,TITUS,004,10,4,2,3,0,1
226,TOM GREEN,009,109,6,32,67,0,4
227,TRAVIS,007,222,62,30,111,0,19
228,TRINITY,005,6,0,3,0,0,3
229,TYLER,005,0,0,0,0,0,0
230,UPSHUR,004,2,0,2,0,0,0
231,UPTON,009,0,0,0,0,0,0
232,UVALDE,008,13,0,5,7,0,1
233,VAL VERDE,008,7,0,0,7,0,0
234,VAN ZANDT,004,25,0,22,1,0,2
235,VICTORIA,008,46,1,11,32,0,2
236,WALKER,006,6,2,4,0,0,0
237,WALLER,006,3,1,2,0,0,0
238,WARD,009,1,0,1,0,0,0
239,WASHINGTON,007,11,8,1,0,0,2
240,WEBB,011,115,0,3,112,0,0
241,WHARTON,006,3,1,0,2,0,0
242,WHEELER,001,2,0,2,0,0,0
243,WICHITA,002,32,8,16,4,0,4
244,WILBARGER,002,11,0,0,11,0,0
245,WILLACY,011,5,0,0,5,0,0
246,WILLIAMSON,007,56,11,13,26,0,6
247,WILSON,008,16,3,5,8,0,0
248,WINKLER,009,1,0,1,0,0,0
249,WISE,003,14,0,14,0,0,0
250,WOOD,004,16,4,12,0,0,0
251,YOAKUM,001,0,0,0,0,0,0
252,YOUNG,002,7,0,5,0,0,2
253,ZAPATA,011,12,0,1,11,0,0
254,ZAVALA,008,12,0,0,12,0,0
255,STATE TOTAL,,6581,1644,1705,2837,7,388
