,County,Region,Number of Families,Number of Children,Children* Removed From Home,Percent of Children Removed
212,SMITH,004,173,443,34,7.7%
213,SOMERVELL,003,12,29,2,6.9%
214,STARR,011,87,271,19,7.0%
215,STEPHENS,002,17,47,8,17.0%
216,STERLING,009,1,4,4,100.0%
217,STONEWALL,002,4,14,0,0.0%
218,SUTTON,009,6,20,0,0.0%
219,SWISHER,001,11,39,2,5.1%
220,TARRANT,003,2051,5551,142,2.6%
221,TAYLOR,002,326,822,23,2.8%
222,TERRELL,009,0,0,0,0.0%
223,TERRY,001,28,96,7,7.3%
224,THROCKMORTON,002,1,3,0,0.0%
225,TITUS,004,18,46,5,10.9%
226,TOM GREEN,009,197,507,42,8.3%
227,TRAVIS,007,838,2100,111,5.3%
228,TRINITY,005,14,44,4,9.1%
229,TYLER,005,5,11,0,0.0%
230,UPSHUR,004,41,90,0,0.0%
231,UPTON,009,6,19,3,15.8%
232,UVALDE,008,41,106,1,0.9%
233,VAL VERDE,008,27,85,1,1.2%
234,VAN ZANDT,004,49,131,24,18.3%
235,VICTORIA,008,127,334,35,10.5%
236,WALKER,006,46,120,8,6.7%
237,WALLER,006,49,131,14,10.7%
238,WARD,009,11,42,0,0.0%
239,WASHINGTON,007,15,30,0,0.0%
240,WEBB,011,714,2467,48,1.9%
241,WHARTON,006,56,168,3,1.8%
242,WHEELER,001,9,21,0,0.0%
243,WICHITA,002,282,752,37,4.9%
244,WILBARGER,002,20,50,2,4.0%
245,WILLACY,011,63,205,13,6.3%
246,WILLIAMSON,007,291,695,27,3.9%
247,WILSON,008,44,100,12,12.0%
248,WINKLER,009,9,26,2,7.7%
249,WISE,003,52,141,20,14.2%
250,WOOD,004,31,76,15,19.7%
251,YOAKUM,001,4,8,0,0.0%
252,YOUNG,002,24,55,0,0.0%
253,ZAPATA,011,30,110,0,0.0%
254,ZAVALA,008,23,62,2,3.2%
255,OUT OF STATE,,4,20,0,0.0%
256,STATE TOTAL,,29332,82017,4008,4.9%
