,County,Region,Unique Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized****,DFPS Custody Terminated***
147,LIMESTONE,007,32,0,8,8,7,6,8
148,LIPSCOMB,001,6,0,1,0,1,5,0
149,LIVE OAK,011,34,0,20,1,6,4,18
150,LLANO,007,54,0,21,1,10,8,19
151,LOVING,009,0,0,0,0,0,0,0
152,LUBBOCK,001,695,0,329,23,137,122,150
153,LYNN,001,5,0,4,0,0,0,1
154,MADISON,007,26,0,13,0,2,0,12
155,MARION,004,24,0,18,1,0,2,10
156,MARTIN,009,2,0,1,0,0,0,1
157,MASON,009,1,0,0,0,0,1,0
158,MATAGORDA,006,33,0,18,0,7,1,11
159,MAVERICK,008,18,0,11,0,3,3,1
160,MCCULLOCH,009,23,0,11,0,8,3,1
161,MCLENNAN,007,472,0,228,19,111,83,100
162,MCMULLEN,011,2,0,0,0,0,0,2
163,MEDINA,008,146,0,74,1,20,21,40
164,MENARD,009,4,0,1,0,0,2,1
165,MIDLAND,009,163,0,65,13,35,25,46
166,MILAM,007,97,0,47,4,9,17,27
167,MILLS,007,13,0,10,1,0,1,1
168,MITCHELL,002,6,0,2,1,0,0,5
169,MONTAGUE,002,59,0,22,2,2,2,36
170,MONTGOMERY,006,672,0,288,33,109,95,225
171,MOORE,001,25,0,4,2,3,3,17
172,MORRIS,004,17,0,12,0,2,2,6
173,MOTLEY,001,2,0,0,0,0,1,1
174,NACOGDOCHES,005,158,0,48,16,21,38,55
175,NAVARRO,003,88,0,40,4,26,21,13
176,NEWTON,005,21,0,7,0,6,2,8
177,NOLAN,002,55,0,15,14,6,2,23
178,NUECES,011,377,0,179,20,37,54,191
179,OCHILTREE,001,9,0,6,0,0,0,3
180,OLDHAM,001,1,0,0,1,0,0,0
181,ORANGE,005,186,0,71,12,17,20,81
182,PALO PINTO,003,110,0,65,2,22,4,24
183,PANOLA,004,13,0,2,0,5,0,6
184,PARKER,003,161,0,112,5,10,18,30
185,PARMER,001,0,0,0,0,0,0,0
186,PECOS,009,13,0,7,3,1,0,2
187,POLK,005,113,0,44,1,17,10,54
188,POTTER,001,251,0,108,20,61,29,73
189,PRESIDIO,010,7,0,3,3,1,0,0
190,RAINS,004,12,0,2,0,4,2,4
191,RANDALL,001,293,0,95,20,53,43,112
192,REAGAN,009,1,0,0,0,0,0,1
193,REAL,008,17,0,12,0,1,3,1
194,RED RIVER,004,22,0,11,0,0,5,9
195,REEVES,009,13,0,8,0,1,0,4
196,REFUGIO,011,7,0,10,0,0,0,2
197,ROBERTS,001,0,0,0,0,0,0,0
198,ROBERTSON,007,33,0,13,3,1,2,17
199,ROCKWALL,003,40,0,20,0,6,4,18
200,RUNNELS,002,27,0,15,2,0,4,7
201,RUSK,004,108,0,62,3,8,6,42
202,SABINE,005,7,0,2,0,1,1,4
203,SAN AUGUSTINE,005,13,0,5,2,1,3,3
204,SAN JACINTO,005,58,0,21,2,2,1,35
205,SAN PATRICIO,011,128,0,60,4,23,15,34
206,SAN SABA,007,4,0,1,0,1,0,2
207,SCHLEICHER,009,13,0,10,0,3,0,0
208,SCURRY,002,27,0,8,2,6,0,12
209,SHACKELFORD,002,0,0,0,0,0,0,0
210,SHELBY,005,74,0,32,1,4,1,46
211,SHERMAN,001,0,0,0,0,0,0,0
212,SMITH,004,406,0,199,11,83,65,120
213,SOMERVELL,003,18,0,13,0,0,0,6
214,STARR,011,101,0,56,0,6,0,53
215,STEPHENS,002,14,0,12,0,0,0,2
216,STERLING,009,5,0,4,0,0,1,0
217,STONEWALL,002,2,0,2,0,0,0,1
218,SUTTON,009,6,0,1,0,1,3,1
219,SWISHER,001,5,0,2,0,0,3,0
220,TARRANT,003,1790,15,835,114,236,260,589
221,TAYLOR,002,244,0,122,19,9,13,119
222,TERRELL,009,0,0,0,0,0,0,0
223,TERRY,001,51,1,26,0,19,3,5
224,THROCKMORTON,002,5,0,4,0,0,0,1
225,TITUS,004,43,0,16,0,4,9,16
226,TOM GREEN,009,427,0,178,17,90,51,112
227,TRAVIS,007,1335,0,629,24,226,188,464
228,TRINITY,005,35,0,11,4,6,1,15
229,TYLER,005,28,0,18,3,2,3,12
230,UPSHUR,004,75,0,58,2,1,4,23
231,UPTON,009,5,0,4,0,0,0,1
232,UVALDE,008,69,0,19,1,16,23,15
233,VAL VERDE,008,49,0,23,0,7,6,14
234,VAN ZANDT,004,120,0,65,5,21,14,27
235,VICTORIA,008,193,0,94,20,27,12,51
236,WALKER,006,76,0,42,2,4,4,29
237,WALLER,006,75,0,34,1,5,7,42
238,WARD,009,4,0,3,0,1,0,0
239,WASHINGTON,007,56,0,26,5,10,2,15
240,WEBB,011,585,0,287,39,71,13,281
241,WHARTON,006,39,0,8,0,0,13,21
242,WHEELER,001,3,0,1,0,0,1,1
243,WICHITA,002,230,0,117,4,33,33,70
244,WILBARGER,002,19,0,2,1,11,0,5
245,WILLACY,011,60,0,36,5,1,2,19
246,WILLIAMSON,007,342,0,129,17,42,82,98
247,WILSON,008,99,0,50,1,22,14,19
248,WINKLER,009,7,0,3,0,2,2,1
249,WISE,003,128,0,72,4,10,16,40
250,WOOD,004,137,0,72,2,10,12,58
251,YOAKUM,001,11,0,11,0,3,0,1
252,YOUNG,002,40,0,8,2,1,5,24
253,ZAPATA,011,20,0,7,4,2,0,10
254,ZAVALA,008,29,0,9,0,9,10,1
255,STATE TOTAL,,37607,50,17395,1673,5718,5364,12136
