,County,Region,Children Receiving Sub-Care Purchased Services,Expenditures For Sub-Care Purchased Services,Children in Substitute Care,Children Receiving In-home Purchased Services,Expenditures For In-Home Purchased Services,Children Receiving In-Home Services
99,HARDEMAN,002,0,$0.00,12,0,$0.00,12
100,HARDIN,005,25,"$19,486.45",50,17,"$3,964.02",119
101,HARRIS,006,4206,"$5,026,384.58",6705,888,"$245,766.54",11207
102,HARRISON,004,47,"$34,222.21",135,26,"$1,592.32",195
103,HARTLEY,001,0,$0.00,1,1,$84.00,3
104,HASKELL,002,0,$0.00,10,3,$81.00,12
105,HAYS,007,39,"$31,742.89",177,8,"$1,603.18",237
106,HEMPHILL,001,2,$274.74,9,1,$84.00,9
107,HENDERSON,004,84,"$52,540.27",220,61,"$6,436.45",276
108,HIDALGO,011,445,"$281,059.43",1119,470,"$80,405.95",5810
109,HILL,007,17,"$25,835.17",82,4,"$1,419.36",83
110,HOCKLEY,001,23,"$19,666.67",99,3,$81.00,195
111,HOOD,003,129,"$36,289.49",126,7,"$1,421.59",298
112,HOPKINS,004,21,"$12,756.94",61,13,"$1,193.10",84
113,HOUSTON,005,11,"$6,864.69",61,3,$226.48,54
114,HOWARD,009,47,"$27,624.43",164,28,"$4,952.52",152
115,HUDSPETH,010,0,$0.00,1,0,$0.00,4
116,HUNT,003,286,"$149,275.64",235,6,"$1,303.95",316
117,HUTCHINSON,001,2,$992.75,53,8,"$1,052.67",74
118,IRION,009,0,$0.00,1,0,$0.00,6
119,JACK,002,2,"$3,777.00",16,4,$327.23,44
120,JACKSON,008,5,"$6,369.10",14,3,$924.98,34
121,JASPER,005,30,"$12,501.64",51,27,"$3,624.59",128
122,JEFF DAVIS,010,0,$0.00,0,0,$0.00,6
123,JEFFERSON,005,365,"$397,083.08",376,56,"$8,606.81",578
124,JIM HOGG,011,5,$950.00,25,9,$810.70,75
125,JIM WELLS,011,33,"$19,338.50",122,20,"$5,572.33",287
126,JOHNSON,003,350,"$223,386.30",384,44,"$5,011.53",861
127,JONES,002,7,"$4,741.22",27,5,$135.00,59
128,KARNES,008,1,$319.10,50,4,$710.91,85
129,KAUFMAN,003,171,"$67,504.22",123,12,"$5,358.34",332
130,KENDALL,008,13,"$16,853.21",34,10,"$1,066.75",46
131,KENEDY,011,0,$0.00,1,0,$0.00,5
132,KENT,002,0,$0.00,4,0,$0.00,13
133,KERR,008,68,"$93,739.77",145,30,"$3,835.79",279
134,KIMBLE,009,2,"$3,011.50",25,0,$0.00,10
135,KING,001,0,$0.00,0,0,$0.00,0
136,KINNEY,008,0,$0.00,5,0,$0.00,0
137,KLEBERG,011,35,"$33,463.00",70,11,"$2,579.67",180
138,KNOX,002,2,$450.00,9,0,$0.00,10
139,LAMAR,004,50,"$22,041.46",99,47,"$4,210.82",196
140,LAMB,001,7,"$3,375.28",29,1,$27.00,73
141,LAMPASAS,007,7,"$10,373.75",71,0,$0.00,54
142,LA SALLE,008,0,$0.00,36,0,$0.00,44
143,LAVACA,008,13,"$10,835.35",39,0,$0.00,20
144,LEE,007,7,"$4,638.95",60,0,$0.00,67
145,LEON,007,1,"$3,000.00",35,0,$0.00,33
146,LIBERTY,006,165,"$106,744.50",299,27,"$8,212.92",295
147,LIMESTONE,007,14,"$21,913.02",42,0,$0.00,25
148,LIPSCOMB,001,5,"$10,664.86",8,1,$27.00,6
149,LIVE OAK,011,4,$900.00,37,3,$140.10,79
150,LLANO,007,16,"$9,829.45",56,2,$226.20,57
151,LOVING,009,0,$0.00,0,0,$0.00,0
152,LUBBOCK,001,488,"$599,507.51",870,244,"$24,422.37",1723
153,LYNN,001,2,$799.58,8,0,$0.00,45
154,MADISON,007,7,"$4,516.14",31,2,$904.80,16
155,MARION,004,5,$780.30,23,5,$349.29,71
156,MARTIN,009,1,$75.00,2,0,$0.00,8
157,MASON,009,1,"$3,000.00",2,0,$0.00,5
158,MATAGORDA,006,11,"$6,560.96",48,25,"$6,273.82",136
159,MAVERICK,008,7,"$9,525.00",28,3,$562.96,63
160,MCCULLOCH,009,5,"$7,670.00",26,0,$0.00,40
161,MCLENNAN,007,204,"$172,773.53",545,35,"$10,120.37",1013
162,MCMULLEN,011,0,$0.00,2,0,$0.00,3
163,MEDINA,008,55,"$36,449.92",185,14,$654.09,265
164,MENARD,009,3,"$4,150.00",8,0,$0.00,5
165,MIDLAND,009,180,"$132,625.25",214,47,"$6,248.85",338
166,MILAM,007,21,"$21,678.02",103,4,$638.34,111
167,MILLS,007,8,"$3,922.00",15,0,$0.00,13
168,MITCHELL,002,7,"$2,941.63",8,5,$159.00,59
169,MONTAGUE,002,14,"$12,179.22",75,1,$27.00,154
170,MONTGOMERY,006,482,"$378,922.05",778,99,"$16,209.44",1062
171,MOORE,001,3,$911.48,28,6,"$1,270.05",85
172,MORRIS,004,12,"$7,997.53",21,13,"$2,623.30",57
173,MOTLEY,001,0,$0.00,2,1,$84.00,2
174,NACOGDOCHES,005,92,"$67,094.02",196,22,"$5,160.01",107
175,NAVARRO,003,119,"$66,371.67",108,8,"$2,568.37",138
176,NEWTON,005,6,"$11,297.59",24,3,$360.77,37
177,NOLAN,002,2,$199.95,45,8,$706.15,117
178,NUECES,011,281,"$354,340.53",427,153,"$16,609.98",1920
179,OCHILTREE,001,5,$871.20,11,2,$54.00,23
180,OLDHAM,001,1,$260.00,1,0,$0.00,4
181,ORANGE,005,88,"$49,196.87",187,7,$783.14,221
182,PALO PINTO,003,88,"$36,041.22",130,6,"$1,483.16",247
183,PANOLA,004,9,"$8,659.32",22,13,"$1,175.49",61
184,PARKER,003,114,"$58,403.87",188,28,"$4,018.85",395
185,PARMER,001,1,$72.00,3,2,$294.00,19
186,PECOS,009,6,"$2,817.54",22,4,$775.37,49
187,POLK,005,46,"$26,349.87",114,12,"$1,136.30",156
188,POTTER,001,384,"$293,595.93",361,289,"$34,323.32",967
189,PRESIDIO,010,0,$0.00,9,0,$0.00,12
190,RAINS,004,9,"$16,782.54",11,9,$855.00,28
191,RANDALL,001,147,"$80,107.10",340,60,"$5,551.60",419
192,REAGAN,009,4,"$5,281.38",1,0,$0.00,2
193,REAL,008,0,$0.00,19,4,"$1,343.00",16
194,RED RIVER,004,12,"$13,695.00",25,9,"$1,241.26",66
195,REEVES,009,1,"$1,023.00",10,1,$158.14,52
196,REFUGIO,011,2,"$2,602.10",9,2,$120.88,33
197,ROBERTS,001,0,$0.00,0,1,$84.00,0
198,ROBERTSON,007,9,"$4,611.36",39,3,$674.37,47
199,ROCKWALL,003,52,"$12,610.23",43,2,$395.85,80
200,RUNNELS,002,2,"$4,524.43",32,0,$0.00,34
201,RUSK,004,30,"$15,048.41",112,22,"$1,722.01",115
202,SABINE,005,1,$481.84,7,1,$27.00,25
203,SAN AUGUSTINE,005,7,"$1,875.69",11,3,$217.00,21
204,SAN JACINTO,005,22,"$12,110.75",66,16,"$1,875.93",100
205,SAN PATRICIO,011,83,"$76,901.37",134,52,"$9,092.31",585
206,SAN SABA,007,12,"$28,717.49",8,4,$909.06,28
207,SCHLEICHER,009,0,$0.00,13,0,$0.00,11
208,SCURRY,002,11,"$3,688.58",32,7,$605.24,57
209,SHACKELFORD,002,0,$0.00,0,0,$0.00,4
210,SHELBY,005,34,"$23,487.77",82,8,"$2,025.52",99
211,SHERMAN,001,0,$0.00,1,0,$0.00,3
212,SMITH,004,508,"$507,572.71",493,54,"$8,387.72",502
213,SOMERVELL,003,13,"$8,310.22",18,0,$0.00,32
214,STARR,011,28,"$16,844.02",122,36,"$8,675.73",293
215,STEPHENS,002,1,$27.35,20,2,$214.76,47
216,STERLING,009,0,$0.00,5,0,$0.00,4
217,STONEWALL,002,2,"$3,750.00",2,0,$0.00,14
218,SUTTON,009,1,$400.00,9,0,$0.00,25
219,SWISHER,001,1,$634.29,10,4,$336.00,39
220,TARRANT,003,1073,"$1,298,848.58",2097,370,"$88,283.90",5813
221,TAYLOR,002,261,"$329,849.92",314,58,"$9,271.56",939
222,TERRELL,009,3,"$2,019.77",0,0,$0.00,0
223,TERRY,001,8,"$1,353.00",67,1,$36.48,118
224,THROCKMORTON,002,1,$787.09,5,0,$0.00,3
225,TITUS,004,40,"$22,683.51",55,26,"$2,947.40",50
226,TOM GREEN,009,239,"$301,551.63",542,42,"$6,220.62",621
227,TRAVIS,007,1218,"$2,143,207.93",1540,209,"$79,594.15",2745
228,TRINITY,005,24,"$12,775.10",46,12,$937.90,61
229,TYLER,005,10,"$9,206.78",30,6,$434.00,7
230,UPSHUR,004,33,"$30,914.30",83,30,"$3,092.50",121
231,UPTON,009,5,"$3,197.50",7,0,$0.00,20
232,UVALDE,008,13,"$9,588.04",88,7,$915.43,116
233,VAL VERDE,008,7,"$10,154.00",55,2,$265.50,104
234,VAN ZANDT,004,39,"$46,243.82",151,22,"$3,238.38",147
235,VICTORIA,008,51,"$33,600.30",251,28,"$5,201.56",353
236,WALKER,006,19,"$11,328.80",94,6,$265.90,144
237,WALLER,006,40,"$29,905.00",73,5,$659.97,152
238,WARD,009,36,"$20,847.49",6,0,$0.00,43
239,WASHINGTON,007,15,"$10,063.25",58,3,"$1,090.08",45
240,WEBB,011,210,"$195,148.36",741,103,"$12,581.45",2564
241,WHARTON,006,17,"$19,951.54",46,16,"$3,276.45",162
242,WHEELER,001,2,"$3,084.00",10,0,$0.00,19
243,WICHITA,002,191,"$151,278.90",280,40,"$3,509.65",800
244,WILBARGER,002,12,"$4,719.65",19,3,$124.00,57
245,WILLACY,011,10,"$15,795.52",76,1,$162.25,211
246,WILLIAMSON,007,134,"$178,313.44",419,133,"$42,773.29",787
247,WILSON,008,3,"$7,583.56",112,10,"$2,877.66",131
248,WINKLER,009,2,$750.00,8,0,$0.00,26
249,WISE,003,112,"$56,667.93",144,1,$134.30,197
250,WOOD,004,46,"$37,248.64",144,21,"$2,013.52",106
251,YOAKUM,001,1,"$1,907.44",13,2,$94.15,12
252,YOUNG,002,14,"$15,137.66",41,2,$90.82,68
253,ZAPATA,011,5,"$4,546.91",45,9,$722.55,117
254,ZAVALA,008,4,"$6,708.79",45,22,"$3,162.74",67
255,UNKNOWN,,0,$0.00,6,0,$0.00,28
256,STATE TOTAL,,24036,"$23,774,719.20",45159,7040,"$1,384,252.19",90287
