,County,Region,Total Children Served in Fiscal Year 2008,Subsequently Confirmed Victims in Fiscal Years 2008 - 2013
130,KENDALL,008,36,7
131,KENEDY,011,0,0
132,KENT,002,1,0
133,KERR,008,182,28
134,KIMBLE,009,18,5
135,KING,001,0,0
136,KINNEY,008,10,3
137,KLEBERG,011,193,58
138,KNOX,002,10,5
139,LAMAR,004,120,28
140,LAMB,001,70,14
141,LAMPASAS,007,77,21
142,LA SALLE,008,48,22
143,LAVACA,008,38,6
144,LEE,007,36,13
145,LEON,007,33,0
146,LIBERTY,006,181,47
147,LIMESTONE,007,39,9
148,LIPSCOMB,001,5,0
149,LIVE OAK,011,23,8
150,LLANO,007,66,15
151,LOVING,009,0,0
152,LUBBOCK,001,1154,295
153,LYNN,001,11,3
154,MADISON,007,43,6
155,MARION,004,17,1
156,MARTIN,009,7,1
157,MASON,009,12,4
158,MATAGORDA,006,31,5
159,MAVERICK,008,23,5
160,MCCULLOCH,009,14,5
161,MCLENNAN,007,393,81
162,MCMULLEN,011,4,0
163,MEDINA,008,236,45
164,MENARD,009,5,1
165,MIDLAND,009,327,77
166,MILAM,007,142,42
167,MILLS,007,15,1
168,MITCHELL,002,41,11
169,MONTAGUE,002,53,22
170,MONTGOMERY,006,719,158
171,MOORE,001,73,17
172,MORRIS,004,34,12
173,MOTLEY,001,2,2
174,NACOGDOCHES,005,94,35
175,NAVARRO,003,68,15
176,NEWTON,005,10,3
177,NOLAN,002,162,35
178,NUECES,011,1852,357
179,OCHILTREE,001,11,7
180,OLDHAM,001,0,0
181,ORANGE,005,141,29
182,PALO PINTO,003,129,39
183,PANOLA,004,37,9
184,PARKER,003,263,62
185,PARMER,001,10,3
186,PECOS,009,50,10
187,POLK,005,117,32
188,POTTER,001,591,150
189,PRESIDIO,010,2,1
190,RAINS,004,19,2
191,RANDALL,001,211,53
192,REAGAN,009,9,0
193,REAL,008,4,1
194,RED RIVER,004,23,6
195,REEVES,009,72,24
196,REFUGIO,011,25,6
197,ROBERTS,001,0,0
198,ROBERTSON,007,34,9
199,ROCKWALL,003,68,4
200,RUNNELS,002,54,21
201,RUSK,004,141,23
202,SABINE,005,15,4
203,SAN AUGUSTINE,005,20,9
204,SAN JACINTO,005,60,18
205,SAN PATRICIO,011,610,154
206,SAN SABA,007,17,2
207,SCHLEICHER,009,431,3
208,SCURRY,002,147,32
209,SHACKELFORD,002,10,1
210,SHELBY,005,34,10
211,SHERMAN,001,4,2
212,SMITH,004,245,50
213,SOMERVELL,003,25,4
214,STARR,011,143,30
215,STEPHENS,002,47,15
216,STERLING,009,1,0
217,STONEWALL,002,0,0
218,SUTTON,009,13,0
219,SWISHER,001,31,9
220,TARRANT,003,4282,930
221,TAYLOR,002,646,193
222,TERRELL,009,0,0
223,TERRY,001,37,10
224,THROCKMORTON,002,3,3
225,TITUS,004,100,21
226,TOM GREEN,009,326,76
227,TRAVIS,007,1753,321
228,TRINITY,005,15,6
229,TYLER,005,41,0
230,UPSHUR,004,124,25
231,UPTON,009,6,2
232,UVALDE,008,136,37
233,VAL VERDE,008,73,17
234,VAN ZANDT,004,131,29
235,VICTORIA,008,278,51
236,WALKER,006,67,4
237,WALLER,006,111,28
238,WARD,009,49,5
239,WASHINGTON,007,60,10
240,WEBB,011,851,123
241,WHARTON,006,32,1
242,WHEELER,001,4,0
243,WICHITA,002,584,177
244,WILBARGER,002,61,19
245,WILLACY,011,140,35
246,WILLIAMSON,007,817,136
247,WILSON,008,36,7
248,WINKLER,009,37,5
249,WISE,003,132,30
250,WOOD,004,84,20
251,YOAKUM,001,13,7
252,YOUNG,002,104,24
253,ZAPATA,011,38,6
254,ZAVALA,008,63,13
255,UNKNOWN,,12,3
256,STATE TOTAL,,57401,11323
