,County,Region,STAR*,CYD**,SYSN***,TOTAL
115,HUDSPETH,010,3,0,0,3
116,HUNT,003,267,0,107,374
117,HUTCHINSON,001,27,0,0,27
118,IRION,009,2,0,0,2
119,JACK,002,4,0,4,8
120,JACKSON,008,30,0,0,30
121,JASPER,005,15,0,0,15
122,JEFF DAVIS,010,0,0,0,0
123,JEFFERSON,005,237,0,2,239
124,JIM HOGG,011,2,0,0,2
125,JIM WELLS,011,101,0,0,101
126,JOHNSON,003,85,0,2,87
127,JONES,002,79,0,0,79
128,KARNES,008,21,0,0,21
129,KAUFMAN,003,28,0,1,29
130,KENDALL,008,63,0,28,91
131,KENEDY,011,9,0,0,9
132,KENT,002,1,0,0,1
133,KERR,008,137,0,6,143
134,KIMBLE,009,35,0,0,35
135,KING,001,0,0,0,0
136,KINNEY,008,2,0,0,2
137,KLEBERG,011,126,0,17,143
138,KNOX,002,8,0,0,8
139,LAMAR,004,325,0,2,327
140,LAMB,001,5,0,0,5
141,LAMPASAS,007,3,0,4,7
142,LA SALLE,008,1,0,0,1
143,LAVACA,008,45,0,0,45
144,LEE,007,3,0,0,3
145,LEON,007,33,0,0,33
146,LIBERTY,006,4,0,0,4
147,LIMESTONE,007,37,0,0,37
148,LIPSCOMB,001,3,0,0,3
149,LIVE OAK,011,35,0,0,35
150,LLANO,007,35,0,0,35
151,LOVING,009,0,0,0,0
152,LUBBOCK,001,441,1011,133,1585
153,LYNN,001,11,0,0,11
154,MADISON,007,53,0,0,53
155,MARION,004,5,0,0,5
156,MARTIN,009,3,0,0,3
157,MASON,009,24,0,0,24
158,MATAGORDA,006,86,0,22,108
159,MAVERICK,008,117,0,0,117
160,MCCULLOCH,009,20,0,0,20
161,MCLENNAN,007,326,775,9,1110
162,MCMULLEN,011,0,0,0,0
163,MEDINA,008,96,0,0,96
164,MENARD,009,11,0,16,27
165,MIDLAND,009,202,0,18,220
166,MILAM,007,132,0,0,132
167,MILLS,007,7,0,0,7
168,MITCHELL,002,14,0,0,14
169,MONTAGUE,002,4,0,0,4
170,MONTGOMERY,006,713,0,8,721
171,MOORE,001,15,0,0,15
172,MORRIS,004,12,0,0,12
173,MOTLEY,001,6,0,0,6
174,NACOGDOCHES,005,123,0,22,145
175,NAVARRO,003,71,0,24,95
176,NEWTON,005,12,0,0,12
177,NOLAN,002,61,0,1,62
178,NUECES,011,430,1538,72,2040
179,OCHILTREE,001,16,0,8,24
180,OLDHAM,001,0,0,0,0
181,ORANGE,005,74,0,12,86
182,PALO PINTO,003,31,0,0,31
183,PANOLA,004,34,0,0,34
184,PARKER,003,10,0,3,13
185,PARMER,001,13,0,0,13
186,PECOS,009,12,0,0,12
187,POLK,005,38,0,9,47
188,POTTER,001,106,745,11,862
189,PRESIDIO,010,16,0,0,16
190,RAINS,004,10,0,0,10
191,RANDALL,001,71,0,9,80
192,REAGAN,009,2,0,0,2
193,REAL,008,7,0,0,7
194,RED RIVER,004,4,0,0,4
195,REEVES,009,10,0,0,10
196,REFUGIO,011,5,0,0,5
197,ROBERTS,001,0,0,0,0
198,ROBERTSON,007,99,0,0,99
199,ROCKWALL,003,103,0,15,118
200,RUNNELS,002,17,0,0,17
201,RUSK,004,59,0,16,75
202,SABINE,005,6,0,0,6
203,SAN AUGUSTINE,005,29,0,9,38
204,SAN JACINTO,005,61,0,0,61
205,SAN PATRICIO,011,295,0,4,299
206,SAN SABA,007,13,0,0,13
207,SCHLEICHER,009,1,0,0,1
208,SCURRY,002,85,0,14,99
209,SHACKELFORD,002,0,0,0,0
210,SHELBY,005,19,0,0,19
211,SHERMAN,001,6,0,1,7
212,SMITH,004,289,0,0,289
213,SOMERVELL,003,7,0,0,7
214,STARR,011,127,0,0,127
215,STEPHENS,002,3,0,0,3
216,STERLING,009,2,0,0,2
217,STONEWALL,002,0,0,0,0
218,SUTTON,009,5,0,0,5
219,SWISHER,001,4,0,1,5
220,TARRANT,003,1244,758,236,2238
221,TAYLOR,002,275,0,120,395
222,TERRELL,009,1,0,0,1
223,TERRY,001,47,0,0,47
224,THROCKMORTON,002,0,0,1,1
225,TITUS,004,104,0,0,104
226,TOM GREEN,009,295,0,69,364
227,TRAVIS,007,659,1211,285,2155
228,TRINITY,005,4,0,19,23
229,TYLER,005,38,0,1,39
230,UPSHUR,004,90,0,0,90
231,UPTON,009,2,0,0,2
232,UVALDE,008,82,0,0,82
233,VAL VERDE,008,385,0,16,401
234,VAN ZANDT,004,67,0,0,67
235,VICTORIA,008,431,0,24,455
236,WALKER,006,10,0,14,24
237,WALLER,006,20,0,4,24
238,WARD,009,12,0,0,12
239,WASHINGTON,007,85,0,6,91
240,WEBB,011,391,0,122,513
241,WHARTON,006,111,0,22,133
242,WHEELER,001,14,0,0,14
243,WICHITA,002,288,0,124,412
244,WILBARGER,002,94,0,30,124
245,WILLACY,011,95,0,0,95
246,WILLIAMSON,007,538,0,31,569
247,WILSON,008,60,0,2,62
248,WINKLER,009,1,0,0,1
249,WISE,003,33,0,1,34
250,WOOD,004,14,0,0,14
251,YOAKUM,001,3,0,0,3
252,YOUNG,002,2,0,0,2
253,ZAPATA,011,3,0,0,3
254,ZAVALA,008,55,0,0,55
255,STATE TOTAL,,23677,16767,4384,44828
