,County,Region,Family Reunification,Relative With PCA,Relative Without PCA,Adoption by Relative,Adoption by Non-Relative,Long Term Care - Emancipation,Long Term Care - Other
26,BURLESON,007,15.2,0.0,11.4,0.0,32.4,65.3,0.0
27,BURNET,007,12.1,21.4,11.2,17.8,11.5,56.5,0.0
28,CALDWELL,007,9.2,16.4,9.1,15.6,16.6,73.1,4.6
29,CALHOUN,008,16.1,0.0,0.0,0.0,73.0,37.5,0.0
30,CALLAHAN,002,16.6,43.7,0.0,0.0,56.3,44.8,0.0
31,CAMERON,011,12.8,18.9,17.8,23.3,71.7,45.4,3.7
32,CAMP,004,11.2,0.0,9.5,17.0,15.6,73.3,43.0
33,CARSON,001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,CASS,004,9.4,0.0,5.4,17.3,35.3,35.0,0.0
35,CASTRO,001,0.0,0.0,0.0,0.0,0.0,137.5,0.0
36,CHAMBERS,006,12.5,0.0,11.9,0.0,21.3,47.2,0.0
37,CHEROKEE,004,13.2,18.9,10.9,18.4,21.2,17.9,31.7
38,CHILDRESS,001,16.7,0.0,0.0,16.3,0.0,105.1,0.0
39,CLAY,002,10.3,0.0,0.0,0.0,0.0,65.8,0.0
40,COCHRAN,001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,COKE,009,17.0,0.0,0.0,0.0,0.0,0.0,0.0
42,COLEMAN,002,11.3,24.0,21.6,20.8,42.0,0.0,0.0
43,COLLIN,003,11.7,23.0,13.1,28.1,23.6,72.2,0.4
44,COLLINGSWORTH,001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,COLORADO,006,2.1,0.0,12.0,25.9,24.3,0.0,0.0
46,COMAL,008,19.2,20.1,9.6,26.7,22.4,34.2,0.0
47,COMANCHE,002,12.6,63.7,13.3,0.0,0.0,13.5,0.0
48,CONCHO,009,13.0,0.0,31.7,0.0,0.0,13.7,0.0
49,COOKE,003,8.3,0.0,14.9,14.2,26.5,0.0,0.1
50,CORYELL,007,8.5,21.8,10.8,15.6,20.4,46.8,9.4
51,COTTLE,002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,CRANE,009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,CROCKETT,009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,CROSBY,001,0.0,0.0,38.9,0.0,0.0,159.3,0.0
55,CULBERSON,010,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,DALLAM,001,7.5,0.0,19.3,0.0,0.0,0.0,110.2
57,DALLAS,003,10.5,27.5,11.9,27.0,35.3,64.9,10.8
58,DAWSON,009,12.6,0.0,11.6,22.7,19.3,0.0,0.0
59,DEAF SMITH,001,0.0,0.0,11.1,27.3,20.5,123.8,0.0
60,DELTA,004,0.0,0.0,12.4,22.1,21.2,22.3,0.0
61,DENTON,003,0.0,0.0,11.6,26.2,22.6,0.0,0.0
62,DE WITT,008,12.8,26.0,11.6,28.1,27.7,40.5,20.0
63,DICKENS,001,0.0,0.0,0.0,0.0,42.9,0.0,0.0
64,DIMMIT,008,10.4,0.0,23.3,32.2,0.0,54.2,0.0
65,DONLEY,001,0.0,0.0,36.5,0.0,0.0,0.0,0.0
66,DUVAL,011,13.2,0.0,6.6,17.1,24.8,51.1,0.0
67,EASTLAND,002,14.8,38.5,24.6,21.9,0.0,0.0,0.0
68,ECTOR,009,16.0,28.0,13.1,22.8,31.3,50.4,8.5
69,EDWARDS,008,0.0,0.0,0.0,38.5,0.0,0.0,0.0
70,ELLIS,003,17.8,24.1,13.9,22.3,27.2,58.3,1.5
71,EL PASO,010,8.0,0.0,6.5,12.2,18.7,84.1,0.0
72,ERATH,003,11.8,0.0,11.1,0.0,9.3,84.5,0.0
73,FALLS,007,10.0,26.0,0.0,23.5,26.8,56.4,0.0
74,FANNIN,003,0.0,0.0,18.2,0.0,0.0,69.1,0.0
75,FAYETTE,007,14.5,0.0,14.2,25.9,25.8,30.0,0.0
76,FISHER,002,67.6,0.0,17.9,0.0,0.0,0.0,0.0
77,FLOYD,001,7.4,0.0,17.4,24.9,26.8,28.4,0.4
78,FOARD,002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,FORT BEND,006,15.6,21.6,8.2,23.9,47.0,57.7,0.0
80,FRANKLIN,004,10.8,0.0,8.0,0.0,14.0,0.0,0.0
81,FREESTONE,007,0.0,0.0,26.5,20.0,76.7,35.1,0.0
82,FRIO,008,12.3,0.0,0.0,27.0,17.8,6.9,0.0
83,GAINES,009,10.2,0.0,30.4,0.0,19.0,26.5,0.0
84,GALVESTON,006,9.4,0.0,11.7,25.2,28.3,91.7,0.7
85,GARZA,001,17.9,0.0,0.0,0.0,0.0,0.0,0.0
86,GILLESPIE,008,11.9,17.0,0.0,26.5,58.2,37.2,0.0
87,GLASSCOCK,009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,GOLIAD,008,0.0,0.0,0.0,0.0,31.9,0.0,0.0
89,GONZALES,008,9.9,0.0,9.9,16.9,21.0,140.0,0.0
90,GRAY,001,13.5,13.3,14.8,32.5,22.1,27.4,0.0
91,GRAYSON,003,11.2,0.0,10.5,38.8,18.5,47.3,9.5
92,GREGG,004,13.5,0.0,12.0,23.4,37.7,44.3,48.6
93,GRIMES,007,10.5,0.0,7.4,29.6,52.4,37.7,0.0
94,GUADALUPE,008,10.3,14.3,14.3,29.2,33.3,48.5,0.0
95,HALE,001,13.6,0.0,16.1,24.1,57.9,40.8,15.0
96,HALL,001,16.8,33.8,0.0,0.0,0.0,101.1,0.0
97,HAMILTON,007,1.0,0.0,11.6,0.0,38.3,18.9,0.0
98,HANSFORD,001,0.0,0.0,0.0,0.0,0.0,45.6,0.0
99,HARDEMAN,002,0.0,35.6,0.0,0.0,0.0,0.0,0.0
100,HARDIN,005,15.0,20.1,47.0,14.7,37.6,123.2,0.0
101,HARRIS,006,16.6,23.7,17.7,32.6,38.3,64.9,16.7
102,HARRISON,004,10.3,21.1,12.0,0.0,82.0,74.2,56.4
103,HARTLEY,001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,HASKELL,002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,HAYS,007,11.0,15.2,16.2,19.9,28.8,42.5,0.0
106,HEMPHILL,001,10.3,0.0,0.0,0.0,0.0,0.0,0.0
107,HENDERSON,004,16.9,22.6,10.9,22.1,37.4,60.6,22.5
108,HIDALGO,011,12.9,19.6,14.1,29.8,64.9,21.7,15.5
109,HILL,007,12.9,0.0,17.3,17.1,43.2,54.8,0.0
110,HOCKLEY,001,26.3,0.0,16.3,47.2,24.0,153.1,0.0
111,HOOD,003,15.3,26.4,13.6,0.0,18.1,61.7,0.0
112,HOPKINS,004,11.7,10.8,10.1,20.0,26.6,47.1,0.0
113,HOUSTON,005,7.9,0.0,14.0,0.0,65.1,21.8,0.0
114,HOWARD,009,16.9,18.7,5.2,19.8,15.0,31.2,11.9
115,HUDSPETH,010,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,HUNT,003,11.6,18.9,9.2,13.6,20.7,72.8,1.2
117,HUTCHINSON,001,14.2,0.0,13.2,16.6,42.7,90.2,0.0
118,IRION,009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,JACK,002,16.0,0.0,8.8,16.4,0.0,0.0,0.0
120,JACKSON,008,0.2,0.0,0.0,0.0,43.0,0.0,0.0
121,JASPER,005,13.7,0.0,12.2,0.0,32.8,79.3,0.0
122,JEFF DAVIS,010,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,JEFFERSON,005,10.2,23.4,10.4,24.2,23.2,82.0,8.1
124,JIM HOGG,011,15.0,0.0,14.5,0.0,0.0,0.0,0.0
125,JIM WELLS,011,14.1,21.4,11.7,28.6,19.4,45.5,11.3
126,JOHNSON,003,14.4,0.0,13.5,19.4,34.5,55.1,0.0
127,JONES,002,7.9,0.0,10.2,0.0,52.0,59.2,0.0
128,KARNES,008,14.1,0.0,0.0,23.1,19.0,0.0,0.0
129,KAUFMAN,003,10.3,0.0,11.1,15.5,26.9,30.6,0.0
130,KENDALL,008,22.6,0.0,6.6,22.8,16.8,24.2,0.0
131,KENEDY,011,0.0,0.0,1.8,0.0,0.0,0.0,0.0
132,KENT,002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,KERR,008,16.1,0.0,15.1,17.8,32.4,46.3,0.0
134,KIMBLE,009,0.0,0.0,12.8,40.0,0.0,138.5,0.0
135,KING,001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,KINNEY,008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,KLEBERG,011,19.6,37.4,14.8,0.0,25.8,38.5,0.0
138,KNOX,002,0.0,0.0,16.5,0.0,0.0,37.2,0.0
139,LAMAR,004,13.8,0.0,0.0,26.7,31.4,92.0,0.0
140,LAMB,001,7.0,0.0,8.1,18.8,18.9,92.9,11.5
141,LAMPASAS,007,0.0,0.0,19.9,20.2,0.0,30.6,0.0
142,LA SALLE,008,4.8,0.0,11.7,15.8,93.8,55.4,0.0
143,LAVACA,008,6.6,0.0,13.5,16.5,51.1,9.5,0.0
144,LEE,007,13.6,14.3,17.9,23.2,28.4,29.2,0.0
145,LEON,007,11.3,0.0,14.0,31.2,81.4,80.8,0.0
146,LIBERTY,006,11.0,18.1,10.0,24.1,32.6,59.3,0.0
147,LIMESTONE,007,1.4,0.0,14.3,22.0,24.6,42.1,0.0
148,LIPSCOMB,001,0.0,0.0,0.0,0.0,23.8,0.0,0.0
149,LIVE OAK,011,6.9,0.0,6.4,28.8,32.6,18.5,0.0
150,LLANO,007,14.9,0.0,7.9,20.2,16.5,19.6,0.0
151,LOVING,009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,LUBBOCK,001,14.4,22.7,14.9,19.0,33.5,48.0,15.8
153,LYNN,001,0.0,0.0,0.0,0.0,0.0,131.2,0.0
154,MADISON,007,30.1,11.9,7.5,0.0,0.0,0.0,0.0
155,MARION,004,7.5,0.0,5.9,17.0,0.0,0.0,6.5
156,MARTIN,009,0.0,0.0,11.7,0.0,0.0,0.0,0.0
157,MASON,009,0.0,0.0,0.0,21.9,0.0,0.0,0.0
158,MATAGORDA,006,0.0,0.0,13.7,0.0,29.5,112.0,10.5
159,MAVERICK,008,17.2,0.0,0.0,55.3,0.0,0.0,0.0
160,MCCULLOCH,009,0.0,0.0,0.0,0.0,14.9,0.0,11.2
161,MCLENNAN,007,14.4,0.0,17.1,23.8,28.3,77.2,0.0
162,MCMULLEN,011,0.0,0.0,10.8,0.0,0.0,0.0,0.0
163,MEDINA,008,18.1,15.8,19.6,29.1,18.0,42.7,0.0
164,MENARD,009,0.0,0.0,11.5,18.1,0.0,0.0,0.0
165,MIDLAND,009,11.0,23.8,18.1,29.4,27.4,42.4,77.2
166,MILAM,007,11.6,29.0,14.3,24.3,28.7,77.9,0.0
167,MILLS,007,0.0,0.0,0.0,0.0,16.5,71.4,0.0
168,MITCHELL,002,17.9,21.2,0.3,0.0,0.0,0.0,0.0
169,MONTAGUE,002,15.2,18.9,17.1,0.0,64.7,64.3,0.0
170,MONTGOMERY,006,10.6,22.0,14.6,27.6,27.3,57.6,16.3
171,MOORE,001,17.7,0.0,9.6,13.8,0.0,0.0,0.0
172,MORRIS,004,19.9,19.0,3.2,0.0,13.6,0.0,0.0
173,MOTLEY,001,0.0,0.0,0.0,28.1,0.0,21.7,0.0
174,NACOGDOCHES,005,16.0,18.9,20.5,21.3,34.5,39.5,0.0
175,NAVARRO,003,0.1,0.0,9.4,26.1,34.9,92.3,0.0
176,NEWTON,005,13.2,0.0,9.8,0.0,56.8,0.0,0.0
177,NOLAN,002,8.4,17.6,8.1,0.0,31.4,0.0,9.3
178,NUECES,011,8.9,23.7,9.2,28.5,31.2,43.4,28.9
179,OCHILTREE,001,11.4,0.0,14.4,0.0,0.0,0.0,0.0
180,OLDHAM,001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,ORANGE,005,12.8,23.3,12.5,16.1,23.9,37.0,0.0
182,PALO PINTO,003,12.6,0.0,15.6,31.1,0.0,26.1,5.4
183,PANOLA,004,16.9,0.0,28.8,0.0,0.0,0.0,0.0
184,PARKER,003,11.5,0.0,13.4,34.5,24.9,47.2,0.0
185,PARMER,001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,PECOS,009,15.8,0.0,16.8,0.0,0.0,0.0,0.0
187,POLK,005,12.0,34.9,13.6,22.1,26.1,44.5,0.0
188,POTTER,001,18.5,53.4,15.1,27.7,37.8,79.9,0.0
189,PRESIDIO,010,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,RAINS,004,9.6,0.0,7.8,0.0,17.0,0.0,0.0
191,RANDALL,001,19.4,27.9,16.8,27.7,37.9,50.4,139.0
192,REAGAN,009,0.0,0.0,2.5,0.0,0.0,0.0,0.0
193,REAL,008,0.0,0.0,0.0,29.3,0.0,40.6,0.0
194,RED RIVER,004,6.7,0.0,5.9,23.5,43.9,3.0,6.2
195,REEVES,009,16.5,0.0,0.0,0.0,0.0,0.0,0.0
196,REFUGIO,011,0.0,0.0,8.4,0.0,0.0,1.8,0.0
197,ROBERTS,001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,ROBERTSON,007,19.2,0.0,16.2,16.1,0.0,60.5,0.0
199,ROCKWALL,003,11.7,0.0,7.9,27.5,18.6,0.0,87.3
200,RUNNELS,002,13.5,0.0,17.4,0.0,36.6,0.0,0.0
201,RUSK,004,8.3,0.0,18.8,19.4,22.9,39.2,36.6
202,SABINE,005,0.0,15.2,0.0,0.0,24.3,0.0,25.9
203,SAN AUGUSTINE,005,10.0,19.6,0.0,12.4,0.0,0.0,0.0
204,SAN JACINTO,005,15.8,0.0,18.9,0.0,25.8,81.8,0.0
205,SAN PATRICIO,011,7.3,0.0,12.7,30.8,49.2,60.5,0.0
206,SAN SABA,007,0.0,0.0,0.0,0.0,0.0,60.6,0.0
207,SCHLEICHER,009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,SCURRY,002,0.0,28.4,18.4,0.0,0.0,43.0,0.0
209,SHACKELFORD,002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,SHELBY,005,12.4,0.0,12.0,0.0,13.6,62.7,0.0
211,SHERMAN,001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,SMITH,004,13.4,26.4,8.0,17.3,29.9,60.5,0.2
213,SOMERVELL,003,25.7,0.0,7.7,0.0,0.0,0.0,0.0
214,STARR,011,15.3,0.0,9.5,0.0,0.0,64.2,0.3
215,STEPHENS,002,6.9,0.0,0.0,0.0,0.0,0.0,0.0
216,STERLING,009,0.0,0.0,0.0,0.0,33.0,0.0,0.0
217,STONEWALL,002,0.0,0.0,1.8,0.0,0.0,0.0,0.0
218,SUTTON,009,0.0,0.0,8.7,0.0,27.3,0.0,0.0
219,SWISHER,001,0.0,0.0,0.0,0.0,83.6,0.0,0.0
220,TARRANT,003,16.3,23.3,12.7,20.2,28.9,47.3,7.4
221,TAYLOR,002,13.4,32.4,18.4,28.0,31.7,47.0,18.7
222,TERRELL,009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,TERRY,001,15.1,0.0,14.6,23.9,26.4,38.6,0.0
224,THROCKMORTON,002,0.0,0.0,0.0,0.0,0.0,170.5,0.0
225,TITUS,004,14.1,11.2,8.6,18.8,34.2,147.8,12.0
226,TOM GREEN,009,14.0,40.2,15.3,27.3,32.0,75.1,12.0
227,TRAVIS,007,13.5,27.7,12.8,22.4,31.2,46.7,12.6
228,TRINITY,005,10.3,0.0,11.9,11.6,0.0,0.0,0.0
229,TYLER,005,5.5,0.0,19.9,0.0,24.8,7.7,0.0
230,UPSHUR,004,8.8,0.0,9.9,23.8,13.2,0.9,0.0
231,UPTON,009,0.0,0.0,0.0,0.0,0.0,65.5,0.0
232,UVALDE,008,14.9,0.0,12.0,23.8,26.7,64.9,0.0
233,VAL VERDE,008,13.4,0.0,21.3,33.1,35.8,73.9,0.0
234,VAN ZANDT,004,16.3,18.2,15.9,21.0,32.3,51.2,0.0
235,VICTORIA,008,18.3,22.1,18.1,30.5,53.1,63.3,0.0
236,WALKER,006,11.2,0.0,12.4,0.0,26.1,60.2,0.0
237,WALLER,006,11.6,25.8,5.9,58.6,19.0,64.0,0.0
238,WARD,009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,WASHINGTON,007,15.0,16.5,8.2,23.7,0.0,9.5,0.0
240,WEBB,011,10.1,0.0,13.0,24.6,63.0,45.5,8.2
241,WHARTON,006,14.4,27.9,32.1,27.2,25.5,22.2,5.2
242,WHEELER,001,0.0,0.0,0.0,0.0,16.9,24.4,0.0
243,WICHITA,002,7.5,20.4,9.4,20.6,25.2,69.7,0.0
244,WILBARGER,002,12.4,0.0,18.1,0.0,0.0,95.1,0.0
245,WILLACY,011,9.4,23.0,12.5,0.0,38.1,79.8,0.0
246,WILLIAMSON,007,18.2,19.7,14.5,26.0,28.3,44.3,8.1
247,WILSON,008,11.7,0.0,13.9,19.2,15.3,0.0,0.3
248,WINKLER,009,13.4,0.0,0.0,0.0,13.9,0.0,0.0
249,WISE,003,15.2,0.0,17.1,31.6,34.0,44.8,0.0
250,WOOD,004,15.4,0.0,8.9,21.5,19.3,48.8,0.0
251,YOAKUM,001,0.0,0.0,0.0,0.0,0.0,0.0,0.9
252,YOUNG,002,17.0,32.3,18.6,26.7,0.0,55.9,0.0
253,ZAPATA,011,9.7,0.0,15.8,0.0,0.0,22.8,0.0
254,ZAVALA,008,0.0,0.0,0.0,24.5,36.7,90.9,0.0
255,STATE TOTAL,,13.2,24.9,13.3,25.7,32.1,55.6,17.1
