,County,Region,Foster Homes*,Foster/ Adoptive Homes**,Adoptive Homes***
238,WARD,009,0,0,0
239,WASHINGTON,007,0,3,1
240,WEBB,011,1,13,5
241,WHARTON,006,0,4,0
242,WHEELER,001,0,0,0
243,WICHITA,002,0,10,2
244,WILBARGER,002,0,0,1
245,WILLACY,011,0,0,0
246,WILLIAMSON,007,1,17,21
247,WILSON,008,0,2,4
248,WINKLER,009,0,0,0
249,WISE,003,0,3,0
250,WOOD,004,0,3,1
251,YOAKUM,001,0,2,0
252,YOUNG,002,0,5,1
253,ZAPATA,011,0,0,0
254,ZAVALA,008,0,0,1
255,OUT OF STATE,,18,54,8
256,STATE TOTAL,,140,1232,724
