,County,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/ Neglect per 1000 Children,Total CPS Completed Investi-gations,Confirmed CPS Investi-gations,Percent Investigations Confirmed
47,COMANCHE,3337,44,13.2,75,22,29.3%
48,CONCHO,568,7,12.3,15,4,26.7%
49,COOKE,9788,122,12.5,348,78,22.4%
50,CORYELL,22088,214,9.7,652,128,19.6%
51,COTTLE,342,3,8.8,14,1,7.1%
52,CRANE,1286,0,0.0,16,0,0.0%
53,CROCKETT,970,16,16.5,31,11,35.5%
54,CROSBY,1737,29,16.7,70,13,18.6%
55,CULBERSON,658,10,15.2,12,4,33.3%
56,DALLAM,2065,22,10.7,66,16,24.2%
57,DALLAS,667394,5107,7.7,14450,3183,22.0%
58,DAWSON,3418,54,15.8,96,26,27.1%
59,DEAF SMITH,6363,66,10.4,167,34,20.4%
60,DELTA,1153,22,19.1,54,15,27.8%
61,DENTON,193415,929,4.8,3012,617,20.5%
62,DEWITT,4478,35,7.8,157,25,15.9%
63,DICKENS,473,9,19.0,17,5,29.4%
64,DIMMIT,2932,28,9.5,98,13,13.3%
65,DONLEY,729,21,28.8,28,9,32.1%
66,DUVAL,3044,34,11.2,74,20,27.0%
67,EASTLAND,4197,59,14.1,147,37,25.2%
68,ECTOR,40880,633,15.5,1289,384,29.8%
69,EDWARDS,412,4,9.7,14,3,21.4%
70,ELLIS,44792,208,4.6,736,132,17.9%
71,EL PASO,244164,2081,8.5,4462,1191,26.7%
72,ERATH,8657,114,13.2,233,76,32.6%
73,FALLS,3871,50,12.9,116,32,27.6%
74,FANNIN,7539,52,6.9,188,37,19.7%
75,FAYETTE,5434,80,14.7,113,42,37.2%
76,FISHER,827,17,20.6,25,12,48.0%
77,FLOYD,1813,41,22.6,56,22,39.3%
78,FOARD,264,0,0.0,6,0,0.0%
79,FORT BEND,184786,535,2.9,1726,378,21.9%
80,FRANKLIN,2649,34,12.8,81,22,27.2%
81,FREESTONE,4644,38,8.2,107,20,18.7%
82,FRIO,4226,124,29.3,210,70,33.3%
83,GAINES,6436,26,4.0,61,17,27.9%
84,GALVESTON,75257,451,6.0,2020,301,14.9%
85,GARZA,1272,44,34.6,60,23,38.3%
86,GILLESPIE,5119,55,10.7,135,30,22.2%
87,GLASSCOCK,329,2,6.1,3,2,66.7%
88,GOLIAD,1613,21,13.0,68,13,19.1%
89,GONZALES,5447,70,12.9,171,37,21.6%
90,GRAY,5714,111,19.4,246,70,28.5%
91,GRAYSON,29242,453,15.5,1094,271,24.8%
92,GREGG,31504,373,11.8,983,233,23.7%
93,GRIMES,6083,54,8.9,154,33,21.4%
94,GUADALUPE,38282,404,10.6,934,226,24.2%
95,HALE,10553,209,19.8,279,108,38.7%
96,HALL,829,25,30.2,37,13,35.1%
97,HAMILTON,1790,19,10.6,64,14,21.9%
98,HANSFORD,1697,5,2.9,18,3,16.7%
99,HARDEMAN,1018,12,11.8,22,8,36.4%
100,HARDIN,14333,134,9.3,419,88,21.0%
101,HARRIS,1171213,5383,4.6,20612,3575,17.3%
102,HARRISON,17217,184,10.7,548,114,20.8%
103,HARTLEY,1322,3,2.3,8,2,25.0%
104,HASKELL,1210,18,14.9,30,6,20.0%
105,HAYS,43078,315,7.3,884,198,22.4%
106,HEMPHILL,1122,11,9.8,16,4,25.0%
107,HENDERSON,18071,161,8.9,703,105,14.9%
108,HIDALGO,276110,2685,9.7,6255,1438,23.0%
109,HILL,8639,144,16.7,277,84,30.3%
110,HOCKLEY,6277,132,21.0,190,68,35.8%
111,HOOD,11029,287,26.0,472,184,39.0%
112,HOPKINS,9087,72,7.9,202,46,22.8%
113,HOUSTON,4822,58,12.0,151,40,26.5%
114,HOWARD,7854,156,19.9,269,85,31.6%
115,HUDSPETH,991,4,4.0,15,3,20.0%
116,HUNT,22135,244,11.0,645,154,23.9%
117,HUTCHINSON,5815,69,11.9,234,43,18.4%
118,IRION,338,4,11.8,6,2,33.3%
119,JACK,1957,17,8.7,64,14,21.9%
120,JACKSON,3559,29,8.1,92,20,21.7%
121,JASPER,8846,111,12.5,326,68,20.9%
122,JEFF DAVIS,388,0,0.0,3,0,0.0%
123,JEFFERSON,60731,661,10.9,1947,436,22.4%
124,JIM HOGG,1515,45,29.7,57,22,38.6%
125,JIM WELLS,11941,175,14.7,414,113,27.3%
126,JOHNSON,42338,691,16.3,1381,443,32.1%
127,JONES,3740,36,9.6,95,22,23.2%
128,KARNES,2934,51,17.4,112,28,25.0%
129,KAUFMAN,31438,220,7.0,649,140,21.6%
130,KENDALL,8338,64,7.7,122,38,31.1%
131,KENEDY,96,0,0.0,1,0,0.0%
132,KENT,178,6,33.7,5,2,40.0%
133,KERR,10128,190,18.8,425,117,27.5%
134,KIMBLE,920,10,10.9,42,7,16.7%
135,KING,61,0,0.0,1,0,0.0%
136,KINNEY,689,0,0.0,6,0,0.0%
137,KLEBERG,8369,82,9.8,213,55,25.8%
138,KNOX,936,5,5.3,21,5,23.8%
139,LAMAR,12128,128,10.6,411,81,19.7%
140,LAMB,4035,51,12.6,117,26,22.2%
141,LAMPASAS,4926,59,12.0,157,33,21.0%
142,LASALLE,1522,29,19.1,46,14,30.4%
143,LAVACA,4357,42,9.6,100,22,22.0%
144,LEE,4195,61,14.5,98,35,35.7%
145,LEON,3795,62,16.3,133,42,31.6%
146,LIBERTY,19812,303,15.3,646,178,27.6%
147,LIMESTONE,5557,46,8.3,170,31,18.2%
148,LIPSCOMB,899,11,12.2,24,5,20.8%
149,LIVE OAK,2270,77,33.9,87,37,42.5%
150,LLANO,3119,50,16.0,139,39,28.1%
151,LOVING,7,0,0.0,0,0,0.0%
152,LUBBOCK,70284,1328,18.9,2411,755,31.3%
153,LYNN,1597,17,10.6,36,8,22.2%
154,MADISON,3021,41,13.6,78,22,28.2%
155,MARION,1970,25,12.7,134,17,12.7%
156,MARTIN,1438,10,7.0,21,7,33.3%
157,MASON,835,9,10.8,14,4,28.6%
158,MATAGORDA,9557,92,9.6,261,58,22.2%
159,MAVERICK,18421,39,2.1,186,27,14.5%
160,MCCULLOCH,2004,44,22.0,81,23,28.4%
161,MCLENNAN,60271,698,11.6,2021,428,21.2%
162,MCMULLEN,121,9,74.4,7,5,71.4%
163,MEDINA,12056,146,12.1,295,91,30.8%
164,MENARD,436,15,34.4,19,9,47.4%
165,MIDLAND,38364,366,9.5,890,229,25.7%
166,MILAM,6448,107,16.6,206,64,31.1%
167,MILLS,1163,7,6.0,27,5,18.5%
168,MITCHELL,1816,59,32.5,93,32,34.4%
169,MONTAGUE,4557,74,16.2,162,48,29.6%
170,MONTGOMERY,132405,794,6.0,2549,506,19.9%
171,MOORE,7140,93,13.0,169,54,32.0%
172,MORRIS,3035,24,7.9,116,16,13.8%
173,MOTLEY,249,6,24.1,3,3,100.0%
174,NACOGDOCHES,16124,181,11.2,382,98,25.7%
175,NAVARRO,13134,116,8.8,276,62,22.5%
176,NEWTON,3177,39,12.3,85,22,25.9%
177,NOLAN,3978,147,37.0,183,75,41.0%
178,NUECES,88188,1107,12.6,3056,676,22.1%
179,OCHILTREE,3380,32,9.5,70,17,24.3%
180,OLDHAM,630,0,0.0,4,0,0.0%
181,ORANGE,20590,435,21.1,985,256,26.0%
182,PALO PINTO,7095,176,24.8,347,100,28.8%
183,PANOLA,5851,47,8.0,149,32,21.5%
184,PARKER,31106,267,8.6,924,162,17.5%
185,PARMER,3268,19,5.8,43,12,27.9%
186,PECOS,3884,48,12.4,75,25,33.3%
187,POLK,9670,141,14.6,391,82,21.0%
188,POTTER,34211,666,19.5,1500,358,23.9%
189,PRESIDIO,2247,15,6.7,24,8,33.3%
190,RAINS,2374,15,6.3,59,11,18.6%
191,RANDALL,31181,363,11.6,833,214,25.7%
192,REAGAN,1017,2,2.0,21,2,9.5%
193,REAL,604,13,21.5,27,9,33.3%
194,RED RIVER,2730,30,11.0,87,19,21.8%
195,REEVES,3111,26,8.4,62,12,19.4%
196,REFUGIO,1739,18,10.4,56,15,26.8%
197,ROBERTS,238,3,12.6,1,1,100.0%
198,ROBERTSON,4212,68,16.1,142,41,28.9%
199,ROCKWALL,25042,77,3.1,253,52,20.6%
200,RUNNELS,2614,15,5.7,55,11,20.0%
201,RUSK,12632,144,11.4,360,92,25.6%
202,SABINE,2051,21,10.2,63,12,19.0%
203,SAN AUGUSTINE,1840,15,8.2,49,12,24.5%
204,SAN JACINTO,6410,79,12.3,236,44,18.6%
205,SAN PATRICIO,18070,312,17.3,592,165,27.9%
206,SAN SABA,1247,13,10.4,36,6,16.7%
207,SCHLEICHER,1121,11,9.8,9,5,55.6%
208,SCURRY,4325,69,16.0,138,44,31.9%
209,SHACKELFORD,816,4,4.9,16,3,18.8%
210,SHELBY,6739,77,11.4,174,45,25.9%
211,SHERMAN,879,1,1.1,10,1,10.0%
212,SMITH,54893,493,9.0,1591,319,20.1%
213,SOMERVELL,2206,28,12.7,52,16,30.8%
214,STARR,20668,216,10.5,365,125,34.2%
215,STEPHENS,2280,25,11.0,87,14,16.1%
216,STERLING,275,3,10.9,4,1,25.0%
217,STONEWALL,325,4,12.3,8,2,25.0%
218,SUTTON,1109,7,6.3,19,7,36.8%
219,SWISHER,2026,34,16.8,58,16,27.6%
220,TARRANT,517952,5598,10.8,13089,3426,26.2%
221,TAYLOR,32799,707,21.6,1176,408,34.7%
222,TERRELL,207,2,9.7,8,2,25.0%
223,TERRY,3317,73,22.0,132,41,31.1%
224,THROCKMORTON,345,4,11.6,9,3,33.3%
225,TITUS,9999,89,8.9,228,56,24.6%
226,TOM GREEN,26599,427,16.1,954,242,25.4%
227,TRAVIS,259016,3045,11.8,7991,1878,23.5%
228,TRINITY,3008,78,25.9,134,37,27.6%
229,TYLER,4251,48,11.3,175,36,20.6%
230,UPSHUR,9830,91,9.3,327,62,19.0%
231,UPTON,943,10,10.6,21,6,28.6%
232,UVALDE,7636,80,10.5,233,47,20.2%
233,VAL VERDE,14849,61,4.1,213,38,17.8%
234,VAN ZANDT,12663,170,13.4,408,100,24.5%
235,VICTORIA,23152,346,14.9,814,191,23.5%
236,WALKER,11453,85,7.4,270,49,18.1%
237,WALLER,11256,45,4.0,195,29,14.9%
238,WARD,2887,29,10.0,76,17,22.4%
239,WASHINGTON,7510,68,9.1,169,39,23.1%
240,WEBB,90260,903,10.0,1577,458,29.0%
241,WHARTON,11007,78,7.1,220,50,22.7%
242,WHEELER,1364,15,11.0,40,10,25.0%
243,WICHITA,30823,541,17.6,1064,336,31.6%
244,WILBARGER,3411,38,11.1,101,16,15.8%
245,WILLACY,5958,151,25.3,239,74,31.0%
246,WILLIAMSON,129411,700,5.4,2024,440,21.7%
247,WILSON,11587,84,7.2,203,48,23.6%
248,WINKLER,2102,16,7.6,57,11,19.3%
249,WISE,15837,159,10.0,421,95,22.6%
250,WOOD,8708,122,14.0,282,72,25.5%
251,YOAKUM,2519,16,6.4,43,8,18.6%
252,YOUNG,4489,44,9.8,167,29,17.4%
253,ZAPATA,4920,70,14.2,95,29,30.5%
254,ZAVALA,3646,42,11.5,107,24,22.4%
255,UNKNOWN,0,0,0.0,0,0,0.0%
256,OUT OF STATE,0,16,0.0,32,9,28.1%
257,STATE TOTAL,7054634,64366,9.1,166211,38725,23.3%
