,County,Total,African American,Anglo,Hispanic,Native American,Other**
211,SHERMAN,1,0,0,0,0,1
212,SMITH,493,114,258,87,0,34
213,SOMERVELL,28,0,23,4,0,1
214,STARR,216,0,5,201,0,10
215,STEPHENS,25,0,14,10,0,1
216,STERLING,3,0,3,0,0,0
217,STONEWALL,4,0,3,0,0,1
218,SUTTON,7,0,1,6,0,0
219,SWISHER,34,5,6,23,0,0
220,TARRANT,5598,1380,1867,1862,0,489
221,TAYLOR,707,59,341,271,0,36
222,TERRELL,2,0,2,0,0,0
223,TERRY,73,7,9,45,0,12
224,THROCKMORTON,4,0,4,0,0,0
225,TITUS,89,9,33,39,0,8
226,TOM GREEN,427,13,157,228,0,29
227,TRAVIS,3045,595,581,1725,2,142
228,TRINITY,78,18,54,3,0,3
229,TYLER,48,6,35,1,0,6
230,UPSHUR,91,12,62,7,0,10
231,UPTON,10,0,2,8,0,0
232,UVALDE,80,1,9,62,4,4
233,VAL VERDE,61,1,10,48,0,2
234,VAN ZANDT,170,3,137,24,0,6
235,VICTORIA,346,18,75,236,1,16
236,WALKER,85,26,41,13,0,5
237,WALLER,45,12,19,11,0,3
238,WARD,29,2,11,16,0,0
239,WASHINGTON,68,21,24,20,0,3
240,WEBB,903,6,16,873,0,8
241,WHARTON,78,20,15,39,0,4
242,WHEELER,15,0,12,3,0,0
243,WICHITA,541,64,326,107,0,44
244,WILBARGER,38,0,13,24,0,1
245,WILLACY,151,0,3,148,0,0
246,WILLIAMSON,700,90,299,263,0,48
247,WILSON,84,0,32,39,0,13
248,WINKLER,16,0,3,12,0,1
249,WISE,159,0,130,22,0,7
250,WOOD,122,3,101,7,0,11
251,YOAKUM,16,0,1,15,0,0
252,YOUNG,44,0,33,7,0,4
253,ZAPATA,70,0,1,69,0,0
254,ZAVALA,42,0,0,42,0,0
255,UNKNOWN,0,0,0,0,0,0
256,OUT OF STATE,16,6,9,1,0,0
257,STATE TOTAL,64366,10151,20095,30034,41,4045
