,County,Children Receiving Sub-Care Purchased Services,Expenditures For Sub-Care Purchased Services,Children in Substitute Care,Children Receiving In-home Purchased Services,Expenditures For InHome Purchased Services,Children Receiving In-home Services
47,COMANCHE,8,"$1,605.58",26,0,$0.00,35
48,CONCHO,3,"$2,015.26",7,0,$0.00,12
49,COOKE,38,"$7,887.99",87,1,$195.50,94
50,CORYELL,4,"$9,300.00",200,1,$508.95,316
51,COTTLE,0,$0.00,0,0,$0.00,3
52,CRANE,0,$0.00,2,0,$0.00,4
53,CROCKETT,1,$97.46,8,1,$91.55,19
54,CROSBY,0,$0.00,18,0,$0.00,45
55,CULBERSON,0,$0.00,0,0,$0.00,17
56,DALLAM,0,$0.00,11,2,$168.00,33
57,DALLAS,1596,"$924,795.23",3875,101,"$28,579.49",5663
58,DAWSON,6,"$1,370.16",34,3,$577.78,87
59,DEAF SMITH,1,$84.00,56,9,"$2,345.79",91
60,DELTA,3,$608.53,14,2,$474.42,26
61,DENTON,334,"$165,870.31",652,22,"$6,507.47",811
62,DEWITT,1,$400.00,49,0,$0.00,41
63,DICKENS,0,$0.00,10,0,$0.00,18
64,DIMMIT,1,$296.89,83,3,$327.00,29
65,DONLEY,3,$252.00,13,0,$0.00,18
66,DUVAL,2,$800.00,31,6,"$1,169.45",100
67,EASTLAND,9,"$6,210.82",49,3,$81.00,81
68,ECTOR,111,"$88,148.13",422,54,"$6,508.63",753
69,EDWARDS,0,$0.00,17,0,$0.00,2
70,ELLIS,61,"$32,892.11",76,4,"$1,876.92",294
71,EL PASO,268,"$240,851.71",788,42,"$7,136.28",2527
72,ERATH,32,"$13,206.37",61,4,"$1,463.63",89
73,FALLS,1,$400.00,26,1,$28.70,12
74,FANNIN,12,"$3,906.58",27,0,$0.00,43
75,FAYETTE,1,"$3,000.00",72,0,$0.00,54
76,FISHER,1,"$1,280.61",6,0,$0.00,26
77,FLOYD,0,$0.00,38,0,$0.00,43
78,FOARD,0,$0.00,0,0,$0.00,0
79,FORT BEND,50,"$42,365.27",233,23,"$4,147.97",840
80,FRANKLIN,1,$95.00,11,8,$714.65,35
81,FREESTONE,7,"$12,800.00",31,0,$0.00,16
82,FRIO,0,$0.00,96,6,$231.00,119
83,GAINES,5,"$4,545.35",26,0,$0.00,32
84,GALVESTON,49,"$43,999.51",305,11,$974.08,870
85,GARZA,3,$162.00,20,0,$0.00,58
86,GILLESPIE,8,"$7,323.65",53,4,$226.20,61
87,GLASSCOCK,0,$0.00,0,0,$0.00,1
88,GOLIAD,1,$400.00,2,0,$0.00,15
89,GONZALES,0,$0.00,25,1,$27.00,41
90,GRAY,13,"$7,866.00",128,17,"$2,652.40",120
91,GRAYSON,92,"$41,436.47",146,2,$340.15,335
92,GREGG,41,"$35,693.55",276,36,"$3,959.35",334
93,GRIMES,4,"$7,698.84",41,0,$0.00,33
94,GUADALUPE,7,"$7,368.17",244,19,"$2,289.00",427
95,HALE,5,"$6,953.00",120,9,$882.36,168
96,HALL,1,$510.00,16,4,$563.40,32
97,HAMILTON,0,$0.00,18,0,$0.00,9
98,HANSFORD,0,$0.00,4,0,$0.00,9
99,HARDEMAN,0,$0.00,9,0,$0.00,12
100,HARDIN,10,"$8,621.39",50,2,$63.48,119
101,HARRIS,1835,"$1,887,098.37",7177,448,"$105,564.24",9255
102,HARRISON,20,"$7,661.92",124,16,$872.00,123
103,HARTLEY,0,$0.00,1,0,$0.00,0
104,HASKELL,0,$0.00,8,2,$54.00,18
105,HAYS,17,"$11,062.09",173,5,"$1,051.78",251
106,HEMPHILL,1,$84.00,6,0,$0.00,7
107,HENDERSON,39,"$33,334.91",228,29,"$2,880.72",321
108,HIDALGO,222,"$119,225.84",1237,225,"$32,907.74",4338
109,HILL,10,"$10,765.50",74,1,$338.88,93
110,HOCKLEY,11,"$13,421.90",99,3,$81.00,173
111,HOOD,59,"$7,995.04",109,3,$521.94,248
112,HOPKINS,16,"$8,611.98",63,6,$528.10,57
113,HOUSTON,5,"$1,981.40",54,3,$226.48,24
114,HOWARD,23,"$7,702.88",109,5,$460.36,215
115,HUDSPETH,0,$0.00,1,0,$0.00,6
116,HUNT,142,"$48,047.97",247,3,"$1,095.30",200
117,HUTCHINSON,1,$260.00,56,1,$84.00,93
118,IRION,0,$0.00,5,0,$0.00,4
119,JACK,1,"$3,750.00",15,0,$0.00,39
120,JACKSON,2,$800.00,3,0,$0.00,27
121,JASPER,10,"$4,066.54",44,13,"$1,382.98",158
122,JEFF DAVIS,0,$0.00,0,0,$0.00,5
123,JEFFERSON,222,"$184,453.50",398,29,"$4,815.25",607
124,JIM HOGG,2,$450.00,25,5,$501.42,75
125,JIM WELLS,20,"$9,578.59",128,11,"$3,071.41",291
126,JOHNSON,187,"$80,979.96",393,15,"$1,597.90",787
127,JONES,5,$991.22,11,4,$108.00,55
128,KARNES,0,$0.00,44,4,$710.91,76
129,KAUFMAN,106,"$32,276.22",126,8,"$3,986.64",274
130,KENDALL,3,"$3,226.20",46,3,$169.65,62
131,KENEDY,0,$0.00,0,0,$0.00,4
132,KENT,0,$0.00,4,0,$0.00,6
133,KERR,45,"$58,951.31",203,18,"$1,821.29",260
134,KIMBLE,1,$11.50,17,0,$0.00,16
135,KING,0,$0.00,0,0,$0.00,0
136,KINNEY,0,$0.00,5,0,$0.00,4
137,KLEBERG,24,"$18,376.26",87,5,"$1,497.57",236
138,KNOX,0,$0.00,11,0,$0.00,11
139,LAMAR,16,"$4,761.50",114,19,"$1,741.49",170
140,LAMB,2,$520.00,28,0,$0.00,67
141,LAMPASAS,4,"$5,763.75",70,0,$0.00,51
142,LASALLE,0,$0.00,28,0,$0.00,26
143,LAVACA,11,"$7,085.35",27,0,$0.00,40
144,LEE,4,$788.70,65,0,$0.00,67
145,LEON,1,"$3,000.00",29,0,$0.00,35
146,LIBERTY,59,"$28,008.96",271,12,"$5,136.11",235
147,LIMESTONE,9,"$17,650.00",60,0,$0.00,53
148,LIPSCOMB,1,"$1,875.00",8,1,$27.00,5
149,LIVE OAK,0,$0.00,29,3,$140.10,89
150,LLANO,5,$950.00,59,2,$226.20,45
151,LOVING,0,$0.00,0,0,$0.00,0
152,LUBBOCK,294,"$327,104.40",856,115,"$11,549.77",1747
153,LYNN,0,$0.00,8,0,$0.00,30
154,MADISON,2,$266.14,47,2,$904.80,21
155,MARION,2,$496.10,20,1,$60.52,35
156,MARTIN,0,$0.00,2,0,$0.00,22
157,MASON,1,"$3,000.00",3,0,$0.00,13
158,MATAGORDA,4,"$1,259.52",47,13,"$3,350.15",183
159,MAVERICK,4,"$5,250.00",30,1,$508.96,67
160,MCCULLOCH,3,"$3,800.00",18,0,$0.00,36
161,MCLENNAN,63,"$57,312.50",494,17,"$2,728.81",1070
162,MCMULLEN,0,$0.00,2,0,$0.00,9
163,MEDINA,27,"$24,274.32",206,9,$335.24,212
164,MENARD,1,$400.00,12,0,$0.00,11
165,MIDLAND,108,"$61,576.53",206,16,"$1,342.91",415
166,MILAM,6,"$4,426.28",96,2,$343.28,176
167,MILLS,5,$396.00,8,0,$0.00,16
168,MITCHELL,7,"$2,941.63",16,1,$35.00,77
169,MONTAGUE,7,"$3,659.66",100,0,$0.00,167
170,MONTGOMERY,240,"$169,068.68",838,59,"$9,744.49",1297
171,MOORE,1,$36.48,43,5,"$1,186.05",92
172,MORRIS,2,$737.87,16,5,$698.95,37
173,MOTLEY,0,$0.00,2,0,$0.00,2
174,NACOGDOCHES,35,"$15,403.71",199,15,"$2,367.71",96
175,NAVARRO,55,"$16,086.00",105,2,$601.40,141
176,NEWTON,3,"$3,797.11",24,2,$196.65,40
177,NOLAN,1,$79.07,79,5,$571.15,155
178,NUECES,173,"$221,768.73",653,99,"$10,509.59",2405
179,OCHILTREE,0,$0.00,15,0,$0.00,16
180,OLDHAM,0,$0.00,2,0,$0.00,0
181,ORANGE,34,"$9,145.30",209,2,$395.36,206
182,PALO PINTO,51,"$21,548.06",111,0,$0.00,169
183,PANOLA,5,"$4,176.46",29,9,$826.79,42
184,PARKER,47,"$16,960.26",92,8,"$1,526.85",284
185,PARMER,0,$0.00,4,1,$84.00,22
186,PECOS,5,"$1,872.12",34,1,$237.21,84
187,POLK,23,"$5,655.37",114,6,$570.00,129
188,POTTER,196,"$166,372.02",370,135,"$14,004.25",982
189,PRESIDIO,0,$0.00,14,0,$0.00,25
190,RAINS,6,"$12,339.06",15,3,$285.00,25
191,RANDALL,59,"$30,799.65",444,26,"$2,300.40",457
192,REAGAN,3,"$3,750.00",4,0,$0.00,5
193,REAL,0,$0.00,8,0,$0.00,9
194,RED RIVER,3,"$4,745.00",34,3,$97.00,33
195,REEVES,1,"$1,023.00",8,1,$158.14,51
196,REFUGIO,0,$0.00,5,0,$0.00,57
197,ROBERTS,0,$0.00,0,1,$84.00,0
198,ROBERTSON,2,"$3,508.95",40,2,$580.49,73
199,ROCKWALL,30,"$7,578.60",47,2,$395.85,113
200,RUNNELS,2,"$4,524.43",35,0,$0.00,30
201,RUSK,11,"$9,121.46",94,12,"$1,106.44",132
202,SABINE,1,$481.84,9,0,$0.00,25
203,SAN AUGUSTINE,3,"$1,612.73",7,1,$27.00,24
204,SAN JACINTO,9,"$3,787.96",74,3,$508.95,95
205,SAN PATRICIO,20,"$23,935.48",112,25,"$4,431.34",584
206,SAN SABA,5,"$5,362.74",10,3,$710.56,21
207,SCHLEICHER,0,$0.00,5,0,$0.00,13
208,SCURRY,6,"$2,206.08",29,3,$430.36,80
209,SHACKELFORD,0,$0.00,0,0,$0.00,2
210,SHELBY,16,"$14,212.82",73,5,"$1,799.04",57
211,SHERMAN,0,$0.00,1,0,$0.00,5
212,SMITH,329,"$216,360.60",455,24,"$3,950.88",445
213,SOMERVELL,6,"$3,413.72",12,0,$0.00,26
214,STARR,9,"$5,304.68",123,18,"$6,150.33",395
215,STEPHENS,0,$0.00,8,1,$27.00,52
216,STERLING,0,$0.00,0,0,$0.00,1
217,STONEWALL,2,"$3,750.00",0,0,$0.00,7
218,SUTTON,1,$400.00,6,0,$0.00,17
219,SWISHER,0,$0.00,24,2,$168.00,30
220,TARRANT,540,"$474,721.72",2053,180,"$40,585.69",5408
221,TAYLOR,161,"$138,917.59",323,40,"$7,004.39",904
222,TERRELL,0,$0.00,0,0,$0.00,0
223,TERRY,1,$84.00,71,0,$0.00,110
224,THROCKMORTON,0,$0.00,1,0,$0.00,3
225,TITUS,12,"$5,007.43",59,17,"$2,091.91",101
226,TOM GREEN,85,"$104,822.32",538,20,"$2,449.92",568
227,TRAVIS,574,"$1,022,684.35",1495,116,"$40,879.20",2410
228,TRINITY,18,"$4,703.29",58,11,$901.42,91
229,TYLER,7,"$4,713.54",17,6,$434.00,35
230,UPSHUR,15,"$9,836.44",50,10,$945.20,100
231,UPTON,0,$0.00,7,0,$0.00,19
232,UVALDE,3,"$6,158.14",106,1,$56.55,171
233,VAL VERDE,2,"$3,750.00",46,2,$265.50,91
234,VAN ZANDT,22,"$21,159.22",152,5,$910.00,111
235,VICTORIA,30,"$11,322.35",231,10,"$1,098.90",276
236,WALKER,8,"$6,083.24",94,4,$204.78,135
237,WALLER,5,"$4,391.18",77,2,$143.66,121
238,WARD,8,"$2,611.11",6,0,$0.00,46
239,WASHINGTON,2,$863.00,48,0,$0.00,44
240,WEBB,101,"$100,595.09",705,61,"$8,645.70",2478
241,WHARTON,10,"$11,732.11",66,9,"$1,827.83",102
242,WHEELER,1,"$3,000.00",12,0,$0.00,22
243,WICHITA,80,"$63,533.70",279,17,$616.55,621
244,WILBARGER,3,"$3,919.65",29,2,$70.00,56
245,WILLACY,8,"$9,800.00",51,1,$162.25,268
246,WILLIAMSON,54,"$90,059.42",483,74,"$23,978.49",847
247,WILSON,0,$0.00,90,6,"$1,093.94",100
248,WINKLER,2,$750.00,6,0,$0.00,24
249,WISE,52,"$28,060.46",111,0,$0.00,169
250,WOOD,17,"$11,572.17",130,10,$830.00,77
251,YOAKUM,0,$0.00,9,0,$0.00,16
252,YOUNG,7,"$3,849.38",51,1,$27.00,64
253,ZAPATA,3,"$4,288.50",57,0,$0.00,142
254,ZAVALA,2,"$3,183.79",52,19,"$3,075.16",72
255,UNKNOWN,0,$0.00,0,0,$0.00,13
256,STATE TOTAL,11812,"$10,273,523.29",45684,3480,"$628,534.54",84405
