,County,Total Children Served in Fiscal Year 2006,Subsequently Confirmed Victims in Fiscal Years 2006 - 2011
84,GALVESTON,1038,148
85,GARZA,20,3
86,GILLESPIE,31,3
87,GLASSCOCK,1,0
88,GOLIAD,8,0
89,GONZALES,53,11
90,GRAY,40,7
91,GRAYSON,174,24
92,GREGG,370,70
93,GRIMES,69,14
94,GUADALUPE,345,74
95,HALE,112,28
96,HALL,6,5
97,HAMILTON,18,2
98,HANSFORD,2,0
99,HARDEMAN,11,4
100,HARDIN,117,27
101,HARRIS,6566,726
102,HARRISON,136,37
103,HARTLEY,17,3
104,HASKELL,15,3
105,HAYS,202,35
106,HEMPHILL,0,0
107,HENDERSON,525,131
108,HIDALGO,1859,395
109,HILL,72,18
110,HOCKLEY,91,16
111,HOOD,97,38
112,HOPKINS,98,29
113,HOUSTON,25,3
114,HOWARD,138,30
115,HUDSPETH,5,0
116,HUNT,190,37
117,HUTCHINSON,59,10
118,IRION,2,1
119,JACK,22,1
120,JACKSON,30,7
121,JASPER,77,18
122,JEFF DAVIS,0,0
123,JEFFERSON,286,44
124,JIM HOGG,43,7
125,JIM WELLS,298,89
126,JOHNSON,526,133
127,JONES,55,21
128,KARNES,49,10
129,KAUFMAN,130,28
130,KENDALL,28,0
131,KENEDY,0,0
132,KENT,0,0
133,KERR,98,28
134,KIMBLE,15,5
135,KING,0,0
136,KINNEY,0,0
137,KLEBERG,189,57
138,KNOX,3,0
139,LAMAR,179,28
140,LAMB,33,14
141,LAMPASAS,66,10
142,LASALLE,34,7
143,LAVACA,57,11
144,LEE,11,6
145,LEON,46,14
146,LIBERTY,101,22
147,LIMESTONE,68,7
148,LIPSCOMB,6,0
149,LIVE OAK,63,10
150,LLANO,60,11
151,LOVING,0,0
152,LUBBOCK,626,161
153,LYNN,13,2
154,MADISON,58,5
155,MARION,15,3
156,MARTIN,4,0
157,MASON,8,2
158,MATAGORDA,58,14
159,MAVERICK,28,9
160,MCCULLOCH,29,10
161,MCLENNAN,496,109
162,MCMULLEN,0,0
163,MEDINA,135,26
164,MENARD,4,0
165,MIDLAND,297,49
166,MILAM,86,10
167,MILLS,12,1
168,MITCHELL,15,4
169,MONTAGUE,55,18
170,MONTGOMERY,553,108
171,MOORE,68,12
172,MORRIS,43,15
173,MOTLEY,4,0
174,NACOGDOCHES,148,29
175,NAVARRO,52,8
176,NEWTON,8,0
177,NOLAN,78,21
178,NUECES,2099,437
179,OCHILTREE,1,0
180,OLDHAM,5,0
181,ORANGE,85,16
182,PALO PINTO,81,18
183,PANOLA,50,15
184,PARKER,252,58
185,PARMER,23,4
186,PECOS,32,6
187,POLK,96,26
188,POTTER,336,127
189,PRESIDIO,28,0
190,RAINS,34,9
191,RANDALL,194,38
192,REAGAN,5,0
193,REAL,6,1
194,RED RIVER,32,5
195,REEVES,31,12
196,REFUGIO,40,5
197,ROBERTS,3,0
198,ROBERTSON,39,4
199,ROCKWALL,41,4
200,RUNNELS,18,8
201,RUSK,108,28
202,SABINE,34,6
203,SAN AUGUSTINE,4,0
204,SAN JACINTO,36,5
205,SAN PATRICIO,571,124
206,SAN SABA,10,3
207,SCHLEICHER,9,0
208,SCURRY,62,10
209,SHACKELFORD,14,6
210,SHELBY,26,4
211,SHERMAN,7,3
212,SMITH,292,66
213,SOMERVELL,21,7
214,STARR,276,60
215,STEPHENS,43,8
216,STERLING,0,0
217,STONEWALL,3,0
218,SUTTON,16,6
219,SWISHER,27,6
220,TARRANT,3983,931
221,TAYLOR,450,122
222,TERRELL,0,0
223,TERRY,26,8
224,THROCKMORTON,0,0
225,TITUS,89,12
226,TOM GREEN,423,90
227,TRAVIS,1302,252
228,TRINITY,29,7
229,TYLER,47,12
230,UPSHUR,101,20
231,UPTON,6,0
232,UVALDE,94,24
233,VAL VERDE,44,8
234,VAN ZANDT,132,21
235,VICTORIA,304,60
236,WALKER,75,12
237,WALLER,64,7
238,WARD,36,9
239,WASHINGTON,82,16
240,WEBB,939,165
241,WHARTON,37,8
242,WHEELER,16,2
243,WICHITA,420,120
244,WILBARGER,51,11
245,WILLACY,158,44
246,WILLIAMSON,494,114
247,WILSON,53,11
248,WINKLER,22,0
249,WISE,161,33
250,WOOD,106,27
251,YOAKUM,6,1
252,YOUNG,77,22
253,ZAPATA,110,25
254,ZAVALA,41,19
255,UNKNOWN,18,1
256,STATE TOTAL,53566,10347
