,County,Total,African American,Anglo,Hispanic,Native American,Other***
222,TERRELL,0,0,0,0,0,0
223,TERRY,11,0,0,11,0,0
224,THROCKMORTON,0,0,0,0,0,0
225,TITUS,13,6,3,2,0,2
226,TOM GREEN,69,7,25,35,0,2
227,TRAVIS,152,48,26,66,0,12
228,TRINITY,2,0,2,0,0,0
229,TYLER,1,0,0,0,0,1
230,UPSHUR,6,1,2,0,1,2
231,UPTON,0,0,0,0,0,0
232,UVALDE,21,0,1,19,0,1
233,VAL VERDE,12,0,1,11,0,0
234,VAN ZANDT,24,0,17,1,0,6
235,VICTORIA,38,1,14,22,0,1
236,WALKER,6,1,2,0,0,3
237,WALLER,2,1,0,0,0,1
238,WARD,2,0,2,0,0,0
239,WASHINGTON,9,5,1,1,0,2
240,WEBB,92,0,2,90,0,0
241,WHARTON,11,3,5,3,0,0
242,WHEELER,2,0,2,0,0,0
243,WICHITA,28,5,16,3,0,4
244,WILBARGER,0,0,0,0,0,0
245,WILLACY,8,0,0,8,0,0
246,WILLIAMSON,69,16,15,29,0,9
247,WILSON,14,0,5,7,0,2
248,WINKLER,2,0,0,2,0,0
249,WISE,20,0,16,2,0,2
250,WOOD,19,1,13,4,0,1
251,YOAKUM,1,0,0,0,0,1
252,YOUNG,10,0,7,3,0,0
253,ZAPATA,11,0,1,10,0,0
254,ZAVALA,10,0,0,10,0,0
255,OUT OF STATE,0,0,0,0,0,0
256,STATE TOTAL,6471,1797,1628,2687,7,352
