,County,Foster Homes*,Foster/ Adoptive Homes**,Adoptive Homes***
153,LYNN,0,1,0
154,MADISON,0,1,1
155,MARION,0,1,0
156,MARTIN,0,0,0
157,MASON,0,1,0
158,MATAGORDA,2,3,0
159,MAVERICK,0,1,3
160,MCCULLOCH,0,0,0
161,MCLENNAN,3,24,11
162,MCMULLEN,0,0,0
163,MEDINA,0,3,4
164,MENARD,0,0,0
165,MIDLAND,1,12,5
166,MILAM,1,1,1
167,MILLS,0,0,0
168,MITCHELL,0,0,0
169,MONTAGUE,0,9,1
170,MONTGOMERY,1,20,12
171,MOORE,0,0,0
172,MORRIS,1,1,0
173,MOTLEY,0,0,1
174,NACOGDOCHES,1,13,0
175,NAVARRO,0,1,0
176,NEWTON,0,2,0
177,NOLAN,0,1,0
178,NUECES,0,11,8
179,OCHILTREE,0,1,0
180,OLDHAM,0,0,0
181,ORANGE,1,26,4
182,PALO PINTO,0,0,0
183,PANOLA,0,2,0
184,PARKER,0,4,1
185,PARMER,0,0,0
186,PECOS,0,1,0
187,POLK,0,5,0
188,POTTER,0,15,3
189,PRESIDIO,0,0,0
190,RAINS,0,2,0
191,RANDALL,1,26,2
192,REAGAN,0,0,0
193,REAL,0,0,0
194,RED RIVER,0,1,1
195,REEVES,0,0,0
196,REFUGIO,0,0,0
197,ROBERTS,0,0,0
198,ROBERTSON,0,0,3
199,ROCKWALL,0,10,3
200,RUNNELS,0,2,1
201,RUSK,0,6,3
202,SABINE,0,0,0
203,SAN AUGUSTINE,0,3,0
204,SAN JACINTO,1,1,1
205,SAN PATRICIO,0,0,1
206,SAN SABA,0,0,0
207,SCHLEICHER,0,1,0
208,SCURRY,1,2,0
209,SHACKELFORD,0,0,0
210,SHELBY,1,2,1
211,SHERMAN,0,1,0
212,SMITH,4,10,4
213,SOMERVELL,0,0,0
214,STARR,0,1,0
215,STEPHENS,0,1,0
216,STERLING,0,0,0
217,STONEWALL,0,0,0
218,SUTTON,1,5,0
219,SWISHER,0,1,0
220,TARRANT,10,55,31
221,TAYLOR,0,9,2
222,TERRELL,0,0,0
223,TERRY,0,1,2
224,THROCKMORTON,0,0,0
225,TITUS,0,1,0
226,TOM GREEN,0,18,4
227,TRAVIS,1,23,18
228,TRINITY,1,0,1
229,TYLER,1,4,0
230,UPSHUR,0,0,3
231,UPTON,0,0,0
232,UVALDE,0,1,0
233,VAL VERDE,0,0,2
234,VAN ZANDT,0,7,5
235,VICTORIA,2,9,0
236,WALKER,0,5,1
237,WALLER,1,0,1
238,WARD,0,0,0
239,WASHINGTON,2,5,1
240,WEBB,2,7,2
241,WHARTON,1,5,3
242,WHEELER,0,1,1
243,WICHITA,0,11,2
244,WILBARGER,0,0,1
245,WILLACY,0,0,0
246,WILLIAMSON,2,19,12
247,WILSON,0,2,2
248,WINKLER,0,0,0
249,WISE,0,2,3
250,WOOD,0,4,0
251,YOAKUM,0,1,0
252,YOUNG,0,5,0
253,ZAPATA,1,0,0
254,ZAVALA,0,0,1
255,UNKNOWN,0,0,0
256,OUT OF STATE,23,35,6
257,STATE TOTAL,181,1356,668
