,County,Initial Intakes Alleging Abuse/Neglect,Child Abuse/ Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location
160,MCCULLOCH,98,93,1
161,MCLENNAN,2890,2494,26
162,MCMULLEN,8,6,0
163,MEDINA,454,383,4
164,MENARD,18,17,0
165,MIDLAND,1219,1038,10
166,MILAM,339,287,1
167,MILLS,40,37,0
168,MITCHELL,109,96,0
169,MONTAGUE,266,207,4
170,MONTGOMERY,4035,3327,29
171,MOORE,246,212,1
172,MORRIS,167,140,0
173,MOTLEY,7,6,0
174,NACOGDOCHES,583,425,6
175,NAVARRO,493,446,6
176,NEWTON,137,121,0
177,NOLAN,301,259,5
178,NUECES,4150,3717,39
179,OCHILTREE,86,80,0
180,OLDHAM,12,10,0
181,ORANGE,1216,1073,13
182,PALO PINTO,439,402,3
183,PANOLA,199,178,2
184,PARKER,1317,1179,11
185,PARMER,43,40,0
186,PECOS,114,75,3
187,POLK,517,421,6
188,POTTER,2120,1831,28
189,PRESIDIO,41,31,0
190,RAINS,80,68,0
191,RANDALL,1134,980,4
192,REAGAN,32,27,0
193,REAL,36,30,0
194,RED RIVER,132,106,1
195,REEVES,87,71,0
196,REFUGIO,81,64,0
197,ROBERTS,5,5,0
198,ROBERTSON,172,153,1
199,ROCKWALL,452,387,1
200,RUNNELS,115,92,1
201,RUSK,508,447,3
202,SABINE,76,67,2
203,SAN AUGUSTINE,69,61,0
204,SAN JACINTO,324,274,2
205,SAN PATRICIO,895,803,10
206,SAN SABA,58,52,0
207,SCHLEICHER,18,17,0
208,SCURRY,216,176,1
209,SHACKELFORD,18,17,0
210,SHELBY,275,198,2
211,SHERMAN,15,13,0
212,SMITH,1774,1408,14
213,SOMERVELL,66,59,0
214,STARR,400,368,7
215,STEPHENS,136,111,1
216,STERLING,7,7,0
217,STONEWALL,12,12,0
218,SUTTON,29,25,0
219,SWISHER,72,60,1
220,TARRANT,18932,16876,156
221,TAYLOR,1959,1685,19
222,TERRELL,11,10,0
223,TERRY,173,156,2
224,THROCKMORTON,12,11,0
225,TITUS,334,256,1
226,TOM GREEN,1340,1188,15
227,TRAVIS,11351,9491,92
228,TRINITY,214,175,3
229,TYLER,259,212,2
230,UPSHUR,466,387,5
231,UPTON,32,23,0
232,UVALDE,352,298,3
233,VAL VERDE,290,245,4
234,VAN ZANDT,567,490,5
235,VICTORIA,1118,919,9
236,WALKER,423,324,1
237,WALLER,344,311,2
238,WARD,124,88,1
239,WASHINGTON,236,212,4
240,WEBB,2625,1993,20
241,WHARTON,288,256,3
242,WHEELER,53,52,0
243,WICHITA,1771,1491,13
244,WILBARGER,168,138,3
245,WILLACY,283,241,1
246,WILLIAMSON,3383,2716,25
247,WILSON,321,257,2
248,WINKLER,89,72,0
249,WISE,622,546,7
250,WOOD,444,367,3
251,YOAKUM,48,43,0
252,YOUNG,234,202,3
253,ZAPATA,144,128,0
254,ZAVALA,174,151,0
255,UNKNOWN,14,2,0
256,OUT OF STATE,139,55,0
257,SWI,0,0,308
258,STATE TOTAL,241681,206206,2287
