,County,Region,Intakes,Completed Investigations,Confirmed Investigations
173,MOTLEY,001,0,0,0
174,NACOGDOCHES,005,2,2,0
175,NAVARRO,003,48,39,9
176,NEWTON,005,1,0,0
177,NOLAN,002,3,3,1
178,NUECES,011,598,533,55
179,OCHILTREE,001,0,0,0
180,OLDHAM,001,0,0,0
181,ORANGE,005,22,20,3
182,PALO PINTO,003,0,0,0
183,PANOLA,004,0,0,0
184,PARKER,003,1,1,0
185,PARMER,001,0,0,0
186,PECOS,009,0,0,0
187,POLK,005,1,1,0
188,POTTER,001,28,24,5
189,PRESIDIO,010,0,0,0
190,RAINS,004,0,0,0
191,RANDALL,001,101,97,32
192,REAGAN,009,0,0,0
193,REAL,008,0,0,0
194,RED RIVER,004,0,0,0
195,REEVES,009,1,1,1
196,REFUGIO,011,0,0,0
197,ROBERTS,001,0,0,0
198,ROBERTSON,007,0,0,0
199,ROCKWALL,003,8,4,0
200,RUNNELS,002,0,0,0
201,RUSK,004,1,2,0
202,SABINE,005,1,1,1
203,SAN AUGUSTINE,005,9,8,4
204,SAN JACINTO,005,0,0,0
205,SAN PATRICIO,011,12,10,1
206,SAN SABA,007,0,0,0
207,SCHLEICHER,009,0,0,0
208,SCURRY,002,0,0,0
209,SHACKELFORD,002,0,0,0
210,SHELBY,005,2,2,1
211,SHERMAN,001,0,0,0
212,SMITH,004,34,35,5
213,SOMERVELL,003,0,0,0
214,STARR,011,9,5,0
215,STEPHENS,002,3,0,0
216,STERLING,009,0,0,0
217,STONEWALL,002,0,0,0
218,SUTTON,009,0,0,0
219,SWISHER,001,0,0,0
220,TARRANT,003,502,447,53
221,TAYLOR,002,364,339,55
222,TERRELL,009,0,0,0
223,TERRY,001,0,0,0
224,THROCKMORTON,002,0,0,0
225,TITUS,004,0,1,1
226,TOM GREEN,009,1033,973,86
227,TRAVIS,007,1095,1014,162
228,TRINITY,005,0,0,0
229,TYLER,005,0,0,0
230,UPSHUR,004,0,0,0
231,UPTON,009,1,1,0
232,UVALDE,008,3,3,0
233,VAL VERDE,008,8,6,0
234,VAN ZANDT,004,1,1,0
235,VICTORIA,008,16,18,1
236,WALKER,006,1,1,0
237,WALLER,006,5,3,0
238,WARD,009,1,1,0
239,WASHINGTON,007,184,164,16
240,WEBB,011,35,36,2
241,WHARTON,006,8,5,1
242,WHEELER,001,0,0,0
243,WICHITA,002,370,370,26
244,WILBARGER,002,481,470,22
245,WILLACY,011,0,0,0
246,WILLIAMSON,007,106,113,14
247,WILSON,008,0,0,0
248,WINKLER,009,0,0,0
249,WISE,003,0,0,0
250,WOOD,004,0,0,0
251,YOAKUM,001,0,0,0
252,YOUNG,002,1,1,0
253,ZAPATA,011,0,0,0
254,ZAVALA,008,2,1,0
255,OUT OF STATE,,2,0,0
256,STATE TOTAL,,12308,11387,1259
