,County,Region,Total,African American,Anglo,Hispanic,Native American,Other**
63,DICKENS,001,16,0,4,11,0,1
64,DIMMIT,008,43,0,1,40,2,0
65,DONLEY,001,22,0,18,4,0,0
66,DUVAL,011,29,1,1,26,0,1
67,EASTLAND,002,77,1,58,12,0,6
68,ECTOR,009,497,21,171,274,4,27
69,EDWARDS,008,3,0,1,1,0,1
70,ELLIS,003,368,58,196,92,0,22
71,EL PASO,010,2269,139,310,1702,11,107
72,ERATH,003,81,2,53,19,0,7
73,FALLS,007,77,17,28,9,2,21
74,FANNIN,003,126,14,86,10,0,16
75,FAYETTE,007,38,2,28,5,0,3
76,FISHER,002,16,4,6,3,0,3
77,FLOYD,001,20,0,1,15,0,4
78,FOARD,002,1,0,1,0,0,0
79,FORT BEND,006,531,170,133,192,1,35
80,FRANKLIN,004,19,0,10,7,0,2
81,FREESTONE,007,39,11,16,11,0,1
82,FRIO,008,97,0,8,89,0,0
83,GAINES,009,34,0,9,25,0,0
84,GALVESTON,006,476,97,219,133,1,26
85,GARZA,001,29,0,6,21,0,2
86,GILLESPIE,008,31,0,11,20,0,0
87,GLASSCOCK,009,0,0,0,0,0,0
88,GOLIAD,008,22,1,7,13,0,1
89,GONZALES,008,75,0,16,55,0,4
90,GRAY,001,110,4,65,35,0,6
91,GRAYSON,003,584,52,389,67,1,75
92,GREGG,004,525,117,286,61,0,61
93,GRIMES,007,81,10,53,18,0,0
94,GUADALUPE,008,305,7,109,179,0,10
95,HALE,001,185,5,33,140,1,6
96,HALL,001,7,0,2,4,0,1
97,HAMILTON,007,14,0,11,2,0,1
98,HANSFORD,001,11,0,0,11,0,0
99,HARDEMAN,002,25,3,11,3,0,8
100,HARDIN,005,155,12,125,10,0,8
101,HARRIS,006,6070,2307,1147,2274,3,339
102,HARRISON,004,220,46,147,20,0,7
103,HARTLEY,001,3,0,3,0,0,0
104,HASKELL,002,24,2,12,9,1,0
105,HAYS,007,378,9,145,215,0,9
106,HEMPHILL,001,8,0,4,2,0,2
107,HENDERSON,004,342,26,256,35,0,25
108,HIDALGO,011,2144,1,64,2056,1,22
109,HILL,007,133,11,91,20,1,10
110,HOCKLEY,001,113,0,29,78,0,6
111,HOOD,003,251,3,176,66,1,5
112,HOPKINS,004,93,7,59,9,0,18
113,HOUSTON,005,78,25,37,9,0,7
114,HOWARD,009,174,8,76,81,0,9
115,HUDSPETH,010,14,0,4,10,0,0
116,HUNT,003,349,43,236,45,1,24
117,HUTCHINSON,001,99,4,67,25,0,3
118,IRION,009,2,0,2,0,0,0
119,JACK,002,41,0,35,1,0,5
120,JACKSON,008,62,8,28,25,0,1
121,JASPER,005,79,13,58,3,0,5
122,JEFF DAVIS,010,1,0,1,0,0,0
123,JEFFERSON,005,639,362,168,78,1,30
124,JIM HOGG,011,34,0,0,33,0,1
125,JIM WELLS,011,77,0,9,65,0,3
126,JOHNSON,003,597,22,418,110,0,47
127,JONES,002,71,2,46,21,0,2
128,KARNES,008,43,0,10,31,0,2
129,KAUFMAN,003,305,35,193,46,2,29
130,KENDALL,008,70,2,44,20,0,4
131,KENEDY,011,0,0,0,0,0,0
132,KENT,002,6,0,6,0,0,0
133,KERR,008,192,9,115,62,0,6
134,KIMBLE,009,7,0,6,1,0,0
135,KING,001,2,0,2,0,0,0
136,KINNEY,008,0,0,0,0,0,0
137,KLEBERG,011,120,1,15,100,0,4
138,KNOX,002,14,0,2,12,0,0
139,LAMAR,004,195,24,128,17,3,23
140,LAMB,001,60,2,6,47,0,5
141,LAMPASAS,007,92,6,44,36,0,6
142,LA SALLE,008,32,0,0,32,0,0
143,LAVACA,008,28,5,5,16,0,2
144,LEE,007,46,11,15,13,0,7
145,LEON,007,48,4,29,7,0,8
146,LIBERTY,006,315,36,223,33,1,22
147,LIMESTONE,007,81,15,42,15,0,9
148,LIPSCOMB,001,0,0,0,0,0,0
149,LIVE OAK,011,48,0,21,27,0,0
150,LLANO,007,82,1,76,3,0,2
151,LOVING,009,0,0,0,0,0,0
152,LUBBOCK,001,1303,126,322,762,2,91
153,LYNN,001,37,2,13,22,0,0
154,MADISON,007,22,4,15,1,0,2
155,MARION,004,34,7,24,1,0,2
156,MARTIN,009,8,0,2,5,0,1
157,MASON,009,5,0,4,1,0,0
158,MATAGORDA,006,107,20,38,45,0,4
159,MAVERICK,008,26,0,4,22,0,0
160,MCCULLOCH,009,33,2,21,10,0,0
161,MCLENNAN,007,884,205,330,297,0,52
162,MCMULLEN,011,9,0,1,8,0,0
163,MEDINA,008,124,0,29,93,0,2
164,MENARD,009,7,0,4,3,0,0
165,MIDLAND,009,290,38,108,121,0,23
166,MILAM,007,95,26,39,24,0,6
167,MILLS,007,9,0,9,0,0,0
168,MITCHELL,002,36,2,13,20,0,1
169,MONTAGUE,002,98,1,84,8,1,4
170,MONTGOMERY,006,567,43,371,106,0,47
171,MOORE,001,54,4,18,24,0,8
172,MORRIS,004,28,6,16,3,0,3
173,MOTLEY,001,1,0,1,0,0,0
174,NACOGDOCHES,005,112,35,58,12,0,7
175,NAVARRO,003,113,9,66,24,0,14
176,NEWTON,005,21,1,16,4,0,0
177,NOLAN,002,86,6,41,37,0,2
178,NUECES,011,1308,54,237,958,0,59
179,OCHILTREE,001,26,0,11,14,0,1
180,OLDHAM,001,0,0,0,0,0,0
181,ORANGE,005,291,33,227,10,0,21
182,PALO PINTO,003,224,7,165,43,1,8
183,PANOLA,004,115,11,64,19,0,21
184,PARKER,003,402,4,324,52,0,22
185,PARMER,001,23,0,2,19,0,2
186,PECOS,009,47,0,12,35,0,0
187,POLK,005,170,5,122,26,0,17
188,POTTER,001,794,83,242,383,0,86
189,PRESIDIO,010,5,0,1,4,0,0
190,RAINS,004,22,0,17,3,0,2
191,RANDALL,001,360,19,212,113,0,16
192,REAGAN,009,2,1,0,1,0,0
193,REAL,008,3,0,2,1,0,0
194,RED RIVER,004,45,7,29,4,1,4
195,REEVES,009,29,0,3,26,0,0
196,REFUGIO,011,27,0,14,11,0,2
197,ROBERTS,001,0,0,0,0,0,0
198,ROBERTSON,007,24,8,13,3,0,0
199,ROCKWALL,003,95,1,60,26,0,8
200,RUNNELS,002,29,2,13,13,0,1
201,RUSK,004,190,31,117,24,0,18
202,SABINE,005,25,0,24,1,0,0
203,SAN AUGUSTINE,005,14,3,7,1,0,3
204,SAN JACINTO,005,81,5,62,6,0,8
205,SAN PATRICIO,011,357,6,92,241,0,18
206,SAN SABA,007,47,0,32,15,0,0
207,SCHLEICHER,009,23,0,0,23,0,0
208,SCURRY,002,75,0,27,43,0,5
209,SHACKELFORD,002,15,0,12,3,0,0
210,SHELBY,005,82,23,52,4,0,3
211,SHERMAN,001,2,0,1,1,0,0
212,SMITH,004,533,107,321,70,0,35
213,SOMERVELL,003,20,0,12,6,1,1
214,STARR,011,167,2,1,162,0,2
215,STEPHENS,002,33,0,13,20,0,0
216,STERLING,009,4,0,2,1,0,1
217,STONEWALL,002,6,0,4,2,0,0
218,SUTTON,009,4,0,0,4,0,0
219,SWISHER,001,34,1,12,21,0,0
220,TARRANT,003,6097,1643,2090,1825,11,528
221,TAYLOR,002,907,69,402,356,0,80
222,TERRELL,009,1,0,1,0,0,0
223,TERRY,001,100,5,19,71,0,5
224,THROCKMORTON,002,3,0,2,1,0,0
225,TITUS,004,55,2,31,15,0,7
226,TOM GREEN,009,583,20,243,297,0,23
227,TRAVIS,007,2157,352,427,1281,0,97
228,TRINITY,005,49,6,40,2,0,1
229,TYLER,005,83,3,70,1,0,9
230,UPSHUR,004,108,7,92,4,0,5
231,UPTON,009,8,0,0,8,0,0
232,UVALDE,008,79,0,11,68,0,0
233,VAL VERDE,008,48,0,3,45,0,0
234,VAN ZANDT,004,193,2,172,13,0,6
235,VICTORIA,008,286,18,63,187,0,18
236,WALKER,006,97,31,42,16,0,8
237,WALLER,006,81,25,32,23,0,1
238,WARD,009,61,10,23,25,0,3
239,WASHINGTON,007,79,11,35,29,0,4
240,WEBB,011,642,1,14,618,0,9
241,WHARTON,006,61,11,8,40,0,2
242,WHEELER,001,12,0,9,2,0,1
243,WICHITA,002,704,105,360,194,5,40
244,WILBARGER,002,38,8,9,17,0,4
245,WILLACY,011,170,0,6,164,0,0
246,WILLIAMSON,007,731,81,331,261,0,58
247,WILSON,008,73,0,19,51,0,3
248,WINKLER,009,34,0,26,4,0,4
249,WISE,003,176,4,140,20,1,11
250,WOOD,004,153,8,122,13,0,10
251,YOAKUM,001,28,3,12,11,0,2
252,YOUNG,002,61,1,44,10,0,6
253,ZAPATA,011,59,0,6,53,0,0
254,ZAVALA,008,49,0,2,47,0,0
255,OUT OF STATE,,10,2,5,2,0,1
256,STATE TOTAL,,66572,11180,21978,29266,87,4061
