,County,Region,Children Receiving Sub-Care Purchased Services,Expenditures For Sub-Care Purchased Services,Children in Substitute Care,Children Receiving In-Home Purchased Services,Expenditures For In-Home Purchased Services,Children Receiving  In-Home Services
59,DEAF SMITH,001,39,"$18,059.95",54,20,"$3,608.07",81
60,DELTA,004,9,"$11,376.40",21,10,"$2,020.18",15
61,DENTON,003,809,"$654,628.98",582,94,"$22,646.54",1006
62,DE WITT,008,8,"$2,285.00",66,1,$402.90,89
63,DICKENS,001,1,$287.50,12,0,$0.00,18
64,DIMMIT,008,11,"$2,760.09",80,3,$327.00,47
65,DONLEY,001,6,"$2,969.87",10,5,"$1,670.08",38
66,DUVAL,011,9,"$6,359.10",27,10,"$3,401.47",85
67,EASTLAND,002,11,"$7,083.32",24,5,$269.50,89
68,ECTOR,009,309,"$314,534.43",447,105,"$12,436.72",693
69,EDWARDS,008,1,$525.00,8,0,$0.00,5
70,ELLIS,003,178,"$93,002.55",123,60,"$23,802.66",424
71,EL PASO,010,620,"$803,482.80",822,130,"$24,188.53",3277
72,ERATH,003,72,"$41,499.38",48,10,"$4,294.37",136
73,FALLS,007,12,"$11,590.58",30,1,$28.70,48
74,FANNIN,003,36,"$10,794.25",41,0,$0.00,109
75,FAYETTE,007,21,"$35,427.02",61,1,$28.70,34
76,FISHER,002,1,"$1,280.61",7,0,$0.00,20
77,FLOYD,001,5,"$4,719.11",36,0,$0.00,57
78,FOARD,002,1,$400.00,2,0,$0.00,0
79,FORT BEND,006,189,"$162,848.46",220,159,"$43,565.27",1338
80,FRANKLIN,004,10,"$1,516.71",28,12,"$1,094.65",18
81,FREESTONE,007,10,"$24,800.00",41,1,$67.15,30
82,FRIO,008,29,"$18,500.00",85,9,$312.00,113
83,GAINES,009,8,"$13,832.23",33,4,$362.64,45
84,GALVESTON,006,168,"$120,133.22",341,134,"$29,220.69",1059
85,GARZA,001,5,"$4,279.43",29,0,$0.00,44
86,GILLESPIE,008,18,"$22,100.35",33,14,"$1,881.98",48
87,GLASSCOCK,009,0,$0.00,0,0,$0.00,0
88,GOLIAD,008,3,"$4,675.00",10,0,$0.00,42
89,GONZALES,008,15,"$10,652.00",50,2,$136.95,81
90,GRAY,001,36,"$36,031.45",62,60,"$10,876.63",152
91,GRAYSON,003,235,"$129,840.35",253,11,"$1,153.65",572
92,GREGG,004,182,"$203,368.45",333,122,"$15,191.95",514
93,GRIMES,007,13,"$14,600.34",42,0,$0.00,69
94,GUADALUPE,008,50,"$31,458.54",190,31,"$5,297.60",378
95,HALE,001,36,"$15,102.97",116,22,"$2,260.64",232
96,HALL,001,1,$770.00,9,4,$563.40,13
97,HAMILTON,007,6,"$4,200.00",9,0,$0.00,15
98,HANSFORD,001,3,"$1,979.64",13,3,$422.91,9
99,HARDEMAN,002,0,$0.00,13,0,$0.00,21
100,HARDIN,005,34,"$21,522.16",53,23,"$5,529.22",88
101,HARRIS,006,5877,"$7,894,242.50",6322,1444,"$423,850.86",12206
102,HARRISON,004,80,"$55,347.92",139,40,"$2,775.65",204
103,HARTLEY,001,0,$0.00,4,1,$84.00,3
104,HASKELL,002,4,$900.00,14,3,$81.00,15
105,HAYS,007,71,"$55,450.09",214,10,"$1,793.18",288
106,HEMPHILL,001,5,"$1,770.51",11,1,$84.00,9
107,HENDERSON,004,110,"$95,564.34",287,104,"$11,012.50",392
108,HIDALGO,011,610,"$479,420.40",1000,687,"$125,245.43",5624
109,HILL,007,20,"$35,089.35",108,4,"$1,419.36",98
110,HOCKLEY,001,36,"$25,165.22",84,5,$283.85,212
111,HOOD,003,178,"$85,608.48",127,14,"$2,714.53",292
112,HOPKINS,004,42,"$27,806.59",80,29,"$2,724.55",81
113,HOUSTON,005,19,"$16,892.80",62,11,"$2,003.58",66
114,HOWARD,009,79,"$64,012.84",168,46,"$8,327.59",185
115,HUDSPETH,010,1,$315.00,1,1,$95.00,11
116,HUNT,003,403,"$264,193.17",257,13,"$3,036.16",347
117,HUTCHINSON,001,27,"$3,516.53",55,28,"$3,741.96",115
118,IRION,009,0,$0.00,1,0,$0.00,2
119,JACK,002,3,"$7,777.00",27,4,$327.23,69
120,JACKSON,008,5,"$6,369.10",18,3,$924.98,47
121,JASPER,005,40,"$15,564.16",49,35,"$4,542.09",98
122,JEFF DAVIS,010,0,$0.00,0,0,$0.00,10
123,JEFFERSON,005,519,"$605,884.33",373,68,"$11,813.91",484
124,JIM HOGG,011,7,"$2,141.06",9,9,$810.70,48
125,JIM WELLS,011,52,"$37,882.53",89,33,"$9,001.16",190
126,JOHNSON,003,472,"$379,553.91",400,68,"$9,402.49",891
127,JONES,002,7,"$4,741.22",17,7,$189.00,96
128,KARNES,008,12,"$6,988.20",51,4,$710.91,60
129,KAUFMAN,003,245,"$105,684.49",146,16,"$6,651.28",321
130,KENDALL,008,21,"$34,650.10",37,14,"$2,141.15",42
131,KENEDY,011,0,$0.00,0,0,$0.00,0
132,KENT,002,4,"$8,250.00",4,0,$0.00,8
133,KERR,008,93,"$183,653.37",149,36,"$4,775.89",304
134,KIMBLE,009,2,"$3,011.50",22,0,$0.00,15
135,KING,001,0,$0.00,0,0,$0.00,0
136,KINNEY,008,0,$0.00,5,0,$0.00,0
137,KLEBERG,011,52,"$55,102.07",92,17,"$2,996.42",181
138,KNOX,002,2,$450.00,9,0,$0.00,9
139,LAMAR,004,66,"$36,113.90",130,72,"$6,786.15",195
140,LAMB,001,8,"$8,375.28",54,4,$193.95,71
141,LAMPASAS,007,14,"$35,525.00",66,0,$0.00,87
142,LA SALLE,008,3,"$1,100.00",27,0,$0.00,43
143,LAVACA,008,15,"$15,154.45",26,0,$0.00,42
144,LEE,007,10,"$12,489.45",57,2,$622.45,36
145,LEON,007,3,"$7,480.52",52,0,$0.00,36
146,LIBERTY,006,264,"$166,491.27",269,44,"$12,931.23",375
147,LIMESTONE,007,15,"$25,913.02",53,0,$0.00,53
148,LIPSCOMB,001,7,"$22,664.86",2,2,$54.00,4
149,LIVE OAK,011,8,"$5,490.00",58,5,"$1,121.35",74
150,LLANO,007,21,"$16,564.70",60,3,$253.20,76
151,LOVING,009,0,$0.00,0,0,$0.00,0
152,LUBBOCK,001,724,"$1,053,485.88",908,376,"$39,569.35",1816
153,LYNN,001,2,$799.58,14,0,$0.00,60
154,MADISON,007,15,"$15,596.09",22,2,$904.80,24
155,MARION,004,5,$780.30,17,11,$759.63,31
156,MARTIN,009,1,$75.00,1,0,$0.00,6
157,MASON,009,1,"$3,000.00",1,0,$0.00,2
158,MATAGORDA,006,38,"$17,840.13",57,32,"$8,380.17",183
159,MAVERICK,008,10,"$13,100.00",29,4,$764.41,69
160,MCCULLOCH,009,10,"$16,290.00",23,0,$0.00,51
161,MCLENNAN,007,318,"$287,948.56",697,54,"$13,682.44",886
162,MCMULLEN,011,0,$0.00,4,0,$0.00,10
163,MEDINA,008,77,"$64,942.63",183,14,$654.09,277
164,MENARD,009,8,"$5,240.00",5,0,$0.00,6
165,MIDLAND,009,228,"$239,144.76",177,72,"$8,972.59",308
166,MILAM,007,25,"$31,576.56",108,10,"$1,653.82",85
167,MILLS,007,8,"$4,433.50",12,0,$0.00,12
168,MITCHELL,002,6,"$2,044.24",6,5,$159.00,96
169,MONTAGUE,002,15,"$12,579.22",56,1,$27.00,150
170,MONTGOMERY,006,740,"$672,868.82",645,117,"$22,664.59",942
171,MOORE,001,4,$995.48,24,11,"$1,690.05",59
172,MORRIS,004,18,"$9,350.34",21,16,"$3,528.80",47
173,MOTLEY,001,0,$0.00,2,1,$84.00,2
174,NACOGDOCHES,005,128,"$112,267.44",181,36,"$7,061.41",92
175,NAVARRO,003,141,"$118,277.27",94,12,"$4,045.67",151
176,NEWTON,005,11,"$13,654.74",19,3,$360.77,21
177,NOLAN,002,8,"$1,479.34",42,9,$733.15,150
178,NUECES,011,361,"$487,915.18",475,225,"$29,817.71",2144
179,OCHILTREE,001,5,"$2,384.70",9,5,$248.00,30
180,OLDHAM,001,1,$260.00,1,0,$0.00,0
181,ORANGE,005,135,"$91,214.09",218,14,"$1,355.14",175
182,PALO PINTO,003,154,"$58,587.08",204,12,"$3,952.74",309
183,PANOLA,004,16,"$18,118.01",31,21,"$1,967.15",86
184,PARKER,003,175,"$86,749.15",272,33,"$4,589.65",412
185,PARMER,001,3,"$10,547.00",3,4,$497.00,14
186,PECOS,009,7,"$2,852.54",24,5,$829.37,39
187,POLK,005,62,"$51,918.08",124,28,"$2,929.95",159
188,POTTER,001,524,"$463,846.32",435,475,"$56,899.26",967
189,PRESIDIO,010,0,$0.00,7,0,$0.00,9
190,RAINS,004,10,"$16,794.04",22,12,"$1,170.56",28
191,RANDALL,001,215,"$148,645.35",269,90,"$9,063.03",423
192,REAGAN,009,4,"$5,281.38",2,0,$0.00,6
193,REAL,008,0,$0.00,20,4,"$1,566.80",12
194,RED RIVER,004,23,"$20,281.50",31,12,"$1,558.30",35
195,REEVES,009,2,"$1,493.00",17,3,$220.14,31
196,REFUGIO,011,7,"$3,931.75",15,4,"$1,103.88",52
197,ROBERTS,001,0,$0.00,0,1,$84.00,0
198,ROBERTSON,007,9,"$4,611.36",24,3,$674.37,27
199,ROCKWALL,003,64,"$28,174.21",36,4,$453.25,80
200,RUNNELS,002,2,"$4,524.43",38,0,$0.00,59
201,RUSK,004,46,"$32,936.10",154,37,"$3,079.55",135
202,SABINE,005,2,"$3,521.15",8,3,$81.00,44
203,SAN AUGUSTINE,005,7,"$1,875.69",11,3,$217.00,28
204,SAN JACINTO,005,25,"$12,943.39",48,20,"$2,156.88",73
205,SAN PATRICIO,011,126,"$107,958.17",163,65,"$11,915.87",589
206,SAN SABA,007,16,"$30,326.26",36,4,$909.06,23
207,SCHLEICHER,009,3,$570.00,13,2,$688.29,33
208,SCURRY,002,16,"$14,461.58",26,8,"$1,015.76",103
209,SHACKELFORD,002,1,$697.43,1,0,$0.00,22
210,SHELBY,005,43,"$48,949.48",66,21,"$3,361.72",96
211,SHERMAN,001,0,$0.00,1,0,$0.00,5
212,SMITH,004,735,"$894,191.72",470,97,"$16,738.24",747
213,SOMERVELL,003,22,"$20,555.49",16,0,$0.00,38
214,STARR,011,57,"$40,158.00",108,46,"$10,922.78",337
215,STEPHENS,002,2,$427.35,21,4,$644.28,52
216,STERLING,009,1,"$4,400.00",4,1,$27.00,7
217,STONEWALL,002,5,"$5,499.18",1,0,$0.00,18
218,SUTTON,009,1,$400.00,2,0,$0.00,25
219,SWISHER,001,3,$918.29,23,8,$711.52,52
220,TARRANT,003,1792,"$2,165,765.70",1992,559,"$145,187.14",5965
221,TAYLOR,002,350,"$540,116.25",347,109,"$15,321.81",1238
222,TERRELL,009,4,"$2,531.27",0,0,$0.00,1
223,TERRY,001,9,"$2,232.87",69,2,$63.48,148
224,THROCKMORTON,002,3,"$2,660.39",0,0,$0.00,6
225,TITUS,004,46,"$30,753.46",48,40,"$4,277.40",41
226,TOM GREEN,009,378,"$627,087.96",580,76,"$12,708.64",767
227,TRAVIS,007,1740,"$3,479,942.68",1542,295,"$106,740.83",2199
228,TRINITY,005,31,"$21,683.93",33,13,"$1,125.66",28
229,TYLER,005,15,"$9,678.78",30,13,"$1,031.00",35
230,UPSHUR,004,54,"$61,665.71",74,47,"$4,896.16",124
231,UPTON,009,15,"$11,323.00",8,0,$0.00,12
232,UVALDE,008,21,"$15,500.80",80,11,"$1,405.65",132
233,VAL VERDE,008,13,"$10,906.00",50,2,$265.50,58
234,VAN ZANDT,004,45,"$62,713.36",185,46,"$5,619.64",164
235,VICTORIA,008,72,"$50,888.29",245,50,"$8,796.19",331
236,WALKER,006,45,"$25,926.08",76,7,$296.46,160
237,WALLER,006,63,"$47,036.11",62,6,$690.53,154
238,WARD,009,114,"$101,129.06",22,1,$35.00,44
239,WASHINGTON,007,20,"$27,364.00",61,4,"$1,935.00",31
240,WEBB,011,336,"$309,011.27",691,185,"$18,159.61",2836
241,WHARTON,006,27,"$28,871.63",36,21,"$4,956.26",122
242,WHEELER,001,2,"$3,084.00",11,0,$0.00,17
243,WICHITA,002,307,"$318,922.30",307,68,"$7,149.91",890
244,WILBARGER,002,17,"$10,248.47",22,5,$194.00,56
245,WILLACY,011,24,"$52,433.76",80,2,$444.25,208
246,WILLIAMSON,007,193,"$270,221.49",419,167,"$60,262.15",712
247,WILSON,008,28,"$24,915.36",107,17,"$5,022.08",120
248,WINKLER,009,3,"$5,620.00",8,0,$0.00,14
249,WISE,003,156,"$89,724.56",137,9,$836.92,202
250,WOOD,004,64,"$61,865.09",158,50,"$4,428.09",110
251,YOAKUM,001,2,"$2,597.44",16,3,$304.15,30
252,YOUNG,002,25,"$32,335.51",34,3,$546.46,92
253,ZAPATA,011,7,"$7,614.14",48,11,$768.55,93
254,ZAVALA,008,4,"$6,708.79",47,22,"$3,162.74",70
255,OUT OF STATE,,0,$0.00,0,0,$0.00,26
256,STATE TOTAL,,35276,"$39,647,291.04",45625,10904,"$2,220,906.15",92954
