,County,Region,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/Neglect per 1000 Children,Total CPS Completed Investigations,Confirmed CPS Investigations,Percent Investigations Confirmed
125,JIM WELLS,011,12095,77,6.4,350,56,16.0%
126,JOHNSON,003,43533,597,13.7,1238,359,29.0%
127,JONES,002,3758,71,18.9,151,43,28.5%
128,KARNES,008,2924,43,14.7,110,24,21.8%
129,KAUFMAN,003,33128,305,9.2,664,197,29.7%
130,KENDALL,008,8456,70,8.3,162,41,25.3%
131,KENEDY,011,99,0,0.0,0,0,0.0%
132,KENT,002,162,6,37.0,7,2,28.6%
133,KERR,008,10314,192,18.6,448,118,26.3%
134,KIMBLE,009,910,7,7.7,38,7,18.4%
135,KING,001,57,2,35.1,1,1,100.0%
136,KINNEY,008,681,0,0.0,21,0,0.0%
137,KLEBERG,011,8565,120,14.0,241,71,29.5%
138,KNOX,002,931,14,15.0,19,7,36.8%
139,LAMAR,004,12229,195,15.9,479,124,25.9%
140,LAMB,001,4020,60,14.9,96,30,31.3%
141,LAMPASAS,007,4923,92,18.7,181,47,26.0%
142,LA SALLE,008,1562,32,20.5,62,16,25.8%
143,LAVACA,008,4263,28,6.6,99,22,22.2%
144,LEE,007,4076,46,11.3,116,28,24.1%
145,LEON,007,3867,48,12.4,119,29,24.4%
146,LIBERTY,006,20300,315,15.5,693,203,29.3%
147,LIMESTONE,007,5653,81,14.3,193,51,26.4%
148,LIPSCOMB,001,878,0,0.0,12,0,0.0%
149,LIVE OAK,011,2218,48,21.6,74,28,37.8%
150,LLANO,007,3144,82,26.1,186,53,28.5%
151,LOVING,009,7,0,0.0,0,0,0.0%
152,LUBBOCK,001,72975,1303,17.9,2338,722,30.9%
153,LYNN,001,1594,37,23.2,46,19,41.3%
154,MADISON,007,3082,22,7.1,88,15,17.0%
155,MARION,004,1925,34,17.7,93,20,21.5%
156,MARTIN,009,1449,8,5.5,21,5,23.8%
157,MASON,009,803,5,6.2,28,3,10.7%
158,MATAGORDA,006,9567,107,11.2,273,70,25.6%
159,MAVERICK,008,18645,26,1.4,231,20,8.7%
160,MCCULLOCH,009,1998,33,16.5,88,23,26.1%
161,MCLENNAN,007,61080,884,14.5,2055,548,26.7%
162,MCMULLEN,011,121,9,74.4,9,5,55.6%
163,MEDINA,008,12245,124,10.1,298,71,23.8%
164,MENARD,009,422,7,16.6,13,4,30.8%
165,MIDLAND,009,39433,290,7.4,841,186,22.1%
166,MILAM,007,6366,95,14.9,197,63,32.0%
167,MILLS,007,1153,9,7.8,41,7,17.1%
168,MITCHELL,002,1813,36,19.9,85,19,22.4%
169,MONTAGUE,002,4611,98,21.3,175,60,34.3%
170,MONTGOMERY,006,139135,567,4.1,2448,365,14.9%
171,MOORE,001,7286,54,7.4,162,29,17.9%
172,MORRIS,004,3038,28,9.2,139,20,14.4%
173,MOTLEY,001,244,1,4.1,4,1,25.0%
174,NACOGDOCHES,005,17077,112,6.6,346,72,20.8%
175,NAVARRO,003,13432,113,8.4,382,75,19.6%
176,NEWTON,005,3067,21,6.8,73,12,16.4%
177,NOLAN,002,4006,86,21.5,237,56,23.6%
178,NUECES,011,88260,1308,14.8,3378,789,23.4%
179,OCHILTREE,001,3525,26,7.4,70,16,22.9%
180,OLDHAM,001,541,0,0.0,7,0,0.0%
181,ORANGE,005,20768,291,14.0,883,186,21.1%
182,PALO PINTO,003,7172,224,31.2,315,122,38.7%
183,PANOLA,004,5913,115,19.4,183,63,34.4%
184,PARKER,003,32597,402,12.3,888,223,25.1%
185,PARMER,001,3335,23,6.9,35,13,37.1%
186,PECOS,009,3967,47,11.8,94,27,28.7%
187,POLK,005,9774,170,17.4,442,93,21.0%
188,POTTER,001,34841,794,22.8,1456,434,29.8%
189,PRESIDIO,010,2215,5,2.3,16,5,31.3%
190,RAINS,004,2379,22,9.2,83,19,22.9%
191,RANDALL,001,32138,360,11.2,808,223,27.6%
192,REAGAN,009,1004,2,2.0,21,2,9.5%
193,REAL,008,595,3,5.0,24,2,8.3%
194,RED RIVER,004,2700,45,16.7,107,28,26.2%
195,REEVES,009,3126,29,9.3,69,20,29.0%
196,REFUGIO,011,1710,27,15.8,53,20,37.7%
197,ROBERTS,001,241,0,0.0,4,0,0.0%
198,ROBERTSON,007,4243,24,5.7,99,17,17.2%
199,ROCKWALL,003,26244,95,3.6,305,58,19.0%
200,RUNNELS,002,2576,29,11.3,75,19,25.3%
201,RUSK,004,12988,190,14.6,349,108,30.9%
202,SABINE,005,2022,25,12.4,76,13,17.1%
203,SAN AUGUSTINE,005,1810,14,7.7,56,11,19.6%
204,SAN JACINTO,005,6435,81,12.6,274,51,18.6%
205,SAN PATRICIO,011,17858,357,20.0,752,198,26.3%
206,SAN SABA,007,1212,47,38.8,58,22,37.9%
207,SCHLEICHER,009,1132,23,20.3,24,6,25.0%
208,SCURRY,002,4460,75,16.8,186,47,25.3%
209,SHACKELFORD,002,803,15,18.7,26,8,30.8%
210,SHELBY,005,6856,82,12.0,163,46,28.2%
211,SHERMAN,001,854,2,2.3,9,2,22.2%
212,SMITH,004,56163,533,9.5,1298,338,26.0%
213,SOMERVELL,003,2203,20,9.1,53,12,22.6%
214,STARR,011,20650,167,8.1,299,97,32.4%
215,STEPHENS,002,2265,33,14.6,76,22,28.9%
216,STERLING,009,277,4,14.4,11,4,36.4%
217,STONEWALL,002,320,6,18.8,10,4,40.0%
218,SUTTON,009,1112,4,3.6,17,2,11.8%
219,SWISHER,001,2025,34,16.8,69,26,37.7%
220,TARRANT,003,529400,6097,11.5,13058,3731,28.6%
221,TAYLOR,002,33477,907,27.1,1579,530,33.6%
222,TERRELL,009,213,1,4.7,3,1,33.3%
223,TERRY,001,3378,100,29.6,128,50,39.1%
224,THROCKMORTON,002,323,3,9.3,9,2,22.2%
225,TITUS,004,10095,55,5.4,176,31,17.6%
226,TOM GREEN,009,27232,583,21.4,1140,355,31.1%
227,TRAVIS,007,274241,2157,7.9,7151,1434,20.1%
228,TRINITY,005,3000,49,16.3,114,31,27.2%
229,TYLER,005,4170,83,19.9,226,48,21.2%
230,UPSHUR,004,9982,108,10.8,340,73,21.5%
231,UPTON,009,963,8,8.3,25,4,16.0%
232,UVALDE,008,7748,79,10.2,239,51,21.3%
233,VAL VERDE,008,15133,48,3.2,192,31,16.1%
234,VAN ZANDT,004,12704,193,15.2,422,120,28.4%
235,VICTORIA,008,23319,286,12.3,714,174,24.4%
236,WALKER,006,11681,97,8.3,304,68,22.4%
237,WALLER,006,11991,81,6.8,229,49,21.4%
238,WARD,009,2893,61,21.1,106,33,31.1%
239,WASHINGTON,007,7696,79,10.3,183,49,26.8%
240,WEBB,011,92593,642,6.9,1726,376,21.8%
241,WHARTON,006,11154,61,5.5,270,40,14.8%
242,WHEELER,001,1372,12,8.7,27,6,22.2%
243,WICHITA,002,31177,704,22.6,1438,413,28.7%
244,WILBARGER,002,3466,38,11.0,78,21,26.9%
245,WILLACY,011,6085,170,27.9,228,79,34.6%
246,WILLIAMSON,007,137516,731,5.3,2241,457,20.4%
247,WILSON,008,11834,73,6.2,244,44,18.0%
248,WINKLER,009,2129,34,16.0,72,19,26.4%
249,WISE,003,16317,176,10.8,368,102,27.7%
250,WOOD,004,8810,153,17.4,288,86,29.9%
251,YOAKUM,001,2597,28,10.8,44,18,40.9%
252,YOUNG,002,4524,61,13.5,170,38,22.4%
253,ZAPATA,011,5076,59,11.6,109,32,29.4%
254,ZAVALA,008,3701,49,13.2,114,25,21.9%
255,OUT OF STATE,,0,10,0.0,32,6,18.8%
256,STATEWIDE,,7266760,66572,9.2,168164,40369,24.0%
