,County,Region,Total Completed Investigations,Total Confirmed Investigations,Percent Confirmed Investigations,Unconfirmed Investigations - Ruled Out,Unconfirmed Investigations - Unable To Determine,Unconfirmed Investigations - Unable To Complete,Total Unconfirmed,Percent Unconfirmed
168,MITCHELL,002,85,19,22.4%,61,1,4,66,77.6%
169,MONTAGUE,002,175,60,34.3%,101,13,1,115,65.7%
170,MONTGOMERY,006,2448,365,14.9%,1761,261,61,2083,85.1%
171,MOORE,001,162,29,17.9%,124,4,5,133,82.1%
172,MORRIS,004,139,20,14.4%,99,16,4,119,85.6%
173,MOTLEY,001,4,1,25.0%,2,1,0,3,75.0%
174,NACOGDOCHES,005,346,72,20.8%,246,27,1,274,79.2%
175,NAVARRO,003,382,75,19.6%,260,45,2,307,80.4%
176,NEWTON,005,73,12,16.4%,52,8,1,61,83.6%
177,NOLAN,002,237,56,23.6%,157,14,10,181,76.4%
178,NUECES,011,3378,789,23.4%,2174,277,138,2589,76.6%
179,OCHILTREE,001,70,16,22.9%,42,9,3,54,77.1%
180,OLDHAM,001,7,0,0.0%,7,0,0,7,100.0%
181,ORANGE,005,883,186,21.1%,592,87,18,697,78.9%
182,PALO PINTO,003,315,122,38.7%,166,25,2,193,61.3%
183,PANOLA,004,183,63,34.4%,106,11,3,120,65.6%
184,PARKER,003,888,223,25.1%,566,82,17,665,74.9%
185,PARMER,001,35,13,37.1%,22,0,0,22,62.9%
186,PECOS,009,94,27,28.7%,59,8,0,67,71.3%
187,POLK,005,442,93,21.0%,313,33,3,349,79.0%
188,POTTER,001,1456,434,29.8%,836,146,40,1022,70.2%
189,PRESIDIO,010,16,5,31.3%,9,1,1,11,68.8%
190,RAINS,004,83,19,22.9%,55,7,2,64,77.1%
191,RANDALL,001,808,223,27.6%,487,84,14,585,72.4%
192,REAGAN,009,21,2,9.5%,18,1,0,19,90.5%
193,REAL,008,24,2,8.3%,21,1,0,22,91.7%
194,RED RIVER,004,107,28,26.2%,71,3,5,79,73.8%
195,REEVES,009,69,20,29.0%,39,10,0,49,71.0%
196,REFUGIO,011,53,20,37.7%,32,1,0,33,62.3%
197,ROBERTS,001,4,0,0.0%,4,0,0,4,100.0%
198,ROBERTSON,007,99,17,17.2%,73,9,0,82,82.8%
199,ROCKWALL,003,305,58,19.0%,198,46,3,247,81.0%
200,RUNNELS,002,75,19,25.3%,54,1,1,56,74.7%
201,RUSK,004,349,108,30.9%,209,29,3,241,69.1%
202,SABINE,005,76,13,17.1%,44,18,1,63,82.9%
203,SAN AUGUSTINE,005,56,11,19.6%,33,12,0,45,80.4%
204,SAN JACINTO,005,274,51,18.6%,195,22,6,223,81.4%
205,SAN PATRICIO,011,752,198,26.3%,509,33,12,554,73.7%
206,SAN SABA,007,58,22,37.9%,30,6,0,36,62.1%
207,SCHLEICHER,009,24,6,25.0%,17,1,0,18,75.0%
208,SCURRY,002,186,47,25.3%,122,14,3,139,74.7%
209,SHACKELFORD,002,26,8,30.8%,14,4,0,18,69.2%
210,SHELBY,005,163,46,28.2%,97,19,1,117,71.8%
211,SHERMAN,001,9,2,22.2%,7,0,0,7,77.8%
212,SMITH,004,1298,338,26.0%,815,122,23,960,74.0%
213,SOMERVELL,003,53,12,22.6%,32,8,1,41,77.4%
214,STARR,011,299,97,32.4%,165,33,4,202,67.6%
215,STEPHENS,002,76,22,28.9%,51,3,0,54,71.1%
216,STERLING,009,11,4,36.4%,6,1,0,7,63.6%
217,STONEWALL,002,10,4,40.0%,6,0,0,6,60.0%
218,SUTTON,009,17,2,11.8%,11,3,1,15,88.2%
219,SWISHER,001,69,26,37.7%,38,5,0,43,62.3%
220,TARRANT,003,13058,3731,28.6%,7132,1888,307,9327,71.4%
221,TAYLOR,002,1579,530,33.6%,910,123,16,1049,66.4%
222,TERRELL,009,3,1,33.3%,1,1,0,2,66.7%
223,TERRY,001,128,50,39.1%,74,3,1,78,60.9%
224,THROCKMORTON,002,9,2,22.2%,6,1,0,7,77.8%
225,TITUS,004,176,31,17.6%,136,8,1,145,82.4%
226,TOM GREEN,009,1140,355,31.1%,666,102,17,785,68.9%
227,TRAVIS,007,7151,1434,20.1%,5195,391,131,5717,79.9%
228,TRINITY,005,114,31,27.2%,76,6,1,83,72.8%
229,TYLER,005,226,48,21.2%,161,15,2,178,78.8%
230,UPSHUR,004,340,73,21.5%,233,25,9,267,78.5%
231,UPTON,009,25,4,16.0%,18,3,0,21,84.0%
232,UVALDE,008,239,51,21.3%,176,12,0,188,78.7%
233,VAL VERDE,008,192,31,16.1%,153,5,3,161,83.9%
234,VAN ZANDT,004,422,120,28.4%,253,35,14,302,71.6%
235,VICTORIA,008,714,174,24.4%,487,46,7,540,75.6%
236,WALKER,006,304,68,22.4%,194,35,7,236,77.6%
237,WALLER,006,229,49,21.4%,159,20,1,180,78.6%
238,WARD,009,106,33,31.1%,63,10,0,73,68.9%
239,WASHINGTON,007,183,49,26.8%,115,14,5,134,73.2%
240,WEBB,011,1726,376,21.8%,1171,139,40,1350,78.2%
241,WHARTON,006,270,40,14.8%,209,20,1,230,85.2%
242,WHEELER,001,27,6,22.2%,11,8,2,21,77.8%
243,WICHITA,002,1438,413,28.7%,819,198,8,1025,71.3%
244,WILBARGER,002,78,21,26.9%,42,14,1,57,73.1%
245,WILLACY,011,228,79,34.6%,128,18,3,149,65.4%
246,WILLIAMSON,007,2241,457,20.4%,1646,117,21,1784,79.6%
247,WILSON,008,244,44,18.0%,176,23,1,200,82.0%
248,WINKLER,009,72,19,26.4%,51,2,0,53,73.6%
249,WISE,003,368,102,27.7%,222,40,4,266,72.3%
250,WOOD,004,288,86,29.9%,173,25,4,202,70.1%
251,YOAKUM,001,44,18,40.9%,24,1,1,26,59.1%
252,YOUNG,002,170,38,22.4%,117,14,1,132,77.6%
253,ZAPATA,011,109,32,29.4%,68,9,0,77,70.6%
254,ZAVALA,008,114,25,21.9%,85,4,0,89,78.1%
255,OUT OF STATE,,32,6,18.8%,14,2,10,26,81.3%
256,STATE TOTAL,,168164,40369,24.0%,107797,16622,3376,127795,76.0%
