,County,Region,Number of Families,Number of Children,Children* Removed From Home,Percent of Children Removed
115,HUDSPETH,010,4,12,0,0.0%
116,HUNT,003,120,306,7,2.3%
117,HUTCHINSON,001,43,123,18,14.6%
118,IRION,009,1,2,0,0.0%
119,JACK,002,22,59,5,8.5%
120,JACKSON,008,19,44,0,0.0%
121,JASPER,005,41,99,4,4.0%
122,JEFF DAVIS,010,2,10,0,0.0%
123,JEFFERSON,005,147,410,38,9.3%
124,JIM HOGG,011,13,48,0,0.0%
125,JIM WELLS,011,68,182,8,4.4%
126,JOHNSON,003,319,820,39,4.8%
127,JONES,002,42,91,0,0.0%
128,KARNES,008,11,38,12,31.6%
129,KAUFMAN,003,100,289,10,3.5%
130,KENDALL,008,18,42,3,7.1%
131,KENEDY,011,0,0,0,0.0%
132,KENT,002,3,8,0,0.0%
133,KERR,008,97,249,15,6.0%
134,KIMBLE,009,5,6,2,33.3%
135,KING,001,0,0,0,0.0%
136,KINNEY,008,0,0,0,0.0%
137,KLEBERG,011,63,179,12,6.7%
138,KNOX,002,3,9,0,0.0%
139,LAMAR,004,51,152,16,10.5%
140,LAMB,001,20,61,9,14.8%
141,LAMPASAS,007,25,73,8,11.0%
142,LA SALLE,008,10,30,0,0.0%
143,LAVACA,008,12,36,0,0.0%
144,LEE,007,13,31,2,6.5%
145,LEON,007,8,24,0,0.0%
146,LIBERTY,006,139,333,19,5.7%
147,LIMESTONE,007,16,44,0,0.0%
148,LIPSCOMB,001,3,6,0,0.0%
149,LIVE OAK,011,18,65,8,12.3%
150,LLANO,007,21,58,4,6.9%
151,LOVING,009,0,0,0,0.0%
152,LUBBOCK,001,616,1676,118,7.0%
153,LYNN,001,16,53,6,11.3%
154,MADISON,007,8,19,5,26.3%
155,MARION,004,14,41,0,0.0%
156,MARTIN,009,2,6,0,0.0%
157,MASON,009,1,2,0,0.0%
158,MATAGORDA,006,68,186,6,3.2%
159,MAVERICK,008,16,62,0,0.0%
160,MCCULLOCH,009,18,43,1,2.3%
161,MCLENNAN,007,276,750,37,4.9%
162,MCMULLEN,011,2,7,0,0.0%
163,MEDINA,008,88,259,20,7.7%
164,MENARD,009,3,6,0,0.0%
165,MIDLAND,009,101,261,8,3.1%
166,MILAM,007,26,68,4,5.9%
167,MILLS,007,3,7,0,0.0%
168,MITCHELL,002,32,96,0,0.0%
169,MONTAGUE,002,47,117,1,0.9%
170,MONTGOMERY,006,319,837,43,5.1%
171,MOORE,001,21,58,0,0.0%
172,MORRIS,004,13,40,2,5.0%
173,MOTLEY,001,1,2,0,0.0%
174,NACOGDOCHES,005,26,75,11,14.7%
175,NAVARRO,003,44,135,5,3.7%
176,NEWTON,005,6,16,1,6.3%
177,NOLAN,002,66,143,3,2.1%
178,NUECES,011,784,2114,78,3.7%
179,OCHILTREE,001,13,24,1,4.2%
180,OLDHAM,001,1,4,1,25.0%
181,ORANGE,005,59,139,18,12.9%
182,PALO PINTO,003,101,253,33,13.0%
183,PANOLA,004,26,77,4,5.2%
184,PARKER,003,139,356,38,10.7%
185,PARMER,001,6,14,0,0.0%
186,PECOS,009,13,27,4,14.8%
187,POLK,005,35,92,8,8.7%
188,POTTER,001,362,927,29,3.1%
189,PRESIDIO,010,3,4,0,0.0%
190,RAINS,004,9,24,0,0.0%
191,RANDALL,001,156,366,16,4.4%
192,REAGAN,009,2,6,0,0.0%
193,REAL,008,3,7,0,0.0%
194,RED RIVER,004,15,38,6,15.8%
195,REEVES,009,8,23,0,0.0%
196,REFUGIO,011,18,58,1,1.7%
197,ROBERTS,001,0,0,0,0.0%
198,ROBERTSON,007,8,18,0,0.0%
199,ROCKWALL,003,30,75,3,4.0%
200,RUNNELS,002,16,50,4,8.0%
201,RUSK,004,33,82,3,3.7%
202,SABINE,005,17,45,9,20.0%
203,SAN AUGUSTINE,005,8,18,1,5.6%
204,SAN JACINTO,005,20,51,7,13.7%
205,SAN PATRICIO,011,222,587,27,4.6%
206,SAN SABA,007,9,20,4,20.0%
207,SCHLEICHER,009,8,26,0,0.0%
208,SCURRY,002,37,100,3,3.0%
209,SHACKELFORD,002,11,22,1,4.5%
210,SHELBY,005,31,101,10,9.9%
211,SHERMAN,001,2,5,0,0.0%
212,SMITH,004,256,637,55,8.6%
213,SOMERVELL,003,17,34,0,0.0%
214,STARR,011,114,344,15,4.4%
215,STEPHENS,002,22,50,0,0.0%
216,STERLING,009,3,7,0,0.0%
217,STONEWALL,002,7,18,0,0.0%
218,SUTTON,009,7,21,0,0.0%
219,SWISHER,001,19,48,11,22.9%
220,TARRANT,003,2070,5599,136,2.4%
221,TAYLOR,002,435,1134,29,2.6%
222,TERRELL,009,1,1,0,0.0%
223,TERRY,001,40,124,13,10.5%
224,THROCKMORTON,002,3,6,0,0.0%
225,TITUS,004,15,39,3,7.7%
226,TOM GREEN,009,268,686,49,7.1%
227,TRAVIS,007,608,1585,141,8.9%
228,TRINITY,005,7,18,0,0.0%
229,TYLER,005,11,34,0,0.0%
230,UPSHUR,004,42,112,7,6.3%
231,UPTON,009,4,9,2,22.2%
232,UVALDE,008,41,116,15,12.9%
233,VAL VERDE,008,15,43,1,2.3%
234,VAN ZANDT,004,56,144,15,10.4%
235,VICTORIA,008,131,311,42,13.5%
236,WALKER,006,55,135,1,0.7%
237,WALLER,006,48,146,2,1.4%
238,WARD,009,16,43,9,20.9%
239,WASHINGTON,007,12,22,0,0.0%
240,WEBB,011,822,2722,47,1.7%
241,WHARTON,006,41,121,4,3.3%
242,WHEELER,001,6,25,0,0.0%
243,WICHITA,002,297,812,59,7.3%
244,WILBARGER,002,21,49,0,0.0%
245,WILLACY,011,58,178,9,5.1%
246,WILLIAMSON,007,264,642,39,6.1%
247,WILSON,008,31,88,20,22.7%
248,WINKLER,009,7,14,3,21.4%
249,WISE,003,58,144,8,5.6%
250,WOOD,004,34,87,11,12.6%
251,YOAKUM,001,10,26,1,3.8%
252,YOUNG,002,39,85,8,9.4%
253,ZAPATA,011,31,97,2,2.1%
254,ZAVALA,008,17,61,0,0.0%
255,OUT OF STATE,,5,22,1,4.5%
256,STATE TOTAL,,30634,85694,4348,5.1%
