,County,Region,Paid Foster  Care Clients,Foster Care  Expenditures*
78,FOARD,002,2,40091
79,FORT BEND,006,150,2226328
80,FRANKLIN,004,19,134744
81,FREESTONE,007,20,376237
82,FRIO,008,68,965569
83,GAINES,009,25,397053
84,GALVESTON,006,194,2233059
85,GARZA,001,15,183387
86,GILLESPIE,008,28,605843
87,GLASSCOCK,009,0,0
88,GOLIAD,008,9,108495
89,GONZALES,008,38,402261
90,GRAY,001,50,972730
91,GRAYSON,003,190,2307652
92,GREGG,004,230,3168583
93,GRIMES,007,34,417799
94,GUADALUPE,008,92,1374773
95,HALE,001,86,1216748
96,HALL,001,4,68363
97,HAMILTON,007,3,66893
98,HANSFORD,001,5,105659
99,HARDEMAN,002,10,48359
100,HARDIN,005,40,392171
101,HARRIS,006,4253,61894387
102,HARRISON,004,106,1123166
103,HARTLEY,001,1,2190
104,HASKELL,002,10,205863
105,HAYS,007,128,1648561
106,HEMPHILL,001,11,125204
107,HENDERSON,004,218,2719187
108,HIDALGO,011,794,9080121
109,HILL,007,60,768360
110,HOCKLEY,001,51,740290
111,HOOD,003,106,1279416
112,HOPKINS,004,39,522058
113,HOUSTON,005,50,735464
114,HOWARD,009,109,1564856
115,HUDSPETH,010,3,1894
116,HUNT,003,187,1527925
117,HUTCHINSON,001,38,466946
118,IRION,009,1,554
119,JACK,002,14,197698
120,JACKSON,008,10,56791
121,JASPER,005,39,501804
122,JEFF DAVIS,010,0,0
123,JEFFERSON,005,322,2623584
124,JIM HOGG,011,3,22613
125,JIM WELLS,011,52,608435
126,JOHNSON,003,321,3506384
127,JONES,002,8,133543
128,KARNES,008,30,430593
129,KAUFMAN,003,92,1250379
130,KENDALL,008,27,314992
131,KENEDY,011,0,0
132,KENT,002,4,68925
133,KERR,008,117,1568841
134,KIMBLE,009,21,359916
135,KING,001,0,0
136,KINNEY,008,3,20005
137,KLEBERG,011,65,933854
138,KNOX,002,9,184865
139,LAMAR,004,86,709197
140,LAMB,001,30,238241
141,LAMPASAS,007,33,233767
142,LA SALLE,008,16,327309
143,LAVACA,008,16,279944
144,LEE,007,30,334336
145,LEON,007,27,378363
146,LIBERTY,006,157,2267257
147,LIMESTONE,007,27,388629
148,LIPSCOMB,001,1,8988
149,LIVE OAK,011,33,328823
150,LLANO,007,29,313765
151,LOVING,009,0,0
152,LUBBOCK,001,627,8775632
153,LYNN,001,7,66443
154,MADISON,007,12,140657
155,MARION,004,11,175857
156,MARTIN,009,0,0
157,MASON,009,1,7669
158,MATAGORDA,006,42,405811
159,MAVERICK,008,25,401890
160,MCCULLOCH,009,13,205502
161,MCLENNAN,007,411,5805889
162,MCMULLEN,011,1,1007
163,MEDINA,008,104,1676570
164,MENARD,009,4,54887
165,MIDLAND,009,115,1850266
166,MILAM,007,61,699118
167,MILLS,007,10,78470
168,MITCHELL,002,5,116558
169,MONTAGUE,002,45,623048
170,MONTGOMERY,006,417,7481404
171,MOORE,001,20,266254
172,MORRIS,004,11,60451
173,MOTLEY,001,1,54397
174,NACOGDOCHES,005,143,2001142
175,NAVARRO,003,73,899498
176,NEWTON,005,17,351875
177,NOLAN,002,31,389756
178,NUECES,011,362,4125197
179,OCHILTREE,001,6,201765
180,OLDHAM,001,1,115454
181,ORANGE,005,171,1727912
182,PALO PINTO,003,144,1595951
183,PANOLA,004,25,296226
184,PARKER,003,183,1800603
185,PARMER,001,3,63377
186,PECOS,009,15,175734
187,POLK,005,78,796603
188,POTTER,001,367,5855415
189,PRESIDIO,010,4,7319
190,RAINS,004,14,185155
191,RANDALL,001,199,3199548
192,REAGAN,009,2,1777
193,REAL,008,7,118063
194,RED RIVER,004,19,121048
195,REEVES,009,16,267320
196,REFUGIO,011,10,60874
197,ROBERTS,001,0,0
198,ROBERTSON,007,19,260760
199,ROCKWALL,003,23,257568
200,RUNNELS,002,24,278370
201,RUSK,004,76,588243
202,SABINE,005,5,21530
203,SAN AUGUSTINE,005,11,119087
204,SAN JACINTO,005,32,403387
205,SAN PATRICIO,011,118,1407653
206,SAN SABA,007,10,190525
207,SCHLEICHER,009,10,138596
208,SCURRY,002,19,234503
209,SHACKELFORD,002,0,0
210,SHELBY,005,46,444692
211,SHERMAN,001,1,49913
212,SMITH,004,277,3161949
213,SOMERVELL,003,12,156395
214,STARR,011,89,907480
215,STEPHENS,002,15,258879
216,STERLING,009,0,0
217,STONEWALL,002,0,0
218,SUTTON,009,1,21783
219,SWISHER,001,12,217549
220,TARRANT,003,1621,21242876
221,TAYLOR,002,273,3537070
222,TERRELL,009,0,0
223,TERRY,001,32,519357
224,THROCKMORTON,002,4,13589
225,TITUS,004,28,505441
226,TOM GREEN,009,349,5290416
227,TRAVIS,007,935,11387774
228,TRINITY,005,24,165221
229,TYLER,005,22,194849
230,UPSHUR,004,51,500173
231,UPTON,009,6,100048
232,UVALDE,008,47,751520
233,VAL VERDE,008,27,441871
234,VAN ZANDT,004,127,1796357
235,VICTORIA,008,168,2494304
236,WALKER,006,41,642551
237,WALLER,006,38,477024
238,WARD,009,13,130081
239,WASHINGTON,007,43,467967
240,WEBB,011,588,7678031
241,WHARTON,006,27,220885
242,WHEELER,001,5,11408
243,WICHITA,002,287,3470916
244,WILBARGER,002,15,256265
245,WILLACY,011,55,387050
246,WILLIAMSON,007,244,3761226
247,WILSON,008,54,685253
248,WINKLER,009,8,95384
249,WISE,003,77,996936
250,WOOD,004,108,1473083
251,YOAKUM,001,5,82415
252,YOUNG,002,27,227788
253,ZAPATA,011,39,659436
254,ZAVALA,008,20,435908
255,STATE TOTAL,,30736,"$397,462,117"
