,County,Region,STAR*,CYD**,SYSN***,TOTAL
96,HALL,001,5,0,0,5
97,HAMILTON,007,18,0,0,18
98,HANSFORD,001,12,0,11,23
99,HARDEMAN,002,25,0,0,25
100,HARDIN,005,48,0,0,48
101,HARRIS,006,908,2190,402,3500
102,HARRISON,004,191,0,35,226
103,HARTLEY,001,2,0,0,2
104,HASKELL,002,8,0,0,8
105,HAYS,007,290,0,51,341
106,HEMPHILL,001,2,0,0,2
107,HENDERSON,004,223,0,0,223
108,HIDALGO,011,592,1866,276,2734
109,HILL,007,22,0,11,33
110,HOCKLEY,001,40,0,0,40
111,HOOD,003,33,0,0,33
112,HOPKINS,004,94,0,0,94
113,HOUSTON,005,8,0,0,8
114,HOWARD,009,15,0,21,36
115,HUDSPETH,010,2,0,0,2
116,HUNT,003,155,0,85,240
117,HUTCHINSON,001,32,0,0,32
118,IRION,009,3,0,0,3
119,JACK,002,0,0,4,4
120,JACKSON,008,54,0,0,54
121,JASPER,005,22,0,0,22
122,JEFF DAVIS,010,0,0,0,0
123,JEFFERSON,005,344,0,0,344
124,JIM HOGG,011,1,0,0,1
125,JIM WELLS,011,146,0,0,146
126,JOHNSON,003,103,0,2,105
127,JONES,002,64,0,0,64
128,KARNES,008,4,0,0,4
129,KAUFMAN,003,83,0,0,83
130,KENDALL,008,83,0,1,84
131,KENEDY,011,2,0,0,2
132,KENT,002,2,0,0,2
133,KERR,008,119,0,7,126
134,KIMBLE,009,54,0,0,54
135,KING,001,7,0,0,7
136,KINNEY,008,7,0,0,7
137,KLEBERG,011,171,0,25,196
138,KNOX,002,12,0,0,12
139,LAMAR,004,194,0,1,195
140,LAMB,001,3,0,0,3
141,LAMPASAS,007,15,0,2,17
142,LA SALLE,008,2,0,0,2
143,LAVACA,008,37,0,0,37
144,LEE,007,15,0,0,15
145,LEON,007,26,0,0,26
146,LIBERTY,006,8,0,0,8
147,LIMESTONE,007,25,0,0,25
148,LIPSCOMB,001,2,0,0,2
149,LIVE OAK,011,56,0,0,56
150,LLANO,007,27,0,0,27
151,LOVING,009,0,0,0,0
152,LUBBOCK,001,374,998,134,1506
153,LYNN,001,11,1,0,12
154,MADISON,007,66,0,0,66
155,MARION,004,14,0,0,14
156,MARTIN,009,3,0,0,3
157,MASON,009,18,0,0,18
158,MATAGORDA,006,9,0,37,46
159,MAVERICK,008,136,0,0,136
160,MCCULLOCH,009,11,1,0,12
161,MCLENNAN,007,440,921,17,1378
162,MCMULLEN,011,0,0,0,0
163,MEDINA,008,77,0,0,77
164,MENARD,009,19,0,14,33
165,MIDLAND,009,156,0,31,187
166,MILAM,007,146,0,0,146
167,MILLS,007,3,0,0,3
168,MITCHELL,002,40,0,0,40
169,MONTAGUE,002,0,0,0,0
170,MONTGOMERY,006,720,0,9,729
171,MOORE,001,15,0,0,15
172,MORRIS,004,14,0,0,14
173,MOTLEY,001,4,0,0,4
174,NACOGDOCHES,005,123,0,15,138
175,NAVARRO,003,67,0,17,84
176,NEWTON,005,2,0,0,2
177,NOLAN,002,70,0,0,70
178,NUECES,011,638,1293,91,2022
179,OCHILTREE,001,11,0,6,17
180,OLDHAM,001,7,0,0,7
181,ORANGE,005,40,0,0,40
182,PALO PINTO,003,25,0,0,25
183,PANOLA,004,13,0,0,13
184,PARKER,003,18,0,0,18
185,PARMER,001,13,0,0,13
186,PECOS,009,18,0,0,18
187,POLK,005,58,0,11,69
188,POTTER,001,155,680,14,849
189,PRESIDIO,010,21,0,0,21
190,RAINS,004,18,0,0,18
191,RANDALL,001,59,5,8,72
192,REAGAN,009,2,0,0,2
193,REAL,008,2,0,0,2
194,RED RIVER,004,8,0,0,8
195,REEVES,009,13,0,0,13
196,REFUGIO,011,18,0,0,18
197,ROBERTS,001,0,0,0,0
198,ROBERTSON,007,59,0,7,66
199,ROCKWALL,003,84,0,20,104
200,RUNNELS,002,13,0,0,13
201,RUSK,004,69,0,23,92
202,SABINE,005,2,0,0,2
203,SAN AUGUSTINE,005,33,0,13,46
204,SAN JACINTO,005,27,0,0,27
205,SAN PATRICIO,011,290,0,2,292
206,SAN SABA,007,12,0,0,12
207,SCHLEICHER,009,2,0,0,2
208,SCURRY,002,63,0,29,92
209,SHACKELFORD,002,0,0,0,0
210,SHELBY,005,30,0,0,30
211,SHERMAN,001,2,0,1,3
212,SMITH,004,311,0,0,311
213,SOMERVELL,003,3,0,0,3
214,STARR,011,114,0,0,114
215,STEPHENS,002,0,0,0,0
216,STERLING,009,3,0,0,3
217,STONEWALL,002,1,0,0,1
218,SUTTON,009,5,0,0,5
219,SWISHER,001,7,0,0,7
220,TARRANT,003,1269,910,231,2410
221,TAYLOR,002,350,0,94,444
222,TERRELL,009,1,0,0,1
223,TERRY,001,37,0,0,37
224,THROCKMORTON,002,1,0,1,2
225,TITUS,004,67,0,0,67
226,TOM GREEN,009,268,0,65,333
227,TRAVIS,007,731,1692,301,2724
228,TRINITY,005,9,0,12,21
229,TYLER,005,43,1,1,45
230,UPSHUR,004,76,0,0,76
231,UPTON,009,2,0,0,2
232,UVALDE,008,74,0,0,74
233,VAL VERDE,008,448,0,12,460
234,VAN ZANDT,004,86,0,0,86
235,VICTORIA,008,402,0,11,413
236,WALKER,006,29,0,20,49
237,WALLER,006,11,0,2,13
238,WARD,009,8,0,0,8
239,WASHINGTON,007,94,0,4,98
240,WEBB,011,468,0,79,547
241,WHARTON,006,0,0,24,24
242,WHEELER,001,10,0,0,10
243,WICHITA,002,126,0,113,239
244,WILBARGER,002,105,0,31,136
245,WILLACY,011,131,0,0,131
246,WILLIAMSON,007,578,0,27,605
247,WILSON,008,94,1,1,96
248,WINKLER,009,2,0,0,2
249,WISE,003,4,0,1,5
250,WOOD,004,12,0,0,12
251,YOAKUM,001,1,0,0,1
252,YOUNG,002,0,0,0,0
253,ZAPATA,011,9,0,16,25
254,ZAVALA,008,78,0,0,78
255,STATE TOTAL,,23943,17932,4191,46066
