,County,Region,CBCAP*,TFTS**,CBFS***,Total
160,MCCULLOCH,009,0,13,0,13
161,MCLENNAN,007,0,0,0,0
162,MCMULLEN,011,0,0,0,0
163,MEDINA,008,0,0,0,0
164,MENARD,009,0,0,0,0
165,MIDLAND,009,0,0,0,0
166,MILAM,007,0,0,0,0
167,MILLS,007,0,0,0,0
168,MITCHELL,002,0,0,0,0
169,MONTAGUE,002,0,0,0,0
170,MONTGOMERY,006,0,0,0,0
171,MOORE,001,0,0,0,0
172,MORRIS,004,0,0,0,0
173,MOTLEY,001,0,0,0,0
174,NACOGDOCHES,005,0,0,0,0
175,NAVARRO,003,0,1,0,1
176,NEWTON,005,0,0,0,0
177,NOLAN,002,0,5,0,5
178,NUECES,011,0,228,0,228
179,OCHILTREE,001,0,0,0,0
180,OLDHAM,001,0,0,0,0
181,ORANGE,005,0,0,0,0
182,PALO PINTO,003,0,0,0,0
183,PANOLA,004,0,0,0,0
184,PARKER,003,0,0,0,0
185,PARMER,001,0,0,0,0
186,PECOS,009,0,0,0,0
187,POLK,005,0,0,0,0
188,POTTER,001,0,0,0,0
189,PRESIDIO,010,0,0,0,0
190,RAINS,004,0,0,0,0
191,RANDALL,001,0,0,0,0
192,REAGAN,009,0,0,0,0
193,REAL,008,0,0,0,0
194,RED RIVER,004,0,0,0,0
195,REEVES,009,0,0,0,0
196,REFUGIO,011,0,0,0,0
197,ROBERTS,001,0,0,0,0
198,ROBERTSON,007,0,7,0,7
199,ROCKWALL,003,0,0,0,0
200,RUNNELS,002,0,5,1,6
201,RUSK,004,0,0,0,0
202,SABINE,005,0,0,0,0
203,SAN AUGUSTINE,005,0,0,0,0
204,SAN JACINTO,005,0,0,0,0
205,SAN PATRICIO,011,0,0,0,0
206,SAN SABA,007,0,8,0,8
207,SCHLEICHER,009,0,0,0,0
208,SCURRY,002,0,0,0,0
209,SHACKELFORD,002,0,0,0,0
210,SHELBY,005,0,0,0,0
211,SHERMAN,001,0,0,0,0
212,SMITH,004,0,0,0,0
213,SOMERVELL,003,0,0,0,0
214,STARR,011,0,0,0,0
215,STEPHENS,002,0,0,0,0
216,STERLING,009,0,0,0,0
217,STONEWALL,002,0,0,0,0
218,SUTTON,009,0,0,0,0
219,SWISHER,001,0,0,0,0
220,TARRANT,003,12,301,0,313
221,TAYLOR,002,6,0,0,6
222,TERRELL,009,0,0,0,0
223,TERRY,001,0,0,0,0
224,THROCKMORTON,002,0,0,0,0
225,TITUS,004,0,0,0,0
226,TOM GREEN,009,0,0,0,0
227,TRAVIS,007,0,0,0,0
228,TRINITY,005,0,0,0,0
229,TYLER,005,0,0,0,0
230,UPSHUR,004,0,0,0,0
231,UPTON,009,0,0,0,0
232,UVALDE,008,0,0,0,0
233,VAL VERDE,008,0,0,0,0
234,VAN ZANDT,004,0,0,0,0
235,VICTORIA,008,0,0,0,0
236,WALKER,006,0,0,0,0
237,WALLER,006,0,0,0,0
238,WARD,009,0,0,0,0
239,WASHINGTON,007,0,0,0,0
240,WEBB,011,0,0,0,0
241,WHARTON,006,0,0,0,0
242,WHEELER,001,0,0,0,0
243,WICHITA,002,0,0,0,0
244,WILBARGER,002,0,0,0,0
245,WILLACY,011,0,0,0,0
246,WILLIAMSON,007,0,0,0,0
247,WILSON,008,0,0,0,0
248,WINKLER,009,0,0,0,0
249,WISE,003,0,0,0,0
250,WOOD,004,0,0,0,0
251,YOAKUM,001,0,0,0,0
252,YOUNG,002,0,0,0,0
253,ZAPATA,011,0,0,0,0
254,ZAVALA,008,0,0,0,0
255,STATE TOTAL,,837,2096,329,3262
