,County,Paid Foster  Care Clients,Paid Foster  Expenditures*
77,FLOYD,23,200231
78,FOARD,0,0
79,FORT BEND,149,2173556
80,FRANKLIN,10,18716
81,FREESTONE,24,455341
82,FRIO,49,574138
83,GAINES,28,280161
84,GALVESTON,162,2128034
85,GARZA,18,250283
86,GILLESPIE,45,615347
87,GLASSCOCK,0,0
88,GOLIAD,7,168900
89,GONZALES,17,197229
90,GRAY,87,1207147
91,GRAYSON,128,1619084
92,GREGG,203,2874553
93,GRIMES,24,442185
94,GUADALUPE,90,1041673
95,HALE,100,1313240
96,HALL,9,191249
97,HAMILTON,14,205948
98,HANSFORD,3,75774
99,HARDEMAN,6,63809
100,HARDIN,46,601514
101,HARRIS,4769,63261110
102,HARRISON,98,1217561
103,HARTLEY,1,13668
104,HASKELL,6,32760
105,HAYS,109,1052153
106,HEMPHILL,1,31908
107,HENDERSON,166,1978377
108,HIDALGO,777,7033019
109,HILL,34,464709
110,HOCKLEY,82,1271625
111,HOOD,72,832906
112,HOPKINS,44,509478
113,HOUSTON,40,416316
114,HOWARD,64,929798
115,HUDSPETH,3,65634
116,HUNT,165,1478932
117,HUTCHINSON,28,556251
118,IRION,6,42408
119,JACK,6,186743
120,JACKSON,3,70282
121,JASPER,37,539536
122,JEFF DAVIS,0,0
123,JEFFERSON,247,2325209
124,JIM HOGG,2,37468
125,JIM WELLS,86,901543
126,JOHNSON,313,3782490
127,JONES,9,93203
128,KARNES,28,472418
129,KAUFMAN,89,973269
130,KENDALL,30,336508
131,KENEDY,1,177
132,KENT,0,0
133,KERR,166,2092653
134,KIMBLE,14,245448
135,KING,0,0
136,KINNEY,0,0
137,KLEBERG,58,861809
138,KNOX,9,156612
139,LAMAR,94,1072463
140,LAMB,39,514309
141,LAMPASAS,39,603042
142,LASALLE,16,204564
143,LAVACA,6,72723
144,LEE,54,569517
145,LEON,17,241122
146,LIBERTY,122,1614879
147,LIMESTONE,38,541464
148,LIPSCOMB,5,35491
149,LIVE OAK,15,139166
150,LLANO,32,413322
151,LOVING,0,0
152,LUBBOCK,646,9379585
153,LYNN,8,92937
154,MADISON,17,259802
155,MARION,13,106355
156,MARTIN,1,642
157,MASON,5,43274
158,MATAGORDA,27,309109
159,MAVERICK,23,354239
160,MCCULLOCH,13,139560
161,MCLENNAN,371,4671811
162,MCMULLEN,0,0
163,MEDINA,128,1848464
164,MENARD,11,161398
165,MIDLAND,145,1870488
166,MILAM,47,560839
167,MILLS,4,103851
168,MITCHELL,10,72172
169,MONTAGUE,71,836531
170,MONTGOMERY,473,6314386
171,MOORE,20,335992
172,MORRIS,12,133678
173,MOTLEY,2,27577
174,NACOGDOCHES,140,1467348
175,NAVARRO,87,1277862
176,NEWTON,17,330902
177,NOLAN,26,236006
178,NUECES,554,6648829
179,OCHILTREE,9,127616
180,OLDHAM,1,23300
181,ORANGE,174,1639078
182,PALO PINTO,62,566437
183,PANOLA,29,305671
184,PARKER,64,809830
185,PARMER,8,161658
186,PECOS,25,270626
187,POLK,89,692509
188,POTTER,285,4475669
189,PRESIDIO,3,37628
190,RAINS,16,226545
191,RANDALL,288,4355289
192,REAGAN,5,50789
193,REAL,9,129135
194,RED RIVER,19,304730
195,REEVES,12,63453
196,REFUGIO,12,43017
197,ROBERTS,0,0
198,ROBERTSON,14,222410
199,ROCKWALL,31,252094
200,RUNNELS,36,537149
201,RUSK,53,534593
202,SABINE,15,118557
203,SAN AUGUSTINE,1,3833
204,SAN JACINTO,58,878496
205,SAN PATRICIO,76,885635
206,SAN SABA,6,201839
207,SCHLEICHER,2,22210
208,SCURRY,21,256637
209,SHACKELFORD,0,0
210,SHELBY,56,499632
211,SHERMAN,1,32790
212,SMITH,278,3201411
213,SOMERVELL,12,136992
214,STARR,96,1014388
215,STEPHENS,11,181520
216,STERLING,0,0
217,STONEWALL,0,0
218,SUTTON,3,17842
219,SWISHER,18,293116
220,TARRANT,1627,19138281
221,TAYLOR,220,2552711
222,TERRELL,0,0
223,TERRY,34,295664
224,THROCKMORTON,1,1351
225,TITUS,57,636447
226,TOM GREEN,383,5144581
227,TRAVIS,959,11769652
228,TRINITY,32,299234
229,TYLER,11,142756
230,UPSHUR,33,458772
231,UPTON,7,84529
232,UVALDE,61,717595
233,VAL VERDE,29,404810
234,VAN ZANDT,128,1411662
235,VICTORIA,141,1957530
236,WALKER,59,951637
237,WALLER,47,543249
238,WARD,7,100724
239,WASHINGTON,29,193991
240,WEBB,477,5688153
241,WHARTON,53,427885
242,WHEELER,9,128963
243,WICHITA,239,3221203
244,WILBARGER,15,161444
245,WILLACY,64,581571
246,WILLIAMSON,377,5225604
247,WILSON,28,277821
248,WINKLER,8,99847
249,WISE,72,728039
250,WOOD,81,959816
251,YOAKUM,4,68419
252,YOUNG,43,367161
253,ZAPATA,54,790052
254,ZAVALA,40,668031
255,UNKNOWN,0,0
256,STATE TOTAL,30673,380487624
