,County,Total,African American,Anglo,Hispanic,Native American,Other
166,MILAM,29,6,20,3,0,0
167,MILLS,0,0,0,0,0,0
168,MITCHELL,4,0,0,4,0,0
169,MONTAGUE,46,2,41,2,0,1
170,MONTGOMERY,338,52,218,51,1,16
171,MOORE,18,2,4,12,0,0
172,MORRIS,21,6,14,1,0,0
173,MOTLEY,1,0,1,0,0,0
174,NACOGDOCHES,75,31,36,7,0,1
175,NAVARRO,30,10,19,0,0,1
176,NEWTON,11,0,8,3,0,0
177,NOLAN,20,2,13,5,0,0
178,NUECES,253,18,48,183,1,3
179,OCHILTREE,5,0,5,0,0,0
180,OLDHAM,0,0,0,0,0,0
181,ORANGE,106,23,82,0,0,1
182,PALO PINTO,40,3,28,9,0,0
183,PANOLA,14,4,7,2,0,1
184,PARKER,25,0,18,5,0,2
185,PARMER,1,0,0,1,0,0
186,PECOS,8,0,2,6,0,0
187,POLK,47,13,28,5,0,1
188,POTTER,116,32,35,45,0,4
189,PRESIDIO,1,0,0,1,0,0
190,RAINS,10,0,9,1,0,0
191,RANDALL,154,11,94,45,1,3
192,REAGAN,1,0,0,1,0,0
193,REAL,3,0,1,2,0,0
194,RED RIVER,16,0,16,0,0,0
195,REEVES,10,2,0,8,0,0
196,REFUGIO,10,4,1,5,0,0
197,ROBERTS,0,0,0,0,0,0
198,ROBERTSON,12,4,8,0,0,0
199,ROCKWALL,29,10,14,5,0,0
200,RUNNELS,10,1,4,4,0,1
201,RUSK,51,12,29,7,0,3
202,SABINE,3,0,2,1,0,0
203,SAN AUGUSTINE,1,0,1,0,0,0
204,SAN JACINTO,19,2,16,1,0,0
205,SAN PATRICIO,27,1,9,16,0,1
206,SAN SABA,1,0,0,1,0,0
207,SCHLEICHER,1,0,1,0,0,0
208,SCURRY,0,0,0,0,0,0
209,SHACKELFORD,0,0,0,0,0,0
210,SHELBY,21,11,9,1,0,0
211,SHERMAN,0,0,0,0,0,0
212,SMITH,142,46,64,29,0,3
213,SOMERVELL,7,0,4,3,0,0
214,STARR,53,0,0,52,0,1
215,STEPHENS,0,0,0,0,0,0
216,STERLING,0,0,0,0,0,0
217,STONEWALL,0,0,0,0,0,0
218,SUTTON,2,0,1,1,0,0
219,SWISHER,7,1,3,3,0,0
220,TARRANT,761,262,268,202,3,26
221,TAYLOR,111,17,53,39,0,2
222,TERRELL,0,0,0,0,0,0
223,TERRY,30,6,2,21,0,1
224,THROCKMORTON,0,0,0,0,0,0
225,TITUS,27,0,14,12,0,1
226,TOM GREEN,174,8,74,85,0,7
227,TRAVIS,627,240,111,258,0,18
228,TRINITY,12,1,9,1,1,0
229,TYLER,6,0,4,2,0,0
230,UPSHUR,19,2,14,2,0,1
231,UPTON,3,0,3,0,0,0
232,UVALDE,48,0,4,44,0,0
233,VAL VERDE,8,0,1,7,0,0
234,VAN ZANDT,70,4,53,7,2,4
235,VICTORIA,79,6,29,44,0,0
236,WALKER,35,16,12,7,0,0
237,WALLER,37,18,7,12,0,0
238,WARD,3,0,3,0,0,0
239,WASHINGTON,15,7,5,3,0,0
240,WEBB,224,0,10,212,0,2
241,WHARTON,37,8,7,21,0,1
242,WHEELER,3,0,2,1,0,0
243,WICHITA,93,20,45,22,0,6
244,WILBARGER,5,0,3,2,0,0
245,WILLACY,16,0,0,16,0,0
246,WILLIAMSON,188,51,82,50,0,5
247,WILSON,39,1,20,16,0,2
248,WINKLER,2,0,2,0,0,0
249,WISE,42,4,32,4,0,2
250,WOOD,39,3,29,7,0,0
251,YOAKUM,2,1,0,1,0,0
252,YOUNG,27,1,16,9,0,1
253,ZAPATA,22,0,1,20,0,1
254,ZAVALA,12,0,0,12,0,0
255,UNKNOWN,7,3,2,2,0,0
256,OUT OF STATE,2,1,0,1,0,0
257,STATE TOTAL,17108,4482,5129,6983,34,480
