,County,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/ Neglect per 1000 Children,Total CPS Completed Investi-gations,Confirmed CPS Investi-gations,Percent Investigations Confirmed
180,OLDHAM,486,2,4.1,10,1,10.0%
181,ORANGE,20515,411,20.0,1043,260,24.9%
182,PALO PINTO,7229,114,15.8,287,76,26.5%
183,PANOLA,5521,45,8.2,159,26,16.4%
184,PARKER,27403,293,10.7,874,169,19.3%
185,PARMER,2814,13,4.6,56,9,16.1%
186,PECOS,4491,56,12.5,112,29,25.9%
187,POLK,9445,114,12.1,376,66,17.6%
188,POTTER,36351,764,21.0,1581,401,25.4%
189,PRESIDIO,2753,18,6.5,31,8,25.8%
190,RAINS,2064,35,17.0,64,21,32.8%
191,RANDALL,25611,378,14.8,921,221,24.0%
192,REAGAN,775,7,9.0,23,6,26.1%
193,REAL,616,16,26.0,31,8,25.8%
194,RED RIVER,3173,29,9.1,79,19,24.1%
195,REEVES,2795,45,16.1,84,22,26.2%
196,REFUGIO,1704,45,26.4,63,29,46.0%
197,ROBERTS,183,4,21.9,6,2,33.3%
198,ROBERTSON,4460,76,17.0,143,47,32.9%
199,ROCKWALL,20662,69,3.3,289,43,14.9%
200,RUNNELS,2942,37,12.6,93,25,26.9%
201,RUSK,11317,171,15.1,374,94,25.1%
202,SABINE,2047,36,17.6,81,24,29.6%
203,SAN AUGUSTINE,2172,25,11.5,60,13,21.7%
204,SAN JACINTO,6055,56,9.2,302,33,10.9%
205,SAN PATRICIO,21382,343,16.0,815,196,24.0%
206,SAN SABA,1382,16,11.6,37,11,29.7%
207,SCHLEICHER,772,4,5.2,12,2,16.7%
208,SCURRY,4120,92,22.3,166,56,33.7%
209,SHACKELFORD,825,10,12.1,20,6,30.0%
210,SHELBY,6858,59,8.6,202,36,17.8%
211,SHERMAN,782,12,15.3,17,3,17.6%
212,SMITH,53330,480,9.0,1538,302,19.6%
213,SOMERVELL,2047,33,16.1,61,23,37.7%
214,STARR,24328,260,10.7,365,143,39.2%
215,STEPHENS,2426,43,17.7,86,25,29.1%
216,STERLING,284,1,3.5,6,1,16.7%
217,STONEWALL,337,6,17.8,6,5,83.3%
218,SUTTON,1168,1,0.9,20,1,5.0%
219,SWISHER,2133,38,17.8,69,21,30.4%
220,TARRANT,491551,5888,12.0,13620,3537,26.0%
221,TAYLOR,34551,745,21.6,1678,456,27.2%
222,TERRELL,155,2,12.9,3,1,33.3%
223,TERRY,2977,104,34.9,138,54,39.1%
224,THROCKMORTON,397,6,15.1,11,2,18.2%
225,TITUS,9204,117,12.7,223,68,30.5%
226,TOM GREEN,26373,345,13.1,982,213,21.7%
227,TRAVIS,235554,2483,10.5,6348,1491,23.5%
228,TRINITY,3148,50,15.9,139,30,21.6%
229,TYLER,4661,34,7.3,140,25,17.9%
230,UPSHUR,8977,91,10.1,382,63,16.5%
231,UPTON,727,9,12.4,22,4,18.2%
232,UVALDE,8641,138,16.0,246,76,30.9%
233,VAL VERDE,14881,64,4.3,244,33,13.5%
234,VAN ZANDT,12444,163,13.1,419,102,24.3%
235,VICTORIA,24406,250,10.2,858,151,17.6%
236,WALKER,11189,110,9.8,283,64,22.6%
237,WALLER,10387,89,8.6,228,53,23.2%
238,WARD,2460,25,10.2,78,19,24.4%
239,WASHINGTON,7431,79,10.6,197,43,21.8%
240,WEBB,91533,781,8.5,1974,423,21.4%
241,WHARTON,11407,86,7.5,271,54,19.9%
242,WHEELER,1098,10,9.1,31,8,25.8%
243,WICHITA,31659,619,19.6,1302,364,28.0%
244,WILBARGER,3756,72,19.2,131,39,29.8%
245,WILLACY,6680,171,25.6,248,80,32.3%
246,WILLIAMSON,108861,701,6.4,2191,470,21.5%
247,WILSON,11106,103,9.3,233,58,24.9%
248,WINKLER,1633,20,12.2,62,13,21.0%
249,WISE,14405,171,11.9,422,102,24.2%
250,WOOD,8143,102,12.5,336,72,21.4%
251,YOAKUM,2471,22,8.9,35,12,34.3%
252,YOUNG,4394,67,15.2,177,41,23.2%
253,ZAPATA,4736,89,18.8,146,49,33.6%
254,ZAVALA,3976,46,11.6,129,29,22.5%
255,UNKNOWN,0,0,0.0,0,0,0.0%
256,OUT OF STATE,0,13,0.0,39,9,23.1%
257,STATE TOTAL,6663942,65948,9.9,175421,39263,22.4%
