,County,Total,Family Reunification,Custody Given to Relative,Non-Relative Adoption,Relative Adoption,Children Emancipated,Other*
88,GOLIAD,0,0,0,0,0,0,0
89,GONZALES,4,0,0,3,0,1,0
90,GRAY,40,20,5,5,6,4,0
91,GRAYSON,73,17,11,27,10,8,0
92,GREGG,91,18,14,28,20,10,1
93,GRIMES,8,3,2,0,1,1,1
94,GUADALUPE,53,13,15,9,10,5,1
95,HALE,46,18,10,9,7,2,0
96,HALL,4,1,0,1,0,2,0
97,HAMILTON,5,2,1,1,0,1,0
98,HANSFORD,2,2,0,0,0,0,0
99,HARDEMAN,3,0,3,0,0,0,0
100,HARDIN,30,6,6,9,5,3,1
101,HARRIS,2440,690,646,462,377,220,45
102,HARRISON,54,28,12,7,0,5,2
103,HARTLEY,0,0,0,0,0,0,0
104,HASKELL,0,0,0,0,0,0,0
105,HAYS,79,40,15,12,5,7,0
106,HEMPHILL,0,0,0,0,0,0,0
107,HENDERSON,96,45,20,15,9,7,0
108,HIDALGO,249,107,97,4,0,23,18
109,HILL,29,15,6,3,4,1,0
110,HOCKLEY,14,4,2,4,1,3,0
111,HOOD,32,11,11,4,4,0,2
112,HOPKINS,43,16,26,0,0,1,0
113,HOUSTON,8,5,1,0,2,0,0
114,HOWARD,58,20,24,3,1,6,4
115,HUDSPETH,0,0,0,0,0,0,0
116,HUNT,135,32,37,33,27,3,3
117,HUTCHINSON,13,5,5,2,1,0,0
118,IRION,0,0,0,0,0,0,0
119,JACK,3,2,0,1,0,0,0
120,JACKSON,2,2,0,0,0,0,0
121,JASPER,21,3,10,0,6,2,0
122,JEFF DAVIS,0,0,0,0,0,0,0
123,JEFFERSON,103,29,17,29,18,8,2
124,JIM HOGG,4,0,4,0,0,0,0
125,JIM WELLS,48,28,18,0,1,1,0
126,JOHNSON,174,63,63,32,7,7,2
127,JONES,6,1,3,0,0,2,0
128,KARNES,2,0,1,0,0,1,0
129,KAUFMAN,56,9,9,21,15,2,0
130,KENDALL,8,1,3,1,3,0,0
131,KENEDY,1,0,1,0,0,0,0
132,KENT,0,0,0,0,0,0,0
133,KERR,80,38,11,14,14,3,0
134,KIMBLE,16,6,1,8,0,1,0
135,KING,0,0,0,0,0,0,0
136,KINNEY,1,0,0,0,1,0,0
137,KLEBERG,32,13,7,1,7,4,0
138,KNOX,2,0,0,0,1,1,0
139,LAMAR,59,16,34,1,4,4,0
140,LAMB,9,0,0,5,0,3,1
141,LAMPASAS,9,1,2,3,1,1,1
142,LASALLE,10,0,2,3,3,2,0
143,LAVACA,0,0,0,0,0,0,0
144,LEE,23,10,9,0,0,4,0
145,LEON,5,0,3,1,0,1,0
146,LIBERTY,77,32,29,8,5,2,1
147,LIMESTONE,14,0,4,0,7,3,0
148,LIPSCOMB,0,0,0,0,0,0,0
149,LIVE OAK,9,2,7,0,0,0,0
150,LLANO,31,11,5,4,8,3,0
151,LOVING,0,0,0,0,0,0,0
152,LUBBOCK,263,50,53,80,40,35,5
153,LYNN,1,0,0,0,0,1,0
154,MADISON,12,0,4,5,2,1,0
155,MARION,6,1,5,0,0,0,0
156,MARTIN,1,0,1,0,0,0,0
157,MASON,1,0,0,1,0,0,0
158,MATAGORDA,11,0,7,1,0,3,0
159,MAVERICK,19,7,3,3,4,2,0
160,MCCULLOCH,12,4,8,0,0,0,0
161,MCLENNAN,133,33,14,40,29,16,1
162,MCMULLEN,0,0,0,0,0,0,0
163,MEDINA,49,8,11,10,14,6,0
164,MENARD,5,3,1,0,0,1,0
165,MIDLAND,79,29,19,19,5,6,1
166,MILAM,27,15,3,2,5,2,0
167,MILLS,2,0,2,0,0,0,0
168,MITCHELL,2,0,2,0,0,0,0
169,MONTAGUE,25,11,9,4,0,1,0
170,MONTGOMERY,381,109,112,47,85,21,7
171,MOORE,6,3,3,0,0,0,0
172,MORRIS,24,9,10,0,4,1,0
173,MOTLEY,1,0,0,0,0,1,0
174,NACOGDOCHES,49,17,12,11,8,1,0
175,NAVARRO,27,2,2,15,2,6,0
176,NEWTON,3,1,1,0,0,1,0
177,NOLAN,9,0,3,3,0,3,0
178,NUECES,323,107,130,37,19,28,2
179,OCHILTREE,2,2,0,0,0,0,0
180,OLDHAM,0,0,0,0,0,0,0
181,ORANGE,51,14,10,18,3,5,1
182,PALO PINTO,26,7,8,7,4,0,0
183,PANOLA,14,3,8,0,0,2,1
184,PARKER,19,6,2,7,4,0,0
185,PARMER,6,3,0,0,2,0,1
186,PECOS,22,8,13,0,0,1,0
187,POLK,57,20,15,13,3,6,0
188,POTTER,72,27,12,17,2,11,3
189,PRESIDIO,0,0,0,0,0,0,0
190,RAINS,9,3,5,0,0,1,0
191,RANDALL,108,50,19,18,11,9,1
192,REAGAN,1,0,0,1,0,0,0
193,REAL,2,0,1,0,0,1,0
194,RED RIVER,18,10,6,0,1,0,1
195,REEVES,14,8,6,0,0,0,0
196,REFUGIO,5,2,3,0,0,0,0
197,ROBERTS,0,0,0,0,0,0,0
198,ROBERTSON,6,0,2,0,4,0,0
199,ROCKWALL,21,0,16,1,2,2,0
200,RUNNELS,11,3,2,0,3,3,0
201,RUSK,43,20,18,0,3,2,0
202,SABINE,10,2,6,2,0,0,0
203,SAN AUGUSTINE,2,0,0,0,2,0,0
204,SAN JACINTO,15,11,1,1,0,2,0
205,SAN PATRICIO,47,17,20,0,0,8,2
206,SAN SABA,4,1,0,2,0,1,0
207,SCHLEICHER,0,0,0,0,0,0,0
208,SCURRY,5,4,0,1,0,0,0
209,SHACKELFORD,0,0,0,0,0,0,0
210,SHELBY,28,11,6,5,0,6,0
211,SHERMAN,0,0,0,0,0,0,0
212,SMITH,136,26,36,41,14,14,5
213,SOMERVELL,3,3,0,0,0,0,0
214,STARR,35,23,4,1,1,3,3
215,STEPHENS,7,0,5,1,0,1,0
216,STERLING,0,0,0,0,0,0,0
217,STONEWALL,0,0,0,0,0,0,0
218,SUTTON,1,0,1,0,0,0,0
219,SWISHER,1,0,0,0,0,1,0
220,TARRANT,860,316,209,160,85,85,5
221,TAYLOR,117,42,30,19,11,14,1
222,TERRELL,0,0,0,0,0,0,0
223,TERRY,7,4,2,0,0,1,0
224,THROCKMORTON,0,0,0,0,0,0,0
225,TITUS,80,30,32,4,12,1,1
226,TOM GREEN,106,31,21,23,16,15,0
227,TRAVIS,494,159,95,114,69,51,6
228,TRINITY,13,1,7,3,1,1,0
229,TYLER,6,3,1,0,1,1,0
230,UPSHUR,38,12,17,5,4,0,0
231,UPTON,1,0,0,0,0,1,0
232,UVALDE,31,9,5,6,8,3,0
233,VAL VERDE,19,3,2,1,12,1,0
234,VAN ZANDT,76,32,24,7,7,6,0
235,VICTORIA,64,13,8,16,16,11,0
236,WALKER,34,9,16,4,1,4,0
237,WALLER,29,15,1,2,7,3,1
238,WARD,13,0,12,0,0,1,0
239,WASHINGTON,15,7,1,1,4,2,0
240,WEBB,236,107,40,45,19,20,5
241,WHARTON,38,6,28,0,4,0,0
242,WHEELER,7,3,0,4,0,0,0
243,WICHITA,85,25,29,21,0,9,1
244,WILBARGER,2,0,0,1,0,1,0
245,WILLACY,37,23,12,1,0,1,0
246,WILLIAMSON,232,73,41,62,33,17,6
247,WILSON,14,7,2,1,4,0,0
248,WINKLER,8,1,7,0,0,0,0
249,WISE,24,5,17,0,0,2,0
250,WOOD,62,10,29,15,4,3,1
251,YOAKUM,8,3,0,0,5,0,0
252,YOUNG,4,4,0,0,0,0,0
253,ZAPATA,27,15,8,0,1,2,1
254,ZAVALA,7,4,0,0,3,0,0
255,OUT OF STATE,0,0,0,0,0,0,0
256,TOTAL,16087,5372,4441,2685,1950,1410,229
