,County,Population With a Disability Ages 18-64,Population Ages 65+,Total APS Intakes,Total APS Completed Investigations,Validated APS Investigations,APS Clients Receiving Services,Intakes,Completed Investigation,Confirmed Investigations,Initial Intakes Alleging Abuse/Neglect,Child Abuse/ Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location,Alleged Victims  of Child Abuse/  Neglect,Alleged Victims in Unconfirmed Investigations,Alleged Victims in Ruled Out Investigations*,Alleged Victims Provided Services**,Alleged Victims Not Provided Services**,Children Removed From Home***,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/ Neglect per 1000 Children,Total CPS Completed Investi-gations,Confirmed CPS Investi-gations,Percent Investigations Confirmed,Total Children Served in Fiscal Year 2006,Subsequently Confirmed Victims in Fiscal Years 2006 - 2011,Child Abuse/Neglect Related Fatalities,Child Abuse/Neglect Related Fatalities in  Foster Care at Time*,Children in DFPS Legal Responsibility,Point of Prevalence**,Children Entering Subsitute- Care (Total Removals),Children in Substitute Care***,Children in Foster Care*,Unique Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized****,DFPS Responsibility Terminated***,Paid Foster  Care Clients,Paid Foster  Expenditures*,Foster Homes*,Foster/ Adoptive Homes**,Adoptive Homes***,Children Receiving Sub-Care Purchased Services,Expenditures For Sub-Care Purchased Services,Children in Substitute Care,Children Receiving In-home Purchased Services,Expenditures For InHome Purchased Services,Children Receiving In-home Services,Total,African American,Anglo,Hispanic,Native American,Other,Family Reunification,Custody Given to Relative,Non-Relative Adoption,Relative Adoption,Children Emancipated,Other*,Child Population Ages 0 - 13,Licensed Child Care Centers,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes,Child Pop- ulation Age 0-17,Child Placing Agen-cies (CPA),Homes Verified by CPAs,General Resi-dential Opera-tions,Inde-pent Foster and Group Homes,Resi- dential Treat-ment Centers,Mater-nity Homes,Total Resi-dential,Total Resi- dential Capacity,STAR,CYD,SYSN,YRP,TOTAL,CBCAP,FSP,TFTS
10,BASTROP,7875,8679,387,314,141,102,10,8,0,883,729,9,924,698,624,144,780,63,20172,200,9.9,583,131,22.5%,102,21,,,192,9.5,70,187,110,162,0,72,5,27,17,61,111,1405214,1,4,7,14,11923.63,187,3,84.40,280,20172,1841,9807,8388,9,127,,,,,,,15470,40,2974,3,36,21,10,20172,0,43,1,0,0,0,44,163,198,0,31,0,229,,,
11,BAYLOR,306,993,70,63,56,75,0,0,0,56,42,0,53,41,27,19,34,1,780,12,15.4,31,5,16.1%,14,8,,,1,1.3,1,1,1,1,0,1,0,0,0,0,1,26098,0,0,0,2,1656.60,1,0,0.00,25,780,28,638,110,1,3,,,,,,,611,3,160,2,24,1,1,780,0,0,0,0,0,0,0,0,14,0,0,0,14,,,
12,BEE,2828,3640,146,129,97,88,2,1,0,461,410,7,642,425,376,186,456,21,7508,194,25.8,354,99,28.0%,103,40,,,97,12.9,36,92,58,85,0,39,23,4,0,32,57,825147,0,2,0,11,3612.87,92,5,310.21,290,7508,171,1841,5434,5,57,,,,,,,5979,8,796,1,12,11,1,7508,0,14,1,0,0,0,15,200,101,0,0,0,101,,,
13,BELL,21860,23702,1759,1260,827,795,96,84,15,4489,4029,30,5412,4365,4157,651,4761,320,83087,946,11.4,3294,583,17.7%,739,114,1,0,935,11.3,392,865,612,826,4,393,29,130,108,353,597,6252058,7,36,17,130,153069.45,865,29,3759.50,1072,83087,21174,37035,20724,176,3978,,,,,,,68769,165,14554,21,244,89,137,83087,9,209,3,0,1,1,223,777,317,0,151,0,468,,,
14,BEXAR,134216,170835,9721,7811,4652,5681,953,904,111,22838,19841,168,26760,20166,18260,5956,20804,1224,438724,5915,13.5,15375,3453,22.5%,5049,979,20,0,5238,11.9,2046,5184,3564,4111,0,2107,96,799,736,924,3491,45742172,8,75,61,1466,2292171.66,5184,544,133906.94,10248,438724,36625,100152,290870,425,10652,,,,,,,347183,584,62167,35,420,363,472,438724,38,907,15,1,6,1,968,3950,1425,1260,306,53,3044,,,
15,BLANCO,931,1846,38,35,21,21,0,0,0,71,61,0,74,61,58,6,68,2,2232,12,5.4,53,9,17.0%,4,1,,,11,4.9,3,11,8,8,0,3,0,2,4,1,8,66239,0,1,1,0,0.00,11,0,0.00,12,2232,15,1716,498,0,3,,,,,,,1756,4,194,0,0,3,0,2232,0,5,0,0,0,0,5,5,36,0,0,0,36,,,
16,BORDEN,61,197,0,0,0,0,0,0,0,2,1,0,3,3,3,0,3,0,111,0,0.0,2,0,0.0%,1,0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,2,111,0,76,34,0,1,,,,,,,89,1,13,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,BOSQUE,1426,3602,109,94,45,37,0,0,0,194,183,0,260,197,183,35,225,13,4161,57,13.7,155,32,20.6%,15,4,,,28,6.7,15,28,26,27,0,15,0,10,2,2,24,249275,0,2,1,3,896.75,28,2,1807.36,53,4161,96,2684,1368,1,12,,,,,,,3247,6,318,1,12,2,2,4161,0,8,0,0,0,0,8,20,101,0,0,0,101,,,
18,BOWIE,7813,12964,481,370,226,276,10,8,5,1194,1030,9,1456,1166,850,179,1277,64,21313,253,11.9,838,154,18.4%,171,33,1,0,179,8.4,73,168,95,156,0,72,7,7,12,86,95,1455798,0,10,4,68,50146.51,168,38,3979.79,301,21313,6756,13163,1110,28,256,,,,,,,16669,41,3847,4,48,59,12,21313,0,18,0,0,0,0,18,47,151,0,0,0,151,,,
19,BRAZORIA,27349,31323,751,565,373,343,56,53,6,2633,2216,21,2896,2310,1985,369,2527,79,81797,505,6.2,1781,318,17.9%,487,100,1,0,388,4.7,122,370,251,288,0,123,13,18,18,165,243,3193187,4,22,11,115,92849.54,370,99,34214.77,853,81797,7246,41989,29562,94,2906,,,,,,,63155,151,16931,17,198,58,69,81797,2,116,3,0,5,0,126,724,396,0,123,0,519,,,
20,BRAZOS,13575,11827,386,293,193,198,49,49,5,1260,1097,11,1614,1157,983,243,1371,69,38287,382,10.0,954,242,25.4%,194,61,2,0,225,5.9,96,217,175,190,0,97,9,42,34,48,173,1789004,1,8,8,68,109913.49,217,3,748.14,406,38287,5914,18345,11827,68,2133,,,,,,,30670,74,6715,11,129,64,32,38287,4,63,1,0,1,0,69,232,287,0,57,0,344,,,
21,BREWSTER,802,1567,59,66,49,63,0,0,0,73,69,0,93,70,63,17,76,0,2002,20,10.0,56,13,23.2%,6,1,,,7,3.5,0,7,6,2,0,0,0,0,1,1,6,184399,0,0,2,0,0.00,7,5,511.48,47,2002,17,672,1282,2,29,,,,,,,1608,4,295,1,12,8,1,2002,0,2,0,0,0,0,2,0,2,0,0,0,2,,,
22,BRISCOE,136,422,6,4,0,0,0,0,0,18,15,0,14,13,7,1,13,0,428,1,2.3,10,1,10.0%,5,0,,,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,1,0,0.00,1,428,4,270,152,0,2,,,,,,,329,0,0,0,0,1,0,428,0,2,0,0,0,0,2,4,2,0,0,0,2,,,
23,BROOKS,663,1274,74,71,44,50,2,2,2,152,127,0,266,208,201,55,211,6,2212,57,25.8,128,31,24.2%,105,22,,,45,20.3,14,41,31,34,0,19,2,3,4,13,27,377416,0,1,0,13,21412.51,41,12,6732.46,84,2212,1,129,2080,0,2,,,,,,,1763,7,326,0,0,0,0,2212,0,1,0,0,0,0,1,6,3,0,0,0,3,,,
24,BROWN,2978,7188,342,265,185,165,28,28,5,500,422,6,564,390,334,120,444,40,9651,144,14.9,323,92,28.5%,91,28,1,0,147,15.2,28,146,108,107,0,28,2,40,31,29,107,1642006,0,7,1,183,184331.07,146,6,320.42,144,9651,407,6463,2718,7,56,,,,,,,7664,17,1253,1,12,11,8,9651,7,73,1,0,0,0,81,355,66,0,26,0,92,,,
25,BURLESON,1505,3224,95,75,50,58,0,0,0,182,164,1,231,161,134,28,203,9,4591,60,13.1,126,34,27.0%,37,12,,,38,8.3,13,38,25,35,0,14,1,13,5,5,22,355316,0,2,3,3,4518.50,38,0,0.00,25,4591,1027,2365,1178,2,19,,,,,,,3689,6,288,1,12,4,2,4591,0,6,0,0,0,0,6,5,184,0,0,0,184,,,
26,BURNET,3732,9987,170,137,73,59,1,2,0,479,422,6,574,419,381,66,508,35,9853,132,13.4,338,80,23.7%,108,29,3,0,113,11.5,46,113,79,99,0,46,2,19,25,29,80,857029,0,1,0,44,29554.44,113,13,5957.26,102,9853,119,6734,2927,8,65,,,,,,,7654,21,1684,3,36,5,1,9853,1,15,0,0,0,0,16,64,47,0,81,0,128,,,
27,CALDWELL,3335,4367,167,142,76,50,5,4,0,496,430,3,579,463,430,58,521,29,10198,99,9.7,367,65,17.7%,98,21,,,103,10.1,38,106,77,79,0,36,9,11,12,24,74,1134175,0,4,3,12,16950.25,106,7,1716.50,106,10198,858,3660,5593,8,79,,,,,,,8060,16,890,0,0,11,2,10198,0,25,0,0,2,0,27,289,135,0,5,0,140,,,
28,CALHOUN,1764,3381,81,62,34,29,4,4,1,229,201,3,294,244,213,34,260,3,6195,42,6.8,168,27,16.1%,54,13,1,0,16,2.6,7,16,16,11,0,7,0,0,0,4,16,341559,1,3,0,1,500.00,16,0,0.00,44,6195,113,2452,3473,3,154,,,,,,,4883,13,780,3,36,2,1,6195,0,9,0,0,0,0,9,34,73,0,0,0,73,,,
29,CALLAHAN,1102,2734,151,116,88,137,2,2,1,159,122,0,207,156,134,36,171,6,3166,50,15.8,119,21,17.6%,20,9,,,35,11.1,2,32,28,27,0,2,8,2,4,11,28,376187,0,2,1,10,3157.14,32,0,0.00,68,3166,18,2853,276,4,15,,,,,,,2404,4,148,1,12,10,2,3166,0,10,0,0,0,0,10,20,6,0,0,0,6,,,
30,CAMERON,31464,48153,1734,1424,844,795,329,298,24,4886,4342,44,6914,4563,3872,2152,4762,170,136046,2158,15.9,3705,1060,28.6%,1193,347,6,0,641,4.7,207,620,478,543,0,213,56,18,20,334,466,4813882,7,12,6,191,160416.70,620,174,14806.36,3812,136046,306,9665,124999,102,974,,,,,,,112555,202,14546,27,321,52,34,136046,6,146,6,0,0,0,158,1145,545,0,150,0,695,,,
31,CAMP,1072,2311,88,70,44,54,1,1,0,173,141,0,233,186,170,44,189,19,3410,42,12.3,124,24,19.4%,27,10,,,65,19.1,27,57,29,59,0,27,1,1,2,34,30,251373,0,1,2,12,8500.05,57,1,700.00,84,3410,556,1659,1182,1,12,,,,,,,2608,5,411,2,24,3,0,3410,0,8,0,0,0,0,8,21,25,0,0,0,25,,,
32,CARSON,533,1108,30,27,21,20,0,0,0,53,46,0,90,78,64,4,86,2,1508,7,4.6,48,5,10.4%,8,4,,,5,3.3,3,5,4,5,0,3,0,0,0,2,4,31534,0,2,0,3,360.00,5,3,203.00,8,1508,16,1379,110,1,2,,,,,,,1172,0,0,0,0,2,1,1508,0,2,0,0,0,0,2,8,3,0,0,0,3,,,
33,CASS,2368,6186,237,185,109,69,0,0,0,334,300,4,393,310,255,49,344,23,6731,75,11.1,239,46,19.2%,50,11,,,74,11.0,25,69,40,67,0,35,6,7,12,33,39,269926,0,5,3,33,36820.51,69,13,1253.10,74,6731,1799,4675,194,6,57,,,,,,,5206,7,566,1,12,20,0,6731,0,10,0,0,0,0,10,33,24,0,0,0,24,,,
34,CASTRO,636,1135,29,25,22,17,0,0,0,75,63,0,81,65,60,10,71,0,2084,16,7.7,45,8,17.8%,16,2,,,4,1.9,0,5,5,3,0,0,0,0,1,2,5,112735,0,5,0,2,4180.00,5,0,0.00,31,2084,77,668,1333,2,4,,,,,,,1667,2,51,0,0,8,2,2084,0,9,0,0,0,0,9,29,40,0,0,0,40,,,
35,CHAMBERS,3121,3696,70,49,32,47,0,0,0,230,196,0,237,166,139,41,196,23,8852,69,7.8,142,39,27.5%,60,6,,,58,6.6,20,56,33,52,0,21,3,11,2,19,33,407230,0,2,3,11,7370.36,56,2,61.12,63,8852,978,6051,1733,8,82,,,,,,,6027,13,1146,3,36,8,3,8852,1,7,0,0,0,0,8,8,25,0,0,0,25,,,
36,CHEROKEE,3947,7359,641,589,484,733,446,438,22,578,523,5,737,548,501,98,639,45,12719,167,13.1,438,104,23.7%,42,11,1,0,164,12.9,91,159,109,148,0,91,2,13,13,46,109,1144997,2,4,2,37,20224.86,159,17,8575.87,272,12719,2120,6845,3687,2,65,,,,,,,10019,15,1252,1,12,14,1,12719,0,24,0,0,0,0,24,82,178,0,0,0,178,,,
37,CHILDRESS,608,1183,59,58,48,100,0,0,0,63,57,1,74,58,38,8,66,2,1765,16,9.1,48,13,27.1%,34,2,,,16,9.1,4,16,19,12,0,4,3,9,0,2,21,294797,0,1,0,2,5027.00,16,1,237.21,22,1765,158,1055,550,0,2,,,,,,,1380,4,145,2,24,18,3,1765,0,1,0,0,0,0,1,1,6,0,0,0,6,,,
38,CLAY,951,2057,140,117,98,80,1,1,0,101,73,0,95,67,47,14,81,1,2141,26,12.1,63,17,27.0%,15,8,,,10,4.7,3,10,10,8,0,3,0,5,5,0,10,158177,0,5,0,8,8517.79,10,0,0.00,20,2141,11,1971,135,10,14,,,,,,,1557,4,168,1,12,0,3,2141,0,10,0,0,0,0,10,36,3,0,0,0,3,,,
39,COCHRAN,292,654,59,58,57,80,0,0,0,30,29,0,32,24,24,2,30,1,837,8,9.6,24,6,25.0%,4,0,,,6,7.2,1,6,5,2,0,1,0,1,0,0,5,108160,0,0,0,0,0.00,6,0,0.00,10,837,51,330,456,0,0,,,,,,,683,2,63,0,0,2,0,837,0,0,1,0,0,0,1,81,10,0,0,0,10,,,
40,COKE,280,1003,13,9,6,2,0,0,0,26,21,0,33,16,16,13,20,2,757,16,21.1,20,9,45.0%,2,1,,,7,9.2,0,7,7,0,0,0,0,0,0,0,7,86566,0,1,0,0,0.00,7,1,339.30,20,757,0,514,239,0,4,,,,,,,605,1,17,0,0,0,0,757,0,1,0,0,0,0,1,3,10,0,6,0,16,,,
41,COLEMAN,676,1999,108,91,66,79,0,0,0,137,122,1,171,89,78,65,106,12,2000,75,37.5,100,43,43.0%,38,22,,,71,35.5,18,62,40,60,0,18,3,1,6,37,39,486930,0,1,0,10,12824.88,62,7,978.46,99,2000,50,1456,492,0,2,,,,,,,1604,3,134,4,48,3,3,2000,0,8,0,0,0,0,8,40,30,0,0,0,30,,,
42,COLLIN,78988,58379,1081,819,548,520,52,50,5,4770,4006,33,4934,3714,2592,532,4402,172,204247,1097,5.4,3100,692,22.3%,445,77,2,0,465,2.3,191,437,336,373,0,196,11,28,49,152,326,3642559,2,26,4,206,98266.60,437,29,9646.15,913,204247,11775,138783,35202,491,17996,,,,,,,147723,317,47358,100,1194,224,212,204247,5,243,2,0,0,0,250,654,384,0,215,0,599,,,
43,COLLINGSWORTH,242,644,11,11,7,17,0,0,0,25,21,1,39,23,15,12,27,3,658,13,19.8,20,6,30.0%,5,2,,,10,15.2,0,10,6,2,0,0,0,1,1,0,6,61637,0,0,0,0,0.00,10,0,0.00,15,658,37,323,289,4,5,,,,,,,508,0,0,1,12,3,1,658,0,0,0,0,0,0,0,0,6,0,0,0,6,,,
44,COLORADO,1781,4114,97,80,53,46,0,0,0,172,160,0,236,177,148,68,168,21,5357,49,9.1,134,32,23.9%,21,4,,,35,6.5,21,35,22,35,0,21,0,6,2,12,21,299352,0,1,0,19,11695.19,35,0,0.00,84,5357,1110,2262,1959,1,25,,,,,,,4291,8,608,3,36,5,4,5357,0,4,0,0,0,0,4,12,107,0,18,0,125,,,
45,COMAL,10350,17406,432,317,203,191,40,37,1,958,796,10,983,641,552,272,711,67,25006,315,12.6,599,193,32.2%,181,46,1,0,257,10.3,94,243,151,227,0,95,6,52,55,65,147,1357663,0,8,3,19,14625.70,243,27,8538.83,455,25006,322,16273,8218,16,177,,,,,,,18527,41,3979,5,58,30,16,25006,1,56,4,0,1,0,62,333,560,0,24,23,607,,,
46,COMANCHE,1048,3000,111,90,56,39,0,0,0,140,113,0,141,103,87,22,119,2,3282,37,11.3,88,22,25.0%,21,9,,,13,4.0,2,14,15,6,0,2,0,2,2,3,15,213280,2,1,1,15,18088.97,14,0,0.00,34,3282,3,1907,1367,1,4,,,,,,,2609,5,209,4,48,2,2,3282,1,11,0,0,0,0,12,35,42,0,0,0,42,,,
47,CONCHO,368,642,23,24,19,29,0,0,0,29,23,0,47,34,34,8,39,2,513,8,15.6,23,5,21.7%,8,3,,,8,15.6,4,7,6,7,0,4,0,0,1,3,6,79521,0,0,1,7,"$2,140.17",7,0,$0.00,14,513,1,314,198,0,0,,,,,,,399,2,85,0,0,1,1,513,0,3,0,0,0,0,3,7,1,0,0,0,1,1,0,0
48,COOKE,3207,6875,173,134,81,63,0,0,0,506,468,5,565,449,380,73,492,26,9847,100,10.2,324,62,19.1%,81,26,,,89,9.0,39,86,68,76,0,39,4,9,9,20,69,762542,0,1,1,38,"$23,456.53",86,2,$277.46,104,9847,357,7105,2265,25,95,,,,,,,7612,8,635,10,120,13,16,9847,0,5,0,0,0,0,5,10,18,0,40,0,58,,,
49,CORYELL,6227,5202,246,210,142,199,3,2,2,1053,939,8,1351,1020,996,181,1170,86,18291,300,16.4,794,161,20.3%,112,7,,,202,11.0,80,191,122,180,0,85,14,24,14,75,122,1281022,1,4,4,8,11917.82,191,5,903.95,255,18291,4142,10134,3284,38,693,,,,,,,14001,31,2678,2,24,14,14,18291,0,30,0,0,0,0,30,118,54,0,46,0,100,,,
50,COTTLE,141,455,10,8,5,5,0,0,0,28,24,0,20,16,14,3,17,0,396,4,10.1,16,2,12.5%,9,4,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,4,396,67,170,156,2,1,,,,,,,308,1,34,0,0,0,0,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,CRANE,354,650,20,20,17,12,0,0,0,23,22,0,34,28,22,0,34,1,1114,4,3.6,14,2,14.3%,3,2,,,4,3.6,2,4,3,4,0,2,0,0,0,2,2,4563,0,0,0,1,765.00,4,0,0.00,1,1114,27,410,675,1,1,,,,,,,868,1,40,0,0,2,0,1114,0,0,0,0,0,0,0,0,1,0,0,0,1,,,
52,CROCKETT,371,820,8,8,6,9,0,0,0,28,24,0,33,27,26,1,32,0,1066,4,3.8,22,4,18.2%,12,4,,,8,7.5,0,9,6,6,0,0,3,1,1,1,6,113262,0,0,0,3,6023.00,9,0,0.00,7,1066,1,298,766,0,1,,,,,,,847,2,80,1,12,0,0,1066,0,0,0,0,0,0,0,0,1,0,1,1,3,,,
53,CROSBY,531,1171,52,43,40,84,0,0,0,90,82,0,131,89,87,25,106,2,1681,37,22.0,70,21,30.0%,0,0,,,26,15.5,2,24,20,22,0,3,6,9,3,11,20,277546,0,0,3,0,0.00,24,1,27.00,66,1681,71,580,1024,0,6,,,,,,,1346,0,0,0,0,1,1,1681,0,6,0,0,0,0,6,13,39,0,0,0,39,,,
54,CULBERSON,245,593,9,10,9,8,0,0,0,30,28,0,30,19,19,7,23,0,577,10,17.3,20,5,25.0%,4,1,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,23,577,6,113,456,0,2,,,,,,,463,1,59,0,0,1,0,577,0,0,0,0,0,0,0,0,5,0,0,0,5,,,
55,DALLAM,523,843,21,20,13,18,0,0,0,105,99,1,142,93,89,28,114,3,1874,48,25.6,77,27,35.1%,30,5,,,11,5.9,3,10,9,9,0,6,0,4,0,3,8,133468,0,1,0,0,0.00,10,6,1739.54,65,1874,19,1173,676,0,6,,,,,,,1461,2,104,2,24,5,0,1874,0,2,0,0,0,0,2,4,33,0,2,0,35,,,
56,DALLAS,194831,198656,8029,6307,4105,3229,278,247,31,22426,19445,153,23567,17783,14385,3553,20014,946,678936,5069,7.5,13846,3084,22.3%,3003,534,30,3,3716,5.5,1589,3663,2347,3068,62,1637,245,330,221,1204,2304,26540623,32,133,27,1773,1347537.80,3663,113,31651.84,6083,678936,136449,160035,347969,1271,33212,,,,,,,548323,781,90554,129,1542,857,715,678936,43,796,6,0,2,0,847,2901,796,2122,415,0,3333,,,
57,DAWSON,1221,2133,145,129,107,91,0,0,0,211,185,2,310,220,188,54,256,16,3562,71,19.9,155,38,24.5%,55,10,,,26,7.3,13,26,17,24,0,13,1,7,0,3,17,235255,0,2,1,17,10639.26,26,0,0.00,81,3562,110,1191,2248,1,12,,,,,,,2877,2,322,4,48,10,0,3562,0,7,0,0,0,0,7,26,11,0,5,0,16,,,
58,DEAF SMITH,1502,2467,53,54,41,36,2,2,0,260,241,3,352,251,247,56,296,13,6566,94,14.3,177,43,24.3%,38,13,,,52,7.9,34,48,31,46,0,30,0,4,4,10,31,290312,0,3,1,2,72.00,48,2,451.90,133,6566,63,1574,4908,4,17,,,,,,,5326,6,480,1,8,22,2,6566,0,5,0,0,0,0,5,13,98,0,42,0,140,,,
59,DELTA,425,978,36,30,17,13,0,0,0,83,72,0,75,54,50,21,54,5,1114,20,18.0,44,10,22.7%,15,4,,,11,9.9,7,11,4,7,0,7,0,0,0,5,7,142978,0,0,0,3,2842.00,11,3,624.89,15,1114,121,943,40,1,9,,,,,,,840,0,0,1,11,2,0,1114,0,2,0,0,0,0,2,3,22,0,0,0,22,,,
